name|gubun|score|visitCount|blogCount
중경식객 건대점|중식당|4.59|306|369
참숯벽돌집|육류,고기요리|4.55|102|480
코후쿠|이자카야|4.53|404|178
평화김해뒷고기 건대점|육류,고기요리|4.41|108|93
프레퍼스 다이어트 푸드 건대점|다이어트,샐러드|4.75|532|46
한촌설렁탕 건대입구역점|곰탕,설렁탕|4.28|493|203
해피니스디저트|카페,디저트|4.41|793|105
호아다오|베트남음식|4.91|792|209
호파스타 건대점|스파게티,파스타전문|4.38|762|368
홍도초밥|초밥,롤|4.53|366|198
화양주막|전통,민속주점|4.82|192|79
환이네갈비살 2호점|소고기구이|4.5|391|133
흥에취한범 건대점|요리주점|4.75|246|12
LITE LANE|카페|4.43|458|260
건대스시|일식당|4.51|221|222
고쿠텐 건대입구역점|덮밥|4.17|181|110
고흥순대국머리고기|순대,순댓국|4.45|1116|140
기류|카페,디저트|4.18|48|6
깍뚝|돼지고기구이|4.51|446|280
냥토피아 카페앤샵|카페,디저트|4.74|1235|219
대구안지랑곱창막창 건대점|곱창,막창,양|4.36|166|369
도키도키|이자카야|4.22|137|56
등촌샤브칼국수 자양점|칼국수,만두|4.32|711|100
디슬로|바(BAR)|4.94|153|108
라그랑우스|베이커리|4.48|265|119
마실리아|요리주점|4.32|166|89
매드포갈릭 건대스타시티점|이탈리아음식|4.43|1001|380
메종드쁘띠푸르 커먼그라운드점|베이커리|4.35|607|107
반둥식당|아시아음식|4.48|318|281
발빠닭 건대점|닭발|4.73|185|89
북카페세모|카페,디저트|4.76|654|2593
샤오당쟈마라탕 건대점|중식당|4.41|675|48
설레임삼겹살|돼지고기구이|4.58|140|253
스파이스드 SPICED|양식|4.57|219|64
쑤담샤브샤브|샤브샤브|4.18|2443|817
아날로그키친|이탈리아음식|4.48|289|433
아마 건대점|인도음식|4.76|94|81
아메리칸트레이 건대입구점|다이어트,샐러드|4.18|62|89
애드앤드|카페,디저트|4.75|164|174
열불날개 건대2호점|닭발|4.43|301|628
옛날종로빈대떡|전,빈대떡|4.22|123|45
