name|gubun|score|visitCount|blogCount
커피리브레 연남점|카페|4.43|664|744
키움초밥|초밥,롤|4.59|1073|1197
키친485|이탈리아음식|4.34|695|1040
트래블메이커|브런치|4.0|306|298
평안도 상원냉면|냉면|4.48|315|163
핏제리아오 합정역점|피자|4.58|34|24
하연옥 마포점|냉면|4.33|957|267
합정조이떡볶이|떡볶이|4.38|413|82
헤이죠지|양식|4.44|330|454
혼가츠|돈가스|4.35|1034|1844
홍대씨부엉|떡볶이|4.51|537|916
홍스쭈꾸미 홍대본점|주꾸미요리|4.44|1058|1835
황곱|곱창,막창,양|4.5|455|319
1989버거스탠드 연남|햄버거|4.82|290|568
JASE|바(BAR)|4.37|178|479
고망고 연남점|카페,디저트|4.48|2803|321
구공탄곱창 본점|곱창,막창,양|4.5|628|539
구스토타코|멕시코,남미음식|4.34|361|354
금성회관 합정본점|한식|4.72|717|346
김씨육면|국수|4.65|389|270
깃털|바(BAR)|4.5|20|188
꽈페 홍대점|베이커리|4.48|419|229
남산호랭이|스파게티,파스타전문|4.76|789|445
돈주는남자 본점|돼지고기구이|4.62|324|516
동두천솥뚜껑삼겹살 합정점|돼지고기구이|4.46|459|368
동무밥상|이북음식|4.33|562|567
디어리스트 연남|양식|4.46|659|254
디퍼 루프탑|맥주,호프|4.5|386|282
따로집|전통,민속주점|4.79|70|85
루프탑 G 길리건스|바(BAR)|4.12|144|311
루프탑어반비치|바(BAR)|4.43|132|226
리밀커피&밀리|카페,디저트|4.76|218|231
멘야산다이메 본점|일본식라면|4.32|461|764
멘야하나비 합정점|일본식라면|4.48|229|353
모크|카페,디저트|4.6|378|246
무니|이자카야|4.49|67|78
버거스올마이티 홍대점|햄버거|4.48|202|126
베어스덴베이커리|베이커리|4.46|423|519
부산집|오뎅,꼬치|4.42|274|276
샐러디 합정역점|다이어트,샐러드|4.43|1259|86
서교주담|요리주점|4.75|185|207
세상끝의라멘|일본식라면|4.55|579|664
수염|맥주,호프|4.58|145|148
스탠스커피|카페,디저트|4.48|196|690
야키토리 나루토 오모테나시|일식튀김,꼬치|5.0|101|114
어른이대공원|맥주,호프|4.26|296|260
에도마에텐동하마다 홍대점|일식당|4.41|547|351
연남쌀국수 똣|베트남음식|4.69|787|629
연남족발1987|족발,보쌈|4.36|230|442
오마카세 오사이초밥 홍대점|일식당|4.33|964|159
웃사브|인도음식|4.33|560|1274
윤씨밀방|스테이크,립|4.43|842|2226
이츠모라멘|일본식라면|4.48|401|452
이치류 홍대본점|양갈비|4.55|410|778
일편등심|소고기구이|4.66|959|658
정무관|일식당|4.55|260|640
치킨앤카레군|치킨,닭강정|4.58|947|547
캘리포니아 도넛 클럽 & 비라티오 홍대점|카페,디저트|4.52|1707|730
커피 벌스데이|카페,디저트|4.62|176|139
테이커테이블|이탈리아음식|4.97|322|161
포36거리 홍대점|베트남음식|4.54|332|696
히메시야|일식당|4.43|656|744
