name|price
카페드로우지|19500.0
스미비부타동 압구정점|12000.0
ebt|25000.0
변두리비스트로|21000.0
스구식탁 가로수길점|14766.66667
소나|23000.0
호화반점|26000.0
마치래빗 샐러드 신사동가로수길본점|0.0
봄의정원 가로수길점|16000.0
금별맥주 강남신사점|13900.0
우모크|137500.0
매덕스피자 신사점|30750.0
두레국수 본점|12250.0
0000 seoul|98000.0
샤오당쟈마라탕 신사본점|14650.0
잇샐러드 압구정점|14150.0
추풍령칼삼겹살 압구정점|9000.0
미아전|23500.0
블루보틀 압구정 카페|6000.0
퀸즈블러바드 압구정점|20620.0
카페 키츠네 서울|5375.0
마제스티 타바론 티 라운지|12000.0
도슬박|25000.0
하이볼가든|12750.0
세컨디포레스트 가로수길점|14750.0
37.5 시그니처 가로수길|25950.0
카페캠프통|0.0
이속우화천공|69500.0
세인트그릴|12075.0
있을 재|68500.0
배스킨라빈스 BROWN청담점|19725.0
포티데이즈|8500.0
압구정면옥|25750.0
이코복스커피 가로수길점|5900.0
하바나선셋|10250.0
달맞이 신사점|58250.0
르 사이트|3750.0
사토시|0.0
야키토리 요이사|5750.0
막이오름 가로수길점|26550.0
가디록|69250.0
달래해장 압구정로데오점|21250.0
빈터커피로스터스|3750.0
스시유키|105000.0
신사소곱창 신사본점|21150.0
두넛샵|4125.0
