name|gubun|score|visitCount|blogCount
엘루이 비스트로|요리주점|4.34|221|296.0
엘루이피자|맥주,호프|4.46|107|431.0
연옥양꼬치|양꼬치|4.75|273|497.0
우성식당|기사식당|4.2|734|138.0
우화등선|소고기구이|4.64|96|547.0
육일관|육류,고기요리|4.48|756|435.0
육회한연어 건대점|요리주점|4.39|370|316.0
은호초밥 건대본점|초밥,롤|4.26|676|628.0
이우|중식당|4.46|64|13.0
장인닭갈비 건대점|닭갈비|4.19|515|302.0
조그삼|돼지고기구이|4.52|203|239.0
조씨네고기국수|국수|4.47|468|508.0
중경식객 건대점|중식당|4.59|306|369.0
참숯벽돌집|육류,고기요리|4.55|102|480.0
코후쿠|이자카야|4.53|404|178.0
평화김해뒷고기 건대점|육류,고기요리|4.41|108|93.0
프레퍼스 다이어트 푸드 건대점|다이어트,샐러드|4.75|532|46.0
한촌설렁탕 건대입구역점|곰탕,설렁탕|4.28|493|203.0
해피니스디저트|카페,디저트|4.41|793|105.0
호아다오|베트남음식|4.91|792|209.0
호파스타 건대점|스파게티,파스타전문|4.38|762|368.0
홍도초밥|초밥,롤|4.53|366|198.0
화양주막|전통,민속주점|4.82|192|79.0
환이네갈비살 2호점|소고기구이|4.5|391|133.0
흥에취한범 건대점|요리주점|4.75|246|12.0
LITE LANE|카페|4.43|458|260.0
건대스시|일식당|4.51|221|222.0
고쿠텐 건대입구역점|덮밥|4.17|181|110.0
고흥순대국머리고기|순대,순댓국|4.45|1116|140.0
기류|카페,디저트|4.18|48|6.0
깍뚝|돼지고기구이|4.51|446|280.0
냥토피아 카페앤샵|카페,디저트|4.74|1235|219.0
대구안지랑곱창막창 건대점|곱창,막창,양|4.36|166|369.0
도키도키|이자카야|4.22|137|56.0
등촌샤브칼국수 자양점|칼국수,만두|4.32|711|100.0
디슬로|바(BAR)|4.94|153|108.0
라그랑우스|베이커리|4.48|265|119.0
마실리아|요리주점|4.32|166|89.0
매드포갈릭 건대스타시티점|이탈리아음식|4.43|1001|380.0
메종드쁘띠푸르 커먼그라운드점|베이커리|4.35|607|107.0
반둥식당|아시아음식|4.48|318|281.0
발빠닭 건대점|닭발|4.73|185|89.0
북카페세모|카페,디저트|4.76|654|2593.0
샤오당쟈마라탕 건대점|중식당|4.41|675|48.0
설레임삼겹살|돼지고기구이|4.58|140|253.0
스파이스드 SPICED|양식|4.57|219|64.0
쑤담샤브샤브|샤브샤브|4.18|2443|817.0
아날로그키친|이탈리아음식|4.48|289|433.0
아마 건대점|인도음식|4.76|94|81.0
아메리칸트레이 건대입구점|다이어트,샐러드|4.18|62|89.0
애드앤드|카페,디저트|4.75|164|174.0
열불날개 건대2호점|닭발|4.43|301|628.0
옛날종로빈대떡|전,빈대떡|4.22|123|45.0
오페뜨 건대점|카페,디저트|4.76|700|649.0
은비스브레드 건국대|베이커리|4.43|68|9.0
이덕복인|오리요리|4.75|3|7.0
이태리부대찌개 건대점|찌개,전골|4.42|445|62.0
정면|국수|4.86|333|163.0
질서정연|요리주점|4.94|169|130.0
청춘등판|한식|4.87|404|175.0
최가커피|카페|4.5|849|732.0
카페드라이|카페,디저트|4.53|258|340.0
평창 닭다리살 불고기|육류,고기요리|4.43|300|134.0
포크포크 건대직영점|돈가스|4.53|536|222.0
한사바리|요리주점|4.57|119|62.0
해란양꼬치|중식당|4.73|220|463.0
호우시절|요리주점|4.59|54|85.0
화양과자|카페,디저트|4.64|194|78.0
화양시장할머니순대국|순대,순댓국|4.29|575|139.0
훈춘양꼬치|양꼬치|4.64|133|123.0
CUCINA843|양식|4.59|74|150.0
가츠시 건대점|일식당|4.56|629|154.0
감성당|양식|4.4|206|253.0
건대족발|족발,보쌈|4.79|208|199.0
경양카츠 건대점|돈가스|4.44|389|175.0
고기야채|육류,고기요리|4.44|14|94.0
구구향훠궈 건대직영점|샤브샤브|5.0|282|90.0
그리네|카페,디저트|4.56|200|245.0
김밥천국 건대2호점|분식|4.46|288|31.0
능동샐러드|다이어트,샐러드|4.63|246|243.0
더이퀼리브리엄커피|카페|4.44|249|163.0
도단집별관|육류,고기요리|4.57|85|59.0
동대문곱창|곱창,막창,양|4.49|261|97.0
만원수산 건대점|생선회|4.66|212|171.0
매드쉐프 떡볶이|떡볶이|4.17|26|88.0
매화반점 본점|양꼬치|4.27|594|65.0
명륜진사갈비 자양점|육류,고기요리|4.31|485|44.0
모지니|카페,디저트|4.52|122|108.0
무지개맥주 건대점|맥주,호프|4.64|139|62.0
미친쭈꾸미|주꾸미요리|4.98|377|88.0
밍지 황먼지 찜닭|찜닭|4.78|51|98.0
보라젤라또|아이스크림|4.85|177|93.0
블랙아웃커피|카페,디저트|4.64|23|20.0
수완카페앤베이커리|카페,디저트|4.16|379|102.0
스시오 건대점|일식,초밥뷔페|4.18|1110|1743.0
스테이크어스 건대점|스테이크,립|4.47|703|167.0
시홍쓰|중식당|4.56|183|157.0
심야식당 하리|이자카야|4.59|70|58.0
아웃닭 건대점|치킨,닭강정|4.44|441|234.0
안동참찜닭 본점|찜닭|4.44|337|249.0
안주나라|술집|4.48|67|118.0
역전할머니맥주 건대점|맥주,호프|4.36|623|133.0
예담밥상|한정식|4.66|205|120.0
왕십리정곱창|곱창,막창,양|4.46|288|176.0
유미카츠 건대점|돈가스|4.64|322|49.0
일레븐 라운지|바(BAR)|4.51|328|330.0
잇타이|태국음식|4.49|270|248.0
중경삼림|중식당|4.16|60|96.0
천지샤브샤브 2호점|샤브샤브|4.54|455|313.0
츠나토리|일식당|4.17|18|6.0
카페22|카페|4.34|146|589.0
카페롱|카페,디저트|4.46|258|130.0
칸틴|다이어트,샐러드|4.17|27|44.0
탐앤탐스 탐스커버리 건대점|카페|4.36|2197|316.0
팬더스윗 건대점|브런치|4.46|197|148.0
퍼프타운 건대점|바(BAR)|4.16|40|65.0
포항막회|생선회|4.42|372|159.0
허씨 정통중경마라샹궈|중식당|4.58|328|330.0
홍야동양꼬치 훠궈무한리필|양꼬치|4.52|217|116.0
