name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
1940 금문|25.00000000000001|80.64549999999996|84.05999999999999|88.93499999999996|81.2745|83.17349999999999|45|55
겐로쿠우동 대학로점|67.86466666666668|79.17466666666664|39.20433333333332|25.636666666666674|20.77533333333333|17.562333333333342|56|44
고기공방|37.7910588235294|52.34870588235293|34.83105882352942|23.305176470588233|17.653176470588242|11.764705882352951|50|50
고쿠텐 대학로점|38.463058823529394|49.333176470588235|34.04776470588236|27.796470588235287|21.30494117647059|11.764705882352951|53|47
곱창고 대학로점|36.807999999999986|48.76117647058822|30.586352941176465|29.566588235294127|21.969647058823522|11.764705882352951|51|49
그림제작소 혜화점|67.86466666666668|79.17466666666664|39.20433333333332|25.636666666666674|20.77533333333333|17.562333333333342|56|44
나무요일|11.764705882352951|48.15717647058822|36.1964705882353|26.613882352941175|18.36494117647058|11.764705882352951|53|47
다다미 소바|74.28149999999998|94.35849999999998|73.67499999999997|71.32949999999997|61.088999999999984|25.00000000000001|53|47
달빛마루|16.66666666666668|75.18766666666664|41.15233333333334|32.083000000000006|28.804333333333314|16.66666666666668|52|48
또오리|51.883499999999984|95.31799999999998|83.94549999999997|79.60549999999996|83.46149999999999|86.76599999999998|46|54
랑데자뷰 대학로점|47.5395294117647|49.24682352941176|32.03835294117647|22.77929411764706|16.256000000000007|11.764705882352951|56|44
릴랙스 인 다운타운|66.27466666666666|76.88799999999998|43.869|34.557333333333325|31.17266666666666|28.035666666666675|56|44
마녀주방 대학로점|98.39849999999997|94.7315|64.3885|72.1395|25.00000000000001|25.00000000000001|56|44
마마그릭 성대점|37.384941176470576|51.9404705882353|32.1715294117647|23.42047058823529|21.456941176470597|11.764705882352951|69|31
맘스터치 종로대학로점|40.8150588235294|49.135294117647064|33.7724705882353|24.339529411764694|18.991294117647065|21.080470588235293|49|51
맛의정원|11.764705882352951|48.70776470588234|31.299999999999983|25.26611764705881|11.764705882352951|11.764705882352951|61|39
