name|gubun|score|visitCount|blogCount
혜화역4번출구 카페 제이드|카페,디저트|4.54|130|93
환식당|양식|4.37|75|23
훠궈나라 대학로본점|중식당|4.37|379|360
히든스시|초밥,롤|4.18|53|102
가부 혜화점|중식당|4.33|593|52
간짜장전문점세아|중식당|4.34|56|8
걸작떡볶이치킨 서울대학로점|분식|4.34|519|57
군자대한곱창 대학로점|곱창,막창,양|4.59|248|136
꼬치오뎅|종합분식|4.22|145|95
노브랜드버거 대학로점|햄버거|4.47|1293|49
대구막창 대학로점|곱창,막창,양|4.24|46|41
대학로족발보쌈|족발,보쌈|4.5|456|209
도리안그레이|바(BAR)|4.72|68|20
돈천동식당|일식당|4.54|150|183
둘리네분식|종합분식|4.25|20|68
라라맥주|맥주,호프|4.62|26|4
라쿤카페 꾸꾸네|카페,디저트|4.32|10|146
림스치킨 혜화점|치킨,닭강정|4.45|379|93
마님은왜돌쇠에게만술을주시나|요리주점|4.58|122|20
명륜건강원|백반,가정식|4.37|216|199
미정국수0410 대학로점|국수|4.42|554|226
봉심식당|이탈리아음식|4.26|79|96
빌런치팬케이크|브런치|4.5|43|25
석관동떡볶이 대학로점|분식|4.2|842|352
소구미 대학로직영점|육류,고기요리|4.38|81|44
스시마시따|일식당|4.09|404|224
스시사소우|일식당|4.27|318|180
스타벅스 동숭길입구점|카페|4.45|1925|59
스페이스플라토|와인|4.65|80|102
식탁의목적|한식|4.25|135|205
아리가또맘마 대학로점|일식당|4.42|254|62
알바이신|스페인음식|4.39|18|92
어웨이크커피바|카페|4.08|65|127
오늘와인한잔 대학로점|와인|4.23|349|211
옥이모깻잎떡볶이|떡볶이|4.08|567|117
위치스커피 파스텔드나따 대학로점|카페|4.37|246|80
이레미|백반,가정식|4.28|283|30
이자카야 곤조|이자카야|4.2|97|35
쟁반집8292 혜화점|육류,고기요리|4.84|312|49
제순식당 대학로직영점|한식|4.27|297|283
찡쪽바|바(BAR)|4.84|35|15
카페 마피|카페,디저트|4.67|95|42
카페스트롤|카페,디저트|4.39|125|82
코코로식탁|일식당|4.32|95|90
키쉬미뇽 대학로점|카페,디저트|4.39|984|81
파인데이즈|카페,디저트|4.92|69|14
포도원삼계탕대학로점|백숙,삼계탕|4.34|207|355
한돌참치 대학로본점|생선회|4.37|130|180
한촌설렁탕 대학로점|곰탕,설렁탕|4.19|1011|37
할리스 대명거리점|카페|4.37|1335|41
해마 티룸|홍차전문점|4.55|237|231
허그|요리주점|4.6|73|45
혜화수산 혜화본점|생선회|4.62|170|62
33떡볶이 대학로점|33떡볶이|4.31|263|36
60계치킨 서울대학로점|치킨,닭강정|4.37|518|18
BBQ치킨 명륜점|치킨,닭강정|4.25|209|8
골목길25|양식|4.24|72|29
공차 대학로점|차|4.41|1891|108
교촌치킨 대학로점|치킨,닭강정|4.38|1422|58
구스타파스|스페인음식|4.35|45|68
김가네김밥 대학로본점|분식|4.33|1370|116
꼬꼬아찌숯불치킨 혜화대학로점|치킨,닭강정|4.32|174|69
남대문황금족발 대학로점|족발,보쌈|4.43|76|10
다발김치찌개 대학로점|찌개,전골|4.36|98|26
동숭숯불갈비|육류,고기요리|4.44|224|42
레코드피자|피자|4.37|18|3
릴리마를렌|카페,디저트|4.44|53|17
명쭈3|주꾸미요리|4.43|204|228
미향|아귀찜,해물찜|4.43|129|13
방선생웃음밥상|한정식|4.4|66|13
배스킨라빈스 대학로|아이스크림|0.0|888|40
봉추찜닭 대학로점|찜닭|4.26|556|116
비스까미노|카페,디저트|4.6|101|15
빈대떡신사|전,빈대떡|4.28|97|37
뼈닥스감자탕|감자탕|4.17|55|65
샐러디 성대입구점|다이어트,샐러드|4.28|227|22
생활맥주 대학로좁은골목점|맥주,호프|4.38|190|68
서유기마라탕&훠궈 대학로점|중식당|4.59|223|24
스페이스엠|와인|4.81|66|45
양평해장국|해장국|4.31|279|60
엉터리생고기 대학로점|육류,고기요리|4.25|173|47
엘파소|멕시코,남미음식|4.63|88|8
옛날농장 대학로점|육류,고기요리|4.34|325|176
오름|육류,고기요리|4.43|85|6
오후홍콩 대학로점|카페|4.46|216|211
일송칼국수|칼국수,만두|4.4|176|30
조개집|조개요리|4.37|30|1
지금보고싶다 혜화대학로점|요리주점|4.23|132|42
진아춘|중식당|4.28|178|88
챠코|바(BAR)|4.5|25|24
천지주점|전통,민속주점|4.22|40|20
천향록|중식당|4.35|179|215
초교수카페|카페,디저트|4.37|187|29
크래프트 혜화|양식|4.44|37|30
킹스커피 24시 카페|카페|4.12|90|3
투썸플레이스 혜화로타리점|카페|4.29|400|44
티랩제이|차|4.26|49|11
펍매드|맥주,호프|4.34|49|69
포보 성균관대점|국수|4.61|866|89
프롬하츠커피 대학로점|카페,디저트|4.36|1044|32
프루츠대학로점|맥주,호프|4.44|111|46
혜화달손만두|칼국수,만두|4.36|525|15
후룩뽕|중식당|4.08|123|40
100년설렁탕 대학로점|곰탕,설렁탕|4.17|49|2
개미식당|한식|4.4|239|71
