name|score_naver|count_naver|score_daum|count_daum|score_dining|count_dining|score_trip|count_trip|score_manggo|count_manggo|total_count|score_weighted
스시선수|4.42|666|4.5|92|0.0|0|5.0|13|4.4|94|865|4.44
딩딤1968|4.4|807|3.3|102|0.0|0|0.0|0|4.0|98|1007|4.25
크라운돼지|4.76|457|3.9|64|0.0|0|0.0|0|4.0|25|546|4.62
미분당 신사점|4.53|1054|4.4|112|0.0|0|0.0|0|0.0|0|1166|4.52
미드타운|5.0|421|3.5|53|0.0|0|0.0|0|0.0|0|474|4.83
솔솥 청담점|4.75|824|0.0|0|0.0|0|0.0|0|0.0|0|824|4.75
플디 도산점|4.28|650|0.0|0|0.0|0|0.0|0|4.0|28|678|4.27
양철지붕|4.44|272|3.8|17|0.0|0|0.0|0|0.0|0|289|4.4
고반식당 가로수길점|4.61|1124|3.7|160|0.0|0|0.0|0|0.0|0|1284|4.5
디저트로이|4.44|265|0.0|0|0.0|0|0.0|0|0.0|0|265|4.44
스시 이토|4.34|641|3.7|115|0.0|0|0.0|0|4.1|31|787|4.24
카페 노티드 신사 옐로우바스켓 팝업|4.64|999|4.4|94|0.0|0|0.0|0|0.0|0|1093|4.62
소각|4.88|1816|0.0|0|0.0|0|0.0|0|0.0|0|1816|4.88
Poke all day 포케&샐러드 신사점|4.4|782|0.0|0|0.0|0|0.0|0|0.0|0|782|4.4
쉐이크쉑 청담점|4.44|6915|3.6|262|0.0|0|0.0|0|0.0|0|7177|4.41
볼피노|4.29|1388|3.8|209|0.0|0|4.5|3|0.0|0|1600|4.23
씨네드쉐프 압구정|4.64|750|0.0|0|0.0|0|0.0|0|0.0|0|750|4.64
닭으로가 압구정본점|4.45|1287|3.3|126|0.0|0|0.0|0|4.2|31|1444|4.34
식물성 도산|4.78|475|0.0|0|4.5|10|0.0|0|0.0|0|485|4.77
소적두 압구정점|4.6|837|3.9|35|0.0|0|0.0|0|0.0|0|872|4.57
스시사카우|4.69|436|4.5|94|0.0|0|0.0|0|4.3|30|560|4.64
서울러|4.82|492|4.5|65|0.0|0|0.0|0|0.0|0|557|4.78
뻐꾸기 본점|4.41|516|3.7|46|0.0|0|0.0|0|4.1|44|606|4.33
더 키친 일뽀르노 청담점|4.41|403|0.0|0|0.0|0|0.0|0|0.0|0|403|4.41
사이|4.65|782|4.1|44|0.0|0|0.0|0|0.0|0|826|4.62
더페이머스버거 압구정점|4.69|984|4.2|66|0.0|0|0.0|0|0.0|0|1050|4.66
홍미닭발 신사본점|4.35|1400|3.2|117|0.0|0|0.0|0|0.0|0|1517|4.26
르알래스카 가로수길 본점|4.4|1603|3.8|100|0.0|0|0.0|0|0.0|0|1703|4.36
오르비에토|4.72|263|4.7|51|0.0|0|0.0|0|4.3|32|346|4.68
한일관 압구정점|4.27|1567|3.4|60|3.9|12|4.0|17|0.0|0|1656|4.23
우텐더|4.72|371|3.7|53|0.0|0|0.0|0|0.0|0|424|4.59
카페그라쎄|4.42|570|4.3|79|0.0|0|0.0|0|0.0|0|649|4.41
윌비 가로수길점|4.59|354|0.0|0|0.0|0|0.0|0|0.0|0|354|4.59
바랗|4.34|618|3.6|26|0.0|0|3.5|13|0.0|0|657|4.29
모던오뎅|4.34|441|3.3|89|0.0|0|0.0|0|0.0|0|530|4.17
Ginos NY Pizza 압구정점|4.33|624|4.0|47|0.0|0|0.0|0|4.3|84|755|4.31
구들|4.75|350|0.0|0|0.0|0|0.0|0|4.5|9|359|4.74
온천집 스키야키|4.5|1030|3.7|70|0.0|0|0.0|0|0.0|0|1100|4.45
스페인클럽 가로수본점|4.28|657|0.0|32|0.0|0|4.0|30|0.0|0|719|4.08
맥파이앤타이거 신사티룸|4.87|884|0.0|0|0.0|0|0.0|0|4.1|5|889|4.87
트라가 가로수길점|4.9|1314|0.0|0|0.0|0|0.0|0|0.0|0|1314|4.9
678치킨앤버거 압구정점|4.64|51|0.0|0|0.0|0|0.0|0|0.0|0|51|4.64
장 스테이크|4.62|1001|4.3|28|0.0|0|0.0|0|4.5|150|1179|4.6
꿍탈레|4.4|545|3.7|59|0.0|0|0.0|0|0.0|0|604|4.33
베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어|4.62|725|3.6|81|0.0|0|0.0|0|0.0|0|806|4.52
메종 사우스케이프|4.18|427|0.0|0|0.0|0|0.0|0|0.0|0|427|4.18
고급오복수산|4.52|1242|4.4|222|4.4|7|0.0|0|4.4|51|1522|4.5
휴고 도산|4.66|473|0.0|0|0.0|0|0.0|0|0.0|0|473|4.66
목탄장 도산점|4.3|389|0.0|0|0.0|0|0.0|0|4.3|7|396|4.3
안주집|4.73|390|0.0|0|0.0|0|0.0|0|0.0|0|390|4.73
송쉐프|4.38|1120|3.6|138|3.9|11|0.0|0|4.1|142|1411|4.27
골뱅이신사|4.73|837|2.9|166|0.0|0|0.0|0|0.0|0|1003|4.43
도레도레 신사점|4.43|1590|2.8|184|0.0|0|0.0|0|0.0|0|1774|4.26
신사시장 떡볶이집|4.3|184|0.0|0|0.0|0|0.0|0|0.0|0|184|4.3
마담타이 신사점|4.38|184|0.0|0|0.0|0|0.0|0|0.0|0|184|4.38
쇼토|4.48|610|4.3|111|0.0|0|0.0|0|4.4|70|791|4.45
지구당 신사점|4.27|787|3.4|31|0.0|0|0.0|0|0.0|0|818|4.24
카페드로우지|4.91|588|0.0|0|0.0|0|0.0|0|0.0|0|588|4.91
스미비부타동 압구정점|4.62|110|0.0|0|0.0|0|0.0|0|0.0|0|110|4.62
ebt|4.57|766|0.0|0|0.0|0|0.0|0|0.0|0|766|4.57
변두리비스트로|4.76|667|4.5|98|0.0|0|0.0|0|0.0|0|765|4.73
스구식탁 가로수길점|4.62|482|0.0|0|0.0|0|0.0|0|0.0|0|482|4.62
소나|4.33|849|3.9|72|0.0|0|0.0|0|4.2|195|1116|4.28
호화반점|4.31|1209|3.2|60|0.0|0|0.0|0|0.0|0|1269|4.26
마치래빗 샐러드 신사동가로수길본점|4.66|1152|3.3|12|0.0|0|0.0|0|0.0|0|1164|4.65
봄의정원 가로수길점|4.6|296|0.0|0|0.0|0|0.0|0|0.0|0|296|4.6
금별맥주 강남신사점|4.64|973|4.4|8|0.0|0|0.0|0|0.0|0|981|4.64
우모크|4.66|174|0.0|0|0.0|0|0.0|0|0.0|0|174|4.66
매덕스피자 신사점|4.5|1108|4.2|14|0.0|0|0.0|0|4.5|71|1193|4.5
두레국수 본점|4.33|1557|3.2|51|0.0|0|0.0|0|0.0|0|1608|4.29
0000 seoul|4.64|25|0.0|0|0.0|0|0.0|0|0.0|0|25|4.64
샤오당쟈마라탕 신사본점|4.56|1452|0.0|0|0.0|0|0.0|0|0.0|0|1452|4.56
잇샐러드 압구정점|4.6|234|0.0|0|0.0|0|0.0|0|0.0|0|234|4.6
추풍령칼삼겹살 압구정점|4.53|738|0.0|0|0.0|0|0.0|0|0.0|0|738|4.53
미아전|4.35|190|0.0|0|0.0|0|4.5|3|0.0|0|193|4.35
