name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio|gubun|score|visitCount|blogCount
화기애애 건대본점|37.91066667|79.705|58.49133333|46.16133333|38.22866667|32.33266667|42|58|육류,고기요리|4.56|608|1138.0
60년전통신촌황소곱창 건대직영점|33.18847059|47.72447059|34.40188235|31.032|36.24870588|11.76470588|47|53|곱창,막창,양|4.12|297|385.0
MouseRabbit|47.59529412|49.51105882|30.15058824|25.756|19.76941176|11.76470588|60|40|카페|4.36|285|462.0
건대 숯불부자곱창|37.24611765|49.85364706|33.88541176|29.30588235|42.62870588|22.95129412|44|56|곱창,막창,양|4.84|486|243.0
겐로쿠우동 건대직영점|33.08258824|48.72117647|37.81364706|29.48611765|21.264|11.76470588|50|50|우동,소바|4.59|458|410.0
김창훈호프|27.42466667|80.77233333|44.92333333|32.819|25.15733333|22.366|51|49|맥주,호프|4.35|174|76.0
꼼주|17.20047059|52.80847059|33.42847059|28.27741176|24.38117647|20.11388235|48|52|포장마차|4.54|165|196.0
뉴웨이브서울|44.31933333|76.336|52.39233333|35.484|36.139|30.829|60|40|와인|4.54|123|75.0
대흥양다리바베큐 건대점|25.0|92.7355|86.5075|80.0755|68.415|73.0615|41|59|양꼬치|4.35|241|190.0
도도곱창 건대본점|26.18682353|52.42423529|35.24329412|30.03670588|27.28917647|19.98117647|49|51|곱창,막창,양|4.72|550|309.0
돕감자탕전문점|11.76470588|49.05811765|38.28682353|34.16235294|30.40094118|27.14705882|46|54|감자탕|4.41|787|745.0
드로잉레시피|25.0|95.7885|81.6845|69.2535|61.9795|25.0|53|47|양식|4.63|363|275.0
랑데자뷰 건대점|47.64705882|47.60141176|30.08564706|25.612|18.88776471|11.76470588|56|44|카페,디저트|4.37|484|296.0
래빗홀 버거컴퍼니|11.76470588|48.48305882|38.25576471|30.872|21.11811765|11.76470588|50|50|햄버거|4.66|201|229.0
레브|33.90188235|48.28023529|34.67670588|20.416|14.54282353|11.76470588|63|37|카페,디저트|4.54|62|24.0
레브|33.90188235|48.28023529|34.67670588|20.416|14.54282353|11.76470588|63|37|바(BAR)|4.52|58|92.0
레브|28.43317647|48.89694118|36.90517647|23.908|17.51341176|11.76470588|53|47|카페,디저트|4.54|62|24.0
레브|28.43317647|48.89694118|36.90517647|23.908|17.51341176|11.76470588|53|47|바(BAR)|4.52|58|92.0
로얄 인디안 레스토랑|11.76470588|47.34611765|37.05788235|31.05317647|24.40094118|11.76470588|51|49|인도음식|4.43|303|318.0
만경상회 건대본점|11.76470588|51.208|39.58823529|34.39905882|26.49764706|20.33435294|46|54|요리주점|4.42|1114|500.0
매화반점|25.0|90.6005|85.3065|79.831|68.1055|25.0|45|55|중식당|4.12|143|742.0
멘쇼|25.0|99.942|80.8315|57.378|34.9425|25.0|46|54|일본식라면|4.47|367|274.0
민정식당|25.0|82.912|91.1965|85.1535|71.837|73.4465|46|54|한식|4.35|302|213.0
범맥주 건대점|32.63525|78.90325|38.764|30.43175|25.94275|24.06275|40|60|요리주점|4.52|122|165.0
부탄츄 건대점|35.11529412|47.47505882|35.98823529|24.03247059|14.65270588|11.76470588|47|53|일본식라면|4.33|412|201.0
삼꾸미집 건대점|25.0|97.247|74.773|69.314|69.481|44.55|46|54|육류,고기요리|4.64|44|55.0
새로이|11.76470588|50.86541176|37.91647059|27.41952941|23.19882353|20.26447059|49|51|요리주점|4.5|205|207.0
송쉐프|25.0|75.3425|88.7505|92.2145|77.322|79.5325|47|53|중식당|4.45|555|208.0
송쉐프|34.6375|83.3305|92.652|94.269|88.671|83.8825|46|54|중식당|4.45|555|208.0
수퍼슬라이더스|35.2775|88.2425|96.4955|82.8755|52.827|40.426|50|50|햄버거|4.6|448|271.0
심마니|16.66666667|78.53766667|48.434|35.33733333|31.95633333|29.63733333|48|52|전통,민속주점|4.22|135|160.0
언리미티드|16.66666667|78.52233333|34.43466667|23.649|20.85|15.08966667|54|46|바(BAR)|4.52|201|460.0
열매제과점|37.67388235|50.70988235|34.81176471|24.452|18.18682353|11.76470588|65|35|베이커리|4.69|288|267.0
오포케|19.50423529|52.31152941|34.00823529|19.59364706|12.608|11.76470588|68|32|다이어트,샐러드|4.66|455|86.0
우마이도 건대점|35.68376471|47.46658824|39.15529412|29.66494118|20.46329412|11.76470588|46|54|일본식라면|4.44|593|1072.0
원보양꼬치|17.281|98.664|68.181|54.216|46.13|12.097|44|56|양꼬치|4.56|291|478.0
