name,gubun,score,visitCount,blogCount
어메이징농카이,태국음식,4.48/5,방문자 리뷰_ 610,블로그 리뷰_ 521
라헬의부엌 홍대점,"카페,디저트",4.51/5,방문자 리뷰_ 983,블로그 리뷰_ 505
천이오겹살,"육류,고기요리",4.29/5,방문자 리뷰_ 410,블로그 리뷰_ 920
미쁘동,일식당,4.42/5,"방문자 리뷰_ 1,824","블로그 리뷰_ 1,599"
멘야준,일본식라면,4.56/5,방문자 리뷰_ 718,블로그 리뷰_ 402
더핏짜 본점,피자,4.56/5,방문자 리뷰_ 804,블로그 리뷰_ 121
더페이머스버거 홍대점,햄버거,4.42/5,방문자 리뷰_ 487,"블로그 리뷰_ 1,039"
사쿠라테이엔 합정점,이자카야,4.85/5,방문자 리뷰_ 136,블로그 리뷰_ 110
스시오 블랙컨테이너,"일식,초밥뷔페",4.85/5,방문자 리뷰_ 718,"블로그 리뷰_ 1,089"
랑데자뷰 홍대점,"카페,디저트",4.34/5,방문자 리뷰_ 521,"블로그 리뷰_ 1,362"
츠케루,일본식라면,4.62/5,"방문자 리뷰_ 1,678",블로그 리뷰_ 193
솔솥 연남점,한식,4.52/5,"방문자 리뷰_ 1,540","블로그 리뷰_ 1,180"
정돈 홍대점,돈가스,4.52/5,방문자 리뷰_ 843,블로그 리뷰_ 528
고쿠텐 홍대점,일식당,4.46/5,방문자 리뷰_ 937,블로그 리뷰_ 468
얀 쿠브레,"카페,디저트",4.32/5,"방문자 리뷰_ 1,596",블로그 리뷰_ 651
평안도 상원냉면,냉면,4.48/5,방문자 리뷰_ 315,블로그 리뷰_ 163
하카타나카,일식당,4.44/5,방문자 리뷰_ 625,블로그 리뷰_ 705
오버트 합정,"카페,디저트",4.44/5,방문자 리뷰_ 85,블로그 리뷰_ 80
르쁘띠푸 홍대본점,카페,4.39/5,방문자 리뷰_ 698,"블로그 리뷰_ 1,229"
합정조이떡볶이,떡볶이,4.38/5,방문자 리뷰_ 411,블로그 리뷰_ 80
온돌 합정점,"찌개,전골",4.63/5,"방문자 리뷰_ 1,115",블로그 리뷰_ 940
연교,"딤섬,중식만두",4.49/5,방문자 리뷰_ 916,블로그 리뷰_ 889
우동가조쿠,"우동,소바",4.57/5,방문자 리뷰_ 614,블로그 리뷰_ 224
오이지 연남,한식,4.57/5,방문자 리뷰_ 143,블로그 리뷰_ 137
냉장고 합정점,돼지고기구이,4.75/5,방문자 리뷰_ 206,블로그 리뷰_ 266
배터리88 홍대점,요리주점,4.41/5,방문자 리뷰_ 367,블로그 리뷰_ 389
고기꾼김춘배 홍대본점,돼지고기구이,4.52/5,"방문자 리뷰_ 1,312",블로그 리뷰_ 994
가든 포에트,양식,4.85/5,방문자 리뷰_ 559,블로그 리뷰_ 163
연남주막1987,"전통,민속주점",4.52/5,방문자 리뷰_ 340,블로그 리뷰_ 269
카멜로연남,양식,4.73/5,"방문자 리뷰_ 1,270","블로그 리뷰_ 1,108"
진저피그,돼지고기구이,4.6/5,"방문자 리뷰_ 1,273",블로그 리뷰_ 674
오리지널시카고피자 홍대본점,피자,4.29/5,방문자 리뷰_ 384,"블로그 리뷰_ 1,220"
카페노티드 연남,카페,4.29/5,"방문자 리뷰_ 2,326",블로그 리뷰_ 563
헤이죠지,양식,4.29/5,방문자 리뷰_ 322,블로그 리뷰_ 450
에일크루,"맥주,호프",4.52/5,방문자 리뷰_ 417,블로그 리뷰_ 283
더피자보이즈 홍대입구역점,피자,4.57/5,방문자 리뷰_ 651,블로그 리뷰_ 605
캘리포니아 도넛 클럽 & 비라티오 홍대점,"카페,디저트",4.52/5,"방문자 리뷰_ 1,707",블로그 리뷰_ 729
초이 다이닝,일식당,5/5,방문자 리뷰_ 255,블로그 리뷰_ 262
몽주방,요리주점,5/5,방문자 리뷰_ 91,블로그 리뷰_ 76
무니,이자카야,4.49/5,방문자 리뷰_ 65,블로그 리뷰_ 78
