name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
가로수포차,38.11699999999999%_10|,79.60866666666665%_20|,45.89699999999999%_30|,39.43599999999998%_40|,27.59266666666667%_50|,24.188333333333325%_60|,여자_49%,남자_51%
어메이징농카이,25.00000000000001%_10|,96.39149999999998%_20|,92.61299999999997%_30|,80.12349999999999%_40|,60.08749999999999%_50|,55.584499999999956%_60|,여자_52%,남자_48%
라헬의부엌 홍대점,74.50633333333333%_10|,76.20933333333333%_20|,44.409999999999975%_30|,43.90966666666665%_40|,32.16233333333333%_50|,24.11733333333332%_60|,여자_66%,남자_34%
천이오겹살,55.045999999999964%_10|,97.22399999999995%_20|,89.03449999999998%_30|,79.33899999999997%_40|,61.023499999999984%_50|,25.00000000000001%_60|,여자_48%,남자_52%
미쁘동,57.13400000000001%_10|,86.75933333333332%_20|,53.189%_30|,41.566333333333326%_40|,33.79966666666667%_50|,29.68833333333331%_60|,여자_59%,남자_41%
멘야준,29.768470588235278%_10|,48.66941176470586%_20|,41.12941176470587%_30|,26.831058823529414%_40|,17.268941176470594%_50|,11.764705882352951%_60|,여자_44%,남자_56%
더핏짜 본점,43.59929411764706%_10|,49.195529411764696%_20|,39.93670588235293%_30|,33.45670588235293%_40|,24.481411764705875%_50|,16.985411764705887%_60|,여자_52%,남자_48%
더페이머스버거 홍대점,72.53933333333332%_10|,83.93066666666667%_20|,51.56133333333334%_30|,40.63566666666666%_40|,30.182333333333343%_50|,22.509999999999987%_60|,여자_51%,남자_49%
사쿠라테이엔 합정점,32.397333333333314%_10|,75.00533333333333%_20|,59.67599999999999%_30|,49.85633333333331%_40|,42.21366666666666%_50|,37.37799999999998%_60|,여자_46%,남자_54%
스시오 블랙컨테이너,62.67699999999999%_10|,79.5855%_20|,32.744999999999976%_30|,39.62449999999996%_40|,20.828499999999977%_50|,8.605999999999948%_60|,여자_41%,남자_59%
랑데자뷰 홍대점,80.92233333333331%_10|,72.46133333333333%_20|,39.11900000000001%_30|,36.315666666666665%_40|,26.18333333333333%_50|,26.489333333333327%_60|,여자_57%,남자_43%
츠케루,69.30899999999998%_10|,98.57749999999996%_20|,87.09449999999998%_30|,64.81399999999996%_40|,41.1285%_50|,34.911999999999985%_60|,여자_47%,남자_53%
솔솥 연남점,54.32666666666667%_10|,93.77099999999999%_20|,59.80266666666666%_30|,43.46533333333331%_40|,36.880333333333326%_50|,26.52166666666666%_60|,여자_62%,남자_38%
정돈 홍대점,57.50766666666666%_10|,76.84566666666666%_20|,56.328%_30|,41.50399999999998%_40|,33.016%_50|,26.486666666666654%_60|,여자_48%,남자_52%
고쿠텐 홍대점,41.91105882352941%_10|,51.749647058823534%_20|,36.35199999999999%_30|,29.432941176470596%_40|,21.411529411764715%_50|,22.3310588235294%_60|,여자_52%,남자_48%
얀 쿠브레,55.90433333333332%_10|,75.192%_20|,59.419333333333334%_30|,52.59166666666666%_40|,41.794333333333334%_50|,33.216333333333324%_60|,여자_62%,남자_38%
평안도 상원냉면,25.00000000000001%_10|,87.16199999999998%_20|,88.15399999999998%_30|,83.57449999999996%_40|,75.85549999999999%_50|,84.98399999999997%_60|,여자_38%,남자_62%
하카타나카,40.176941176470585%_10|,52.324000000000005%_20|,38.196705882352944%_30|,28.619764705882357%_40|,22.884705882352943%_50|,23.377882352941175%_60|,여자_51%,남자_49%
오버트 합정,18.33858823529411%_10|,50.808235294117644%_20|,39.433411764705866%_30|,23.108705882352933%_40|,11.136000000000006%_50|,11.764705882352951%_60|,여자_60%,남자_40%
르쁘띠푸 홍대본점,68.52466666666666%_10|,81.91866666666665%_20|,53.856%_30|,46.122666666666674%_40|,34.45900000000001%_50|,25.18133333333331%_60|,여자_59%,남자_41%
합정조이떡볶이,38.03576470588235%_10|,48.38729411764705%_20|,41.99647058823529%_30|,35.2289411764706%_40|,22.811529411764692%_50|,14.979294117647058%_60|,여자_60%,남자_40%
온돌 합정점,27.06070588235292%_10|,48.626117647058805%_20|,40.42964705882352%_30|,32.77529411764702%_40|,25.916470588235285%_50|,23.583529411764694%_60|,여자_51%,남자_49%
연교,10.92428571428569%_10|,40.691999999999986%_20|,23.646285714285682%_30|,14.839999999999964%_40|,9.661714285714273%_50|,3.6631428571428177%_60|,여자_55%,남자_45%
우동가조쿠,36.33552941176469%_10|,48.65129411764704%_20|,38.41952941176469%_30|,32.69388235294117%_40|,26.21576470588235%_50|,11.764705882352951%_60|,여자_54%,남자_46%
오이지 연남,61.59499999999999%_10|,78.49066666666667%_20|,50.98766666666664%_30|,42.200666666666656%_40|,37.545666666666655%_50|,29.66733333333334%_60|,여자_58%,남자_42%
냉장고 합정점,23.45505882352941%_10|,50.34141176470588%_20|,41.59152941176471%_30|,26.726823529411774%_40|,19.383058823529396%_50|,11.764705882352951%_60|,여자_49%,남자_51%
배터리88 홍대점,37.84733333333334%_10|,89.07299999999998%_20|,39.37566666666665%_30|,30.339%_40|,26.045666666666666%_50|,20.03833333333334%_60|,여자_52%,남자_48%
고기꾼김춘배 홍대본점,47.18333333333331%_10|,76.47766666666665%_20|,54.52533333333335%_30|,42.94766666666667%_40|,32.28633333333334%_50|,26.096000000000004%_60|,여자_45%,남자_55%
가든 포에트,11.764705882352951%_10|,50.07411764705881%_20|,42.30258823529412%_30|,37.81341176470589%_40|,17.78894117647058%_50|,11.433647058823528%_60|,여자_61%,남자_39%
연남주막1987,39.31966666666668%_10|,77.47%_20|,53.37833333333334%_30|,46.03533333333331%_40|,38.43899999999999%_50|,31.473000000000006%_60|,여자_51%,남자_49%
카멜로연남,63.19466666666664%_10|,82.09666666666666%_20|,50.834999999999994%_30|,32.81599999999999%_40|,26.476000000000017%_50|,17.42933333333333%_60|,여자_64%,남자_36%
진저피그,55.55933333333333%_10|,75.24466666666665%_20|,53.71666666666667%_30|,45.30133333333333%_40|,34.429333333333346%_50|,29.159333333333308%_60|,여자_44%,남자_56%
오리지널시카고피자 홍대본점,55.55933333333333%_10|,75.24466666666665%_20|,53.71666666666667%_30|,45.30133333333333%_40|,34.429333333333346%_50|,29.159333333333308%_60|,여자_44%,남자_56%
카페노티드 연남,65.02300000000001%_10|,87.87133333333333%_20|,69.24166666666667%_30|,66.83266666666664%_40|,46.211333333333336%_50|,30.938333333333322%_60|,여자_65%,남자_35%
헤이죠지,61.46366666666665%_10|,81.69266666666665%_20|,49.47799999999998%_30|,36.05499999999998%_40|,35.303000000000004%_50|,21.203000000000007%_60|,여자_64%,남자_36%
에일크루,25.00000000000001%_10|,99.22999999999995%_20|,84.78749999999998%_30|,76.98700000000001%_40|,54.790999999999954%_50|,25.00000000000001%_60|,여자_52%,남자_48%
에일크루,25.00000000000001%_10|,99.22999999999995%_20|,84.78749999999998%_30|,76.98700000000001%_40|,54.790999999999954%_50|,25.00000000000001%_60|,여자_52%,남자_48%
