name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
원조부안집 영등포역점,17.929882352941174%_10|,50.25247058823529%_20|,42.466352941176474%_30|,31.980235294117655%_40|,24.40235294117646%_50|,22.617882352941184%_60|,여자_46%,남자_54%
너도나도식당,25.00000000000001%_10|,84.48849999999999%_20|,90.95499999999997%_30|,89.91249999999997%_40|,82.7085%_50|,80.90699999999998%_60|,여자_48%,남자_52%
쉐이크쉑 영등포 타임스퀘어점,34.772000000000006%_10|,52.31811764705881%_20|,43.90988235294118%_30|,36.82635294117647%_40|,22.906823529411774%_50|,19.72964705882353%_60|,여자_53%,남자_47%
오묘,23.121999999999968%_10|,96.16899999999997%_20|,92.88949999999998%_30|,65.547%_40|,44.611%_50|,56.38099999999999%_60|,여자_50%,남자_50%
폰트 문래점,19.01666666666668%_10|,83.008%_20|,68.41766666666666%_30|,50.481999999999985%_40|,36.735666666666674%_50|,28.66933333333332%_60|,여자_58%,남자_42%
카페레이어드 더현대서울점,66.39433333333332%_10|,92.8693333333333%_20|,69.35333333333334%_30|,55.14699999999998%_40|,39.591333333333345%_50|,28.650666666666673%_60|,여자_68%,남자_32%
함흥냉면,10.68870588235294%_10|,37.73129411764706%_20|,43.59929411764706%_30|,46.63082352941178%_40|,45.94047058823528%_50|,52.844941176470584%_60|,여자_44%,남자_56%
우미노미,25.00000000000001%_10|,99.16249999999995%_20|,89.90499999999997%_30|,75.00250000000001%_40|,70.38599999999998%_50|,69.12499999999997%_60|,여자_50%,남자_50%
느루집,25.00000000000001%_10|,93.51299999999998%_20|,92.48999999999998%_30|,77.77749999999997%_40|,57.87999999999997%_50|,46.386499999999984%_60|,여자_50%,남자_50%
블루보틀 여의도 카페,38.07825000000001%_10|,75.414%_20|,62.08025000000001%_30|,46.75199999999999%_40|,32.32750000000001%_50|,21.945750000000015%_60|,여자_62%,남자_38%
틈커피,25.00000000000001%_10|,98.15549999999998%_20|,91.06399999999995%_30|,61.40599999999999%_40|,42.96999999999999%_50|,41.76249999999996%_60|,여자_57%,남자_43%
이한스시,38.166999999999994%_10|,97.72799999999995%_20|,90.93849999999995%_30|,86.72949999999999%_40|,81.87799999999999%_50|,77.20749999999997%_60|,여자_47%,남자_53%
렌위치,25.00000000000001%_10|,92.64149999999995%_20|,99.96449999999997%_30|,89.12199999999994%_40|,64.47749999999999%_50|,59.74699999999997%_60|,여자_56%,남자_44%
플라츠,9.574117647058824%_10|,50.86917647058823%_20|,44.86376470588236%_30|,31.385647058823523%_40|,21.301411764705886%_50|,17.76941176470589%_60|,여자_56%,남자_44%
쉐프조  문래본점,37.72199999999999%_10|,76.11866666666666%_20|,68.23466666666666%_30|,56.19599999999998%_40|,41.71733333333334%_50|,31.813666666666663%_60|,여자_58%,남자_42%
목화원,25.00000000000001%_10|,85.16349999999997%_20|,89.7665%_30|,84.93899999999995%_40|,62.85349999999998%_50|,67.12849999999996%_60|,여자_49%,남자_51%
로라멘,29.131294117647062%_10|,50.302588235294124%_20|,43.02447058823528%_30|,31.203999999999994%_40|,19.91576470588235%_50|,15.181647058823518%_60|,여자_49%,남자_51%
타마스시,15.385647058823535%_10|,47.097176470588224%_20|,46.85270588235293%_30|,39.83694117647058%_40|,34.50588235294116%_50|,31.512235294117648%_60|,여자_45%,남자_55%
카페1953위드오드리,24.3145882352941%_10|,50.913882352941165%_20|,45.27552941176467%_30|,42.133882352941164%_40|,34.97670588235292%_50|,27.67411764705881%_60|,여자_58%,남자_42%
곱 문래점,18.32964705882353%_10|,48.4705882352941%_20|,43.70823529411766%_30|,38.5%_40|,30.51952941176471%_50|,26.911529411764697%_60|,여자_49%,남자_51%
앤티크커피,17.22658823529411%_10|,50.69482352941176%_20|,44.010588235294115%_30|,32.704%_40|,23.0150588235294%_50|,18.945176470588223%_60|,여자_63%,남자_37%
이조보쌈,25.00000000000001%_10|,90.23449999999997%_20|,97.16849999999995%_30|,89.64099999999999%_40|,81.70049999999999%_50|,78.88849999999995%_60|,여자_45%,남자_55%
호텔707,24.327294117647057%_10|,50.68658823529412%_20|,42.55952941176469%_30|,32.60258823529413%_40|,22.73952941176471%_50|,16.05435294117648%_60|,여자_55%,남자_45%
귀비주옥,25.00000000000001%_10|,94.65349999999997%_20|,96.28999999999995%_30|,94.80049999999997%_40|,82.506%_50|,93.38999999999994%_60|,여자_48%,남자_52%
아이엠베이글 여의도점,20.63929411764707%_10|,47.33529411764705%_20|,44.94517647058823%_30|,40.569882352941164%_40|,29.304470588235286%_50|,23.634117647058822%_60|,여자_64%,남자_36%
덕원,11.764705882352951%_10|,28.706352941176483%_20|,41.496470588235276%_30|,45.09435294117647%_40|,45.21294117647058%_50|,51.3865882352941%_60|,여자_35%,남자_65%
모퉁이네,11.764705882352951%_10|,28.706352941176483%_20|,41.496470588235276%_30|,45.09435294117647%_40|,45.21294117647058%_50|,51.3865882352941%_60|,여자_35%,남자_65%
스몰,16.66666666666668%_10|,85.28366666666668%_20|,57.56266666666664%_30|,33.79600000000001%_40|,21.18033333333332%_50|,18.32966666666665%_60|,여자_52%,남자_48%
통통,11.764705882352951%_10|,49.54611764705881%_20|,43.152470588235275%_30|,33.38917647058824%_40|,24.098352941176472%_50|,19.176941176470578%_60|,여자_49%,남자_51%
번패티번 더현대서울점,50.34133333333334%_10|,78.23166666666665%_20|,66.22233333333334%_30|,56.428333333333335%_40|,41.51433333333331%_50|,32.76966666666665%_60|,여자_53%,남자_47%
진진만두 국회점,47.78249999999999%_10|,84.06949999999999%_20|,93.79799999999996%_30|,95.15349999999997%_40|,87.40249999999996%_50|,79.06999999999995%_60|,여자_47%,남자_53%
당산옛날곱창,25.00000000000001%_10|,98.30049999999999%_20|,96.47049999999999%_30|,79.93299999999995%_40|,63.67799999999999%_50|,60.16749999999996%_60|,여자_50%,남자_50%
문래옥상,7.134666666666659%_10|,86.44199999999998%_20|,69.12333333333333%_30|,56.972333333333324%_40|,40.460666666666654%_50|,27.79333333333333%_60|,여자_52%,남자_48%
서궁,25.00000000000001%_10|,74.14349999999995%_20|,92.77499999999996%_30|,98.26449999999994%_40|,93.76099999999995%_50|,90.68299999999998%_60|,여자_41%,남자_59%
서도냉면,25.00000000000001%_10|,79.63949999999996%_20|,86.88099999999996%_30|,78.79299999999998%_40|,69.52649999999997%_50|,91.54499999999996%_60|,여자_44%,남자_56%
3일한우국밥,25.00000000000001%_10|,79.63949999999996%_20|,86.88099999999996%_30|,78.79299999999998%_40|,69.52649999999997%_50|,91.54499999999996%_60|,여자_44%,남자_56%
이스트우드,22.63411764705883%_10|,50.23035294117646%_20|,41.61505882352941%_30|,27.28235294117647%_40|,16.852000000000007%_50|,11.764705882352951%_60|,여자_61%,남자_39%
한암동 여의도점,10.68376470588234%_10|,43.01011764705881%_20|,50.681882352941166%_30|,45.58870588235294%_40|,40.27270588235293%_50|,36.21294117647057%_60|,여자_47%,남자_53%
바이킹스워프 영등포타임스퀘어점,30.538666666666675%_10|,73.33999999999999%_20|,77.71666666666664%_30|,75.797%_40|,61.73533333333332%_50|,50.57899999999999%_60|,여자_49%,남자_51%
마츠노하나 더현대서울점,56.01733333333332%_10|,79.13333333333334%_20|,58.762333333333316%_30|,44.66333333333334%_40|,32.80666666666664%_50|,27.810333333333343%_60|,여자_56%,남자_44%
강릉장칼집 여의도점,25.00000000000001%_10|,78.22549999999998%_20|,85.24599999999995%_30|,87.52599999999995%_40|,87.43099999999995%_50|,93.31299999999995%_60|,여자_48%,남자_52%
차알 여의도점,47.040000000000006%_10|,98.57749999999996%_20|,97.41699999999994%_30|,80.43799999999999%_40|,56.149999999999956%_50|,52.034000000000006%_60|,여자_52%,남자_48%
허브족발,47.040000000000006%_10|,98.57749999999996%_20|,97.41699999999994%_30|,80.43799999999999%_40|,56.149999999999956%_50|,52.034000000000006%_60|,여자_52%,남자_48%
돈블랑 여의도점,40.19199999999999%_10|,90.639%_20|,91.69199999999996%_30|,86.46749999999994%_40|,74.10949999999997%_50|,58.70699999999999%_60|,여자_44%,남자_56%
당산빨간쭈꾸미,25.00000000000001%_10|,95.81049999999999%_20|,90.54949999999997%_30|,76.954%_40|,64.597%_50|,25.00000000000001%_60|,여자_52%,남자_48%
라크라센타,49.13699999999997%_10|,95.24049999999997%_20|,95.06249999999996%_30|,91.23799999999996%_40|,71.28749999999998%_50|,48.47%_60|,여자_57%,남자_43%
카멜커피 더현대 서울,32.98274999999998%_10|,75.6185%_20|,67.59224999999998%_30|,53.89574999999998%_40|,36.44124999999999%_50|,25.313249999999986%_60|,여자_67%,남자_33%
백리향,23.621647058823516%_10|,40.295764705882334%_20|,51.234823529411756%_30|,46.37176470588234%_40|,42.2376470588235%_50|,45.505882352941164%_60|,여자_46%,남자_54%
단아,25.00000000000001%_10|,76.93349999999997%_20|,95.96949999999995%_30|,98.98199999999999%_40|,88.2375%_50|,69.70399999999997%_60|,여자_43%,남자_57%
브로트아트,49.36649999999997%_10|,92.28999999999995%_20|,90.57449999999997%_30|,87.89749999999998%_40|,82.28349999999999%_50|,89.55899999999997%_60|,여자_60%,남자_40%
동경화로 문래점,25.00000000000001%_10|,91.39849999999996%_20|,96.09149999999997%_30|,89.63049999999997%_40|,75.99349999999997%_50|,65.48849999999999%_60|,여자_44%,남자_56%
찰랑,16.66666666666668%_10|,78.90266666666666%_20|,59.962333333333326%_30|,38.08833333333331%_40|,22.71833333333332%_50|,18.128999999999984%_60|,여자_53%,남자_47%
낙원테산도 타임스퀘어점,44.167058823529416%_10|,52.43458823529412%_20|,40.464%_30|,30.02494117647058%_40|,21.35411764705883%_50|,17.43999999999999%_60|,여자_57%,남자_43%
히츠지야 영등포역점,10.952235294117648%_10|,47.89623529411765%_20|,42.35835294117648%_30|,32.66235294117647%_40|,17.156%_50|,18.968941176470576%_60|,여자_44%,남자_56%
야마야,25.00000000000001%_10|,97.39649999999996%_20|,95.413%_30|,70.10399999999997%_40|,46.13549999999998%_50|,39.7925%_60|,여자_51%,남자_49%
사대부집 곳간,10.462823529411772%_10|,40.148235294117626%_20|,50.760941176470574%_30|,50.87294117647059%_40|,50.76070588235293%_50|,49.51011764705881%_60|,여자_52%,남자_48%
온기정 타임스퀘어점,33.319999999999986%_10|,51.07576470588234%_20|,43.469411764705875%_30|,36.77529411764703%_40|,28.554117647058803%_50|,25.53082352941174%_60|,여자_55%,남자_45%
본보야지,31.914823529411766%_10|,49.46941176470588%_20|,46.19552941176471%_30|,36.625882352941176%_40|,29.16799999999999%_50|,23.43529411764706%_60|,여자_48%,남자_52%
롱타임노씨 당산점,11.764705882352951%_10|,49.99835294117648%_20|,42.94776470588235%_30|,34.80352941176471%_40|,27.007058823529405%_50|,18.616470588235284%_60|,여자_49%,남자_51%
공간다반사 이전오픈,59.24349999999998%_10|,99.73449999999997%_20|,86.89549999999998%_30|,61.495%_40|,47.24450000000001%_50|,37.60799999999996%_60|,여자_58%,남자_42%
갓포아키 여의도점,11.764705882352951%_10|,46.144235294117635%_20|,49.2710588235294%_30|,39.68211764705883%_40|,30.398117647058815%_50|,24.721411764705877%_60|,여자_46%,남자_54%
진진만두 여의도점,25.00000000000001%_10|,78.55649999999996%_20|,96.88199999999999%_30|,96.38499999999996%_40|,93.69449999999998%_50|,85.85649999999997%_60|,여자_46%,남자_54%
피크니크 선유도점,27.924470588235284%_10|,48.89199999999998%_20|,41.47552941176469%_30|,33.8110588235294%_40|,26.62658823529412%_50|,23.326823529411758%_60|,여자_61%,남자_39%
문뜩,25.00000000000001%_10|,95.67299999999997%_20|,88.68999999999996%_30|,70.20949999999996%_40|,74.11749999999998%_50|,57.26099999999998%_60|,여자_54%,남자_46%
모도우 여의도점,18.636941176470593%_10|,50.372941176470576%_20|,52.71835294117645%_30|,41.68305882352941%_40|,34.41882352941175%_50|,30.7284705882353%_60|,여자_50%,남자_50%
준무,25.00000000000001%_10|,98.87699999999995%_20|,93.96249999999998%_30|,80.82499999999996%_40|,58.524%_50|,51.98449999999997%_60|,여자_47%,남자_53%
서울커피,43.009%_10|,95.942%_20|,94.94599999999994%_30|,80.6815%_40|,52.3795%_50|,37.02199999999999%_60|,여자_57%,남자_43%
문래그집,25.00000000000001%_10|,95.87949999999998%_20|,91.53799999999997%_30|,75.821%_40|,59.36149999999999%_50|,25.00000000000001%_60|,여자_47%,남자_53%
뚜스뚜스 선유점,17.226352941176483%_10|,48.940470588235286%_20|,44.782823529411765%_30|,42.04988235294117%_40|,40.321411764705886%_50|,35.40635294117646%_60|,여자_58%,남자_42%
솔트앤페퍼,17.226352941176483%_10|,48.940470588235286%_20|,44.782823529411765%_30|,42.04988235294117%_40|,40.321411764705886%_50|,35.40635294117646%_60|,여자_58%,남자_42%
아트몬스터 영등포점,11.764705882352951%_10|,51.6689411764706%_20|,39.75976470588235%_30|,29.390352941176477%_40|,13.749411764705885%_50|,11.764705882352951%_60|,여자_50%,남자_50%
카페솔트,11.764705882352951%_10|,50.99011764705882%_20|,39.13364705882352%_30|,26.69317647058824%_40|,20.20329411764707%_50|,11.764705882352951%_60|,여자_57%,남자_43%
스시젠,11.764705882352951%_10|,48.45717647058822%_20|,46.02611764705881%_30|,34.707294117647066%_40|,28.29247058823529%_50|,25.14447058823528%_60|,여자_47%,남자_53%
폴앤폴리나 여의도점,39.927499999999995%_10|,98.35799999999996%_20|,97.02649999999998%_30|,85.44249999999994%_40|,67.59449999999998%_50|,57.227499999999964%_60|,여자_60%,남자_40%
시간을들이다 양평역점,55.04199999999994%_10|,85.96199999999995%_20|,90.48799999999999%_30|,88.65499999999994%_40|,65.52049999999994%_50|,51.44349999999993%_60|,여자_61%,남자_39%
연타발 여의도점,25.00000000000001%_10|,65.49149999999996%_20|,88.57899999999998%_30|,92.76549999999997%_40|,77.53599999999997%_50|,25.00000000000001%_60|,여자_44%,남자_56%
스시로 타임스퀘어점,32.19458823529412%_10|,50.67835294117646%_20|,42.7115294117647%_30|,34.93011764705881%_40|,23.528000000000006%_50|,19.47435294117647%_60|,여자_50%,남자_50%
승남집,25.00000000000001%_10|,95.15099999999995%_20|,90.59349999999996%_30|,75.24199999999995%_40|,54.57599999999999%_50|,25.00000000000001%_60|,여자_47%,남자_53%
엉클피자 unclepizza,25.00000000000001%_10|,96.40449999999997%_20|,89.05199999999999%_30|,64.69399999999995%_40|,52.364%_50|,25.00000000000001%_60|,여자_50%,남자_50%
카페마마스 타임스퀘어점,11.764705882352951%_10|,48.168941176470575%_20|,44.559999999999995%_30|,35.88635294117647%_40|,23.39176470588236%_50|,16.39317647058824%_60|,여자_62%,남자_38%
일호면옥,25.00000000000001%_10|,78.11899999999997%_20|,91.22099999999996%_30|,90.28299999999997%_40|,80.53099999999999%_50|,84.25199999999997%_60|,여자_46%,남자_54%
보나베띠 여의도점,54.424499999999945%_10|,99.12649999999998%_20|,94.53199999999997%_30|,76.51249999999995%_40|,63.85949999999997%_50|,57.62549999999995%_60|,여자_46%,남자_54%
모닝캄 커피랩,11.764705882352951%_10|,47.535764705882336%_20|,43.73788235294117%_30|,31.85270588235294%_40|,20.01647058823529%_50|,18.28258823529412%_60|,여자_58%,남자_42%
애슐리퀸즈 여의도한강공원점,29.01142857142856%_10|,38.507714285714265%_20|,26.527142857142845%_30|,31.850285714285693%_40|,22.768857142857133%_50|,21.449714285714247%_60|,여자_53%,남자_47%
신길어름,65.13749999999997%_10|,98.02399999999997%_20|,85.40049999999995%_30|,70.84349999999996%_40|,59.43449999999996%_50|,53.12599999999996%_60|,여자_57%,남자_43%
기글,11.764705882352951%_10|,49.55952941176471%_20|,39.48305882352942%_30|,26.409647058823538%_40|,17.47223529411765%_50|,11.764705882352951%_60|,여자_60%,남자_40%
이와타,56.56399999999998%_10|,97.56649999999996%_20|,92.00049999999995%_30|,70.27699999999996%_40|,43.1075%_50|,25.00000000000001%_60|,여자_47%,남자_53%
폴트버거 더현대서울,35.50188235294117%_10|,50.68329411764706%_20|,43.68729411764706%_30|,35.826352941176474%_40|,23.713176470588234%_50|,20.835764705882344%_60|,여자_51%,남자_49%
미나리우리삼겹,25.00000000000001%_10|,96.87299999999995%_20|,94.41599999999997%_30|,83.44249999999994%_40|,69.18749999999999%_50|,63.904999999999966%_60|,여자_48%,남자_52%
더플레이스 영등포 타임스퀘어점,67.49399999999997%_10|,99.48449999999994%_20|,92.58499999999994%_30|,69.43999999999998%_40|,47.08899999999998%_50|,40.301499999999976%_60|,여자_51%,남자_49%
온더보더 여의도IFC점,18.41011764705881%_10|,45.065882352941166%_20|,48.81835294117648%_30|,42.14682352941175%_40|,27.282823529411775%_50|,22.92941176470589%_60|,여자_56%,남자_44%
문래친친,16.66666666666668%_10|,76.62233333333333%_20|,60.61000000000001%_30|,35.80766666666668%_40|,20.39666666666665%_50|,15.131000000000002%_60|,여자_56%,남자_44%
