,name,score,visitCount,blogCount
946,연탄불꿀곱창,4.34/5,방문자 리뷰_ 222,블로그 리뷰_ 70
947,털보타코,5/5,방문자 리뷰_ 28,블로그 리뷰_ 65
948,프랭크버거 건대점,4.45/5,방문자 리뷰_ 616,블로그 리뷰_ 168
949,홍대돈부리 건대점,4.5/5,방문자 리뷰_ 246,블로그 리뷰_ 476
950,동해해물,4.38/5,방문자 리뷰_ 120,블로그 리뷰_ 197
951,샐러디 건대역점,4.56/5,"방문자 리뷰_ 1,137",블로그 리뷰_ 90
952,화양식당,4.17/5,방문자 리뷰_ 217,블로그 리뷰_ 94
953,사거리식당 건대직영점,4.17/5,방문자 리뷰_ 292,블로그 리뷰_ 185
954,노네임드키친,4.79/5,방문자 리뷰_ 89,블로그 리뷰_ 54
955,몽몽공장 아뜰리에 드로잉카페,4.9/5,방문자 리뷰_ 233,블로그 리뷰_ 91
956,복만루,4.46/5,방문자 리뷰_ 151,블로그 리뷰_ 248
957,김부삼 건대점,4.26/5,방문자 리뷰_ 325,블로그 리뷰_ 312
958,이름없는파스타 건대점,4.32/5,방문자 리뷰_ 458,블로그 리뷰_ 136
959,금하,4.24/5,방문자 리뷰_ 285,블로그 리뷰_ 94
960,꼽사리떡볶이,4.15/5,방문자 리뷰_ 226,블로그 리뷰_ 104
961,무지개맥주 건대점,4.64/5,방문자 리뷰_ 139,블로그 리뷰_ 62
962,궤도에오르다,4.58/5,방문자 리뷰_ 207,블로그 리뷰_ 161
963,123막창 서울건대점,4.4/5,방문자 리뷰_ 250,블로그 리뷰_ 70
964,아메리칸트레이 건대입구점,4.4/5,방문자 리뷰_ 62,블로그 리뷰_ 89
965,만원수산 건대점,4.66/5,방문자 리뷰_ 210,블로그 리뷰_ 171
966,당산오돌 구의역점,4.66/5,방문자 리뷰_ 339,블로그 리뷰_ 452
967,아웃닭 건대점,4.44/5,방문자 리뷰_ 442,블로그 리뷰_ 234
968,강경수참치,4.62/5,방문자 리뷰_ 128,블로그 리뷰_ 72
969,온달집 건대점,4.29/5,방문자 리뷰_ 236,블로그 리뷰_ 77
970,조선주막,4.42/5,방문자 리뷰_ 347,블로그 리뷰_ 304
971,갈비집 본,5/5,방문자 리뷰_ 53,블로그 리뷰_ 64
972,푸오커스,5/5,방문자 리뷰_ 104,블로그 리뷰_ 53
973,오감만족,4.37/5,방문자 리뷰_ 187,블로그 리뷰_ 79
974,통큰감자탕,4.51/5,방문자 리뷰_ 192,블로그 리뷰_ 106
975,트리안 건대점,4.45/5,방문자 리뷰_ 328,블로그 리뷰_ 134
976,롤링파스타 건대지점,4.42/5,방문자 리뷰_ 934,블로그 리뷰_ 332
977,대동집 건대점,4.42/5,방문자 리뷰_ 80,블로그 리뷰_ 22
978,난바다스시,4.42/5,방문자 리뷰_ 669,블로그 리뷰_ 69
979,칸틴,4.17/5,방문자 리뷰_ 27,블로그 리뷰_ 42
