name,gubun,score,visitCount,blogCount
콘부 더현대서울,일본식라면,4.61/5,방문자 리뷰_ 91,블로그 리뷰_ 81
베르데커피,"카페,디저트",4.61/5,방문자 리뷰_ 243,블로그 리뷰_ 254
페어링,"스파게티,파스타전문",4.69/5,방문자 리뷰_ 911,블로그 리뷰_ 432
원조부안집 영등포역점,돼지고기구이,4.72/5,"방문자 리뷰_ 1,283",블로그 리뷰_ 484
너도나도식당,한식,4.34/5,방문자 리뷰_ 761,블로그 리뷰_ 371
쉐이크쉑 영등포 타임스퀘어점,햄버거,4.42/5,"방문자 리뷰_ 11,432",블로그 리뷰_ 902
오묘,일식당,4.82/5,방문자 리뷰_ 57,블로그 리뷰_ 44
폰트 문래점,"카페,디저트",4.82/5,방문자 리뷰_ 593,블로그 리뷰_ 406
카페레이어드 더현대서울점,베이커리,4.41/5,방문자 리뷰_ 618,"블로그 리뷰_ 1,102"
함흥냉면,냉면,4.28/5,"방문자 리뷰_ 1,085",블로그 리뷰_ 403
우미노미,일식당,4.28/5,방문자 리뷰_ 660,블로그 리뷰_ 420
느루집,닭갈비,4.28/5,방문자 리뷰_ 75,블로그 리뷰_ 32
블루보틀 여의도 카페,블루보틀,4.43/5,"방문자 리뷰_ 6,522",블로그 리뷰_ 816
틈커피,"카페,디저트",4.43/5,방문자 리뷰_ 22,블로그 리뷰_ 21
이한스시,"초밥,롤",4.38/5,"방문자 리뷰_ 1,669","블로그 리뷰_ 1,457"
렌위치,샌드위치,4.38/5,방문자 리뷰_ 298,블로그 리뷰_ 99
플라츠,양식,4.2/5,방문자 리뷰_ 273,블로그 리뷰_ 274
쉐프조  문래본점,케이크전문,4.41/5,"방문자 리뷰_ 2,608",블로그 리뷰_ 708
목화원,일식당,4.41/5,방문자 리뷰_ 35,블로그 리뷰_ 32
로라멘,일본식라면,4.51/5,방문자 리뷰_ 538,블로그 리뷰_ 479
타마스시,"초밥,롤",4.63/5,방문자 리뷰_ 492,블로그 리뷰_ 671
카페1953위드오드리,"카페,디저트",4.48/5,"방문자 리뷰_ 1,729",블로그 리뷰_ 843
곱 문래점,"곱창,막창,양",4.48/5,방문자 리뷰_ 929,블로그 리뷰_ 906
앤티크커피,"카페,디저트",4.63/5,방문자 리뷰_ 546,블로그 리뷰_ 403
이조보쌈,"족발,보쌈",4.27/5,"방문자 리뷰_ 1,523",블로그 리뷰_ 757
호텔707,바(BAR),4.41/5,방문자 리뷰_ 802,"블로그 리뷰_ 1,642"
귀비주옥,중식당,4.41/5,방문자 리뷰_ 170,블로그 리뷰_ 105
아이엠베이글 여의도점,브런치,4.61/5,"방문자 리뷰_ 1,405",블로그 리뷰_ 376
덕원,"곰탕,설렁탕",4.26/5,방문자 리뷰_ 192,블로그 리뷰_ 167
모퉁이네,떡볶이,4.38/5,방문자 리뷰_ 443,블로그 리뷰_ 220
스몰,요리주점,4.35/5,방문자 리뷰_ 485,블로그 리뷰_ 367
통통,중식당,4.48/5,방문자 리뷰_ 780,블로그 리뷰_ 344
번패티번 더현대서울점,햄버거,4.37/5,"방문자 리뷰_ 2,136",블로그 리뷰_ 749
진진만두 국회점,"칼국수,만두",4.33/5,방문자 리뷰_ 571,블로그 리뷰_ 177
당산옛날곱창,"곱창,막창,양",4.47/5,"방문자 리뷰_ 1,079",블로그 리뷰_ 748
문래옥상,이자카야,4.47/5,방문자 리뷰_ 115,블로그 리뷰_ 36
서궁,중식당,4.27/5,방문자 리뷰_ 498,블로그 리뷰_ 459
서도냉면,냉면,4.27/5,방문자 리뷰_ 24,블로그 리뷰_ 18
3일한우국밥,국밥,4.34/5,"방문자 리뷰_ 3,060",블로그 리뷰_ 503
이스트우드,"카페,디저트",4.53/5,방문자 리뷰_ 524,블로그 리뷰_ 341
한암동 여의도점,"곰탕,설렁탕",4.86/5,방문자 리뷰_ 896,"블로그 리뷰_ 1,232"
바이킹스워프 영등포타임스퀘어점,바닷가재요리,4.09/5,방문자 리뷰_ 420,블로그 리뷰_ 372
마츠노하나 더현대서울점,일식당,4.38/5,"방문자 리뷰_ 1,306",블로그 리뷰_ 400
강릉장칼집 여의도점,"칼국수,만두",4.54/5,방문자 리뷰_ 489,블로그 리뷰_ 234
차알 여의도점,중식당,4.35/5,"방문자 리뷰_ 1,182",블로그 리뷰_ 600
허브족발,"족발,보쌈",4.49/5,"방문자 리뷰_ 1,835",블로그 리뷰_ 978
돈블랑 여의도점,"육류,고기요리",4.47/5,방문자 리뷰_ 482,블로그 리뷰_ 151
당산빨간쭈꾸미,주꾸미요리,4.35/5,방문자 리뷰_ 901,블로그 리뷰_ 327
라크라센타,"카페,디저트",4.43/5,"방문자 리뷰_ 1,391",블로그 리뷰_ 838
카멜커피 더현대 서울,카페,4.13/5,방문자 리뷰_ 617,블로그 리뷰_ 791
백리향,중식당,4.62/5,방문자 리뷰_ 677,블로그 리뷰_ 665
단아,한식,4.44/5,방문자 리뷰_ 287,블로그 리뷰_ 65
브로트아트,카페,4.37/5,방문자 리뷰_ 840,블로그 리뷰_ 273
동경화로 문래점,소고기구이,4.6/5,"방문자 리뷰_ 1,548",블로그 리뷰_ 917
찰랑,요리주점,4.41/5,방문자 리뷰_ 584,블로그 리뷰_ 403
낙원테산도 타임스퀘어점,일식당,4.41/5,"방문자 리뷰_ 1,508",블로그 리뷰_ 589
히츠지야 영등포역점,양갈비,4.41/5,방문자 리뷰_ 98,블로그 리뷰_ 32
야마야,일식당,4.34/5,방문자 리뷰_ 501,블로그 리뷰_ 457
사대부집 곳간,한식,4.28/5,방문자 리뷰_ 578,블로그 리뷰_ 619
온기정 타임스퀘어점,일식당,4.19/5,"방문자 리뷰_ 1,225",블로그 리뷰_ 452
본보야지,이탈리아음식,4.4/5,방문자 리뷰_ 386,블로그 리뷰_ 969
롱타임노씨 당산점,"맥주,호프",4.61/5,방문자 리뷰_ 832,블로그 리뷰_ 397
공간다반사 이전오픈,"카페,디저트",4.61/5,방문자 리뷰_ 592,블로그 리뷰_ 693
갓포아키 여의도점,일식당,4.47/5,방문자 리뷰_ 188,블로그 리뷰_ 308
진진만두 여의도점,만두,4.32/5,방문자 리뷰_ 350,블로그 리뷰_ 190
피크니크 선유도점,베이커리,4.52/5,"방문자 리뷰_ 1,221",블로그 리뷰_ 644
문뜩,양식,4.52/5,방문자 리뷰_ 38,블로그 리뷰_ 27
모도우 여의도점,"육류,고기요리",4.72/5,"방문자 리뷰_ 1,062","블로그 리뷰_ 1,367"
준무,이자카야,4.31/5,방문자 리뷰_ 253,블로그 리뷰_ 286
서울커피,"카페,디저트",4.49/5,방문자 리뷰_ 540,블로그 리뷰_ 126
문래그집,"육류,고기요리",4.54/5,방문자 리뷰_ 458,블로그 리뷰_ 608
뚜스뚜스 선유점,패밀리레스토랑,4.39/5,"방문자 리뷰_ 2,226",블로그 리뷰_ 588
솔트앤페퍼,양식,4.39/5,방문자 리뷰_ 9,블로그 리뷰_ 11
아트몬스터 영등포점,"맥주,호프",4.59/5,방문자 리뷰_ 767,블로그 리뷰_ 996
카페솔트,"카페,디저트",4.45/5,방문자 리뷰_ 362,블로그 리뷰_ 586
스시젠,일식당,4.78/5,방문자 리뷰_ 969,블로그 리뷰_ 192
폴앤폴리나 여의도점,베이커리,4.53/5,방문자 리뷰_ 804,블로그 리뷰_ 367
시간을들이다 양평역점,베이커리,4.71/5,"방문자 리뷰_ 1,170",블로그 리뷰_ 166
연타발 여의도점,"곱창,막창,양",4.3/5,방문자 리뷰_ 587,블로그 리뷰_ 76
스시로 타임스퀘어점,"초밥,롤",4.15/5,방문자 리뷰_ 826,블로그 리뷰_ 122
승남집,소고기구이,4.61/5,방문자 리뷰_ 498,블로그 리뷰_ 678
엉클피자 unclepizza,피자,4.85/5,방문자 리뷰_ 122,블로그 리뷰_ 151
카페마마스 타임스퀘어점,양식,4.39/5,방문자 리뷰_ 122,블로그 리뷰_ 151
일호면옥,냉면,4.33/5,방문자 리뷰_ 582,블로그 리뷰_ 151
보나베띠 여의도점,이탈리아음식,4.23/5,방문자 리뷰_ 289,블로그 리뷰_ 799
모닝캄 커피랩,"카페,디저트",4.23/5,방문자 리뷰_ 302,블로그 리뷰_ 272
애슐리퀸즈 여의도한강공원점,패밀리레스토랑,3.86/5,"방문자 리뷰_ 1,671",블로그 리뷰_ 610
신길어름,"카페,디저트",4.74/5,방문자 리뷰_ 354,블로그 리뷰_ 217
기글,"카페,디저트",4.54/5,방문자 리뷰_ 580,블로그 리뷰_ 671
이와타,일본식라면,4.38/5,방문자 리뷰_ 322,블로그 리뷰_ 1
폴트버거 더현대서울,햄버거,3.98/5,방문자 리뷰_ 132,블로그 리뷰_ 409
미나리우리삼겹,"육류,고기요리",4.7/5,방문자 리뷰_ 672,블로그 리뷰_ 358
더플레이스 영등포 타임스퀘어점,이탈리아음식,4.46/5,"방문자 리뷰_ 3,620",블로그 리뷰_ 607
온더보더 여의도IFC점,"멕시코,남미음식",4.4/5,"방문자 리뷰_ 2,510","블로그 리뷰_ 1,086"
문래친친,와인,4.28/5,방문자 리뷰_ 320,블로그 리뷰_ 179
송죽장,중식당,4.28/5,방문자 리뷰_ 343,블로그 리뷰_ 66
초밥마트,"초밥,롤",4.56/5,방문자 리뷰_ 636,블로그 리뷰_ 172
토종순두부 2000냥하우스,요리주점,4.27/5,방문자 리뷰_ 110,블로그 리뷰_ 161
버거플리즈 BRGR PLZ,햄버거,4.62/5,방문자 리뷰_ 192,블로그 리뷰_ 113
오복수산참치,생선회,4.44/5,방문자 리뷰_ 665,블로그 리뷰_ 409
홍중샤브뷔페,샤브샤브,4.45/5,방문자 리뷰_ 580,블로그 리뷰_ 348
은진포차,포장마차,4.24/5,방문자 리뷰_ 218,블로그 리뷰_ 206
희정식당,양식,4.27/5,방문자 리뷰_ 698,블로그 리뷰_ 530
월화고기 문래점,"육류,고기요리",4.51/5,"방문자 리뷰_ 1,079",블로그 리뷰_ 876
63뷔페 파빌리온,뷔페,4.5/5,"방문자 리뷰_ 10,518","블로그 리뷰_ 2,218"
화해당 여의도점,게요리,4.31/5,방문자 리뷰_ 181,블로그 리뷰_ 194
스시나베,"초밥,롤",4.43/5,방문자 리뷰_ 892,블로그 리뷰_ 628
온더보더 타임스퀘어점,"멕시코,남미음식",4.46/5,"방문자 리뷰_ 2,644","블로그 리뷰_ 1,083"
콘래드서울 37그릴앤바,양식,4.13/5,방문자 리뷰_ 571,블로그 리뷰_ 902
토끼정 타임스퀘어,일식당,4.13/5,"방문자 리뷰_ 1,640",블로그 리뷰_ 383
잭슨피자 영등포점,피자,4.13/5,방문자 리뷰_ 124,블로그 리뷰_ 23
솥돈 문래점,돼지고기구이,4.56/5,방문자 리뷰_ 283,블로그 리뷰_ 214
무월식탁 타임스퀘어점,한식,4.36/5,"방문자 리뷰_ 1,988",블로그 리뷰_ 414
부일숯불갈비,"육류,고기요리",4.62/5,방문자 리뷰_ 927,블로그 리뷰_ 509
문래방구,"카페,디저트",4.55/5,방문자 리뷰_ 208,블로그 리뷰_ 401
감계무량 당산본점,"치킨,닭강정",4.37/5,방문자 리뷰_ 314,블로그 리뷰_ 377
쿠치나후,이탈리아음식,4.44/5,방문자 리뷰_ 249,블로그 리뷰_ 269
모던눌랑 여의도점,중식당,4.35/5,방문자 리뷰_ 636,블로그 리뷰_ 264
포옹남 당산점,베트남음식,4.62/5,방문자 리뷰_ 211,블로그 리뷰_ 184
