name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
그래잇,41.725176470588245%_10|,49.30917647058822%_20|,32.18376470588236%_30|,40.83270588235294%_40|,15.719764705882353%_50|,14.000235294117653%_60|,여자_52%,남자_48%
할매 닭한마리,41.725176470588245%_10|,49.30917647058822%_20|,32.18376470588236%_30|,40.83270588235294%_40|,15.719764705882353%_50|,14.000235294117653%_60|,여자_52%,남자_48%
대왕김밥,45.41299999999996%_10|,84.84799999999994%_20|,94.40349999999994%_30|,95.14899999999994%_40|,75.68899999999998%_50|,68.904%_60|,여자_52%,남자_48%
솔솥 부평점,45.41299999999996%_10|,84.84799999999994%_20|,94.40349999999994%_30|,95.14899999999994%_40|,75.68899999999998%_50|,68.904%_60|,여자_52%,남자_48%
세겹살,25.00000000000001%_10|,94.16299999999997%_20|,86.09299999999995%_30|,77.71249999999999%_40|,63.54249999999998%_50|,61.294999999999966%_60|,여자_46%,남자_54%
세광양대창 인천삼산점,25.00000000000001%_10|,86.05649999999994%_20|,87.27999999999999%_30|,90.82349999999997%_40|,72.585%_50|,66.22049999999999%_60|,여자_47%,남자_53%
까치기사식당,25.00000000000001%_10|,67.04349999999995%_20|,86.01299999999998%_30|,92.60399999999998%_40|,80.87199999999997%_50|,84.45849999999996%_60|,여자_41%,남자_59%
꽃차당,67.80999999999996%_10|,96.89449999999997%_20|,86.4905%_30|,70.25999999999996%_40|,56.76099999999998%_50|,25.00000000000001%_60|,여자_64%,남자_36%
벤식당,25.00000000000001%_10|,77.1065%_20|,93.12349999999999%_30|,88.99049999999994%_40|,65.43649999999998%_50|,65.547%_60|,여자_50%,남자_50%
만석이네육즙고깃간,25.00000000000001%_10|,86.94199999999998%_20|,91.22899999999997%_30|,85.10099999999994%_40|,67.75699999999999%_50|,66.1355%_60|,여자_44%,남자_56%
오늘그대와 부평점,43.3684705882353%_10|,48.74964705882352%_20|,34.48941176470589%_30|,25.492000000000004%_40|,17.591294117647063%_50|,11.764705882352951%_60|,여자_57%,남자_43%
비피디카페,11.764705882352951%_10|,47.13458823529411%_20|,33.2950588235294%_30|,22.662117647058825%_40|,11.764705882352951%_50|,11.764705882352951%_60|,여자_59%,남자_41%
올드타운,25.00000000000001%_10|,92.27149999999997%_20|,91.16899999999997%_30|,59.712999999999994%_40|,64.0025%_50|,25.00000000000001%_60|,여자_64%,남자_36%
