,name,gubun,score,visitCount,blogCount
146,제이앤제이슨 X,바(BAR),4.13/5,방문자 리뷰_ 21,블로그 리뷰_ 322
147,빠레뜨한남 가로수길점,양식,4.58/5,"방문자 리뷰_ 1,723","블로그 리뷰_ 1,136"
148,고트델리 압구정,샌드위치,4.62/5,방문자 리뷰_ 607,블로그 리뷰_ 459
149,우미학,"육류,고기요리",4.41/5,방문자 리뷰_ 348,블로그 리뷰_ 555
150,뮤즈온,바(BAR),4.39/5,방문자 리뷰_ 427,블로그 리뷰_ 161
151,정돈프리미엄 신사점,돈가스,4.35/5,방문자 리뷰_ 584,블로그 리뷰_ 727
152,선셋스위밍 샌드위치,샌드위치,4.33/5,방문자 리뷰_ 677,블로그 리뷰_ 512
153,프레임,양식,4.33/5,방문자 리뷰_ 46,블로그 리뷰_ 39
154,노모어피자,양식,4.75/5,"방문자 리뷰_ 1,162","블로그 리뷰_ 1,048"
155,타코앤칠리,"멕시코,남미음식",4.96/5,방문자 리뷰_ 51,블로그 리뷰_ 165
156,스시츠바사,일식당,4.42/5,방문자 리뷰_ 231,블로그 리뷰_ 367
157,플링크 압구정,베이커리,4.45/5,방문자 리뷰_ 227,블로그 리뷰_ 216
158,김북순큰남비집 신사본점,한식,4.47/5,방문자 리뷰_ 776,블로그 리뷰_ 422
159,아우어베이커리 도산본점,베이커리,4.45/5,"방문자 리뷰_ 4,109","블로그 리뷰_ 1,431"
160,우시야 본점,소고기구이,4.51/5,방문자 리뷰_ 88,블로그 리뷰_ 493
161,Bowl Room,"다이어트,샐러드",4.53/5,방문자 리뷰_ 729,블로그 리뷰_ 645
162,신사 모소리,"육류,고기요리",4.53/5,방문자 리뷰_ 348,블로그 리뷰_ 554
163,천미미,중식당,4.39/5,방문자 리뷰_ 504,블로그 리뷰_ 394
164,오엔,이탈리아음식,4.16/5,방문자 리뷰_ 336,"블로그 리뷰_ 1,131"
165,이치에,일식당,4.46/5,방문자 리뷰_ 168,블로그 리뷰_ 689
166,텔러스 9.5,바(BAR),4.5/5,방문자 리뷰_ 484,블로그 리뷰_ 274
167,더플레이트디저트,베이커리,4.44/5,방문자 리뷰_ 378,블로그 리뷰_ 114
168,사브서울,와인,4.44/5,방문자 리뷰_ 51,블로그 리뷰_ 252
169,신사숙녀,포장마차,4.44/5,방문자 리뷰_ 465,블로그 리뷰_ 63
170,어물전 청 도산공원점,"해물,생선요리",4.33/5,방문자 리뷰_ 24,블로그 리뷰_ 208
171,아가젤라또,아이스크림,4.57/5,방문자 리뷰_ 306,블로그 리뷰_ 225
172,바빌리안테이블,양식,4.64/5,방문자 리뷰_ 515,"블로그 리뷰_ 1,728"
173,핀치브런치바,브런치,4.85/5,방문자 리뷰_ 76,블로그 리뷰_ 95
174,더페이머스버거 신사점,햄버거,4.45/5,방문자 리뷰_ 675,블로그 리뷰_ 619
175,대봉집 신사본점,"육류,고기요리",4.45/5,방문자 리뷰_ 351,블로그 리뷰_ 485
176,랜디스도넛 가로수길점,도넛,4.45/5,"방문자 리뷰_ 2,477",블로그 리뷰_ 696
177,당옥,"카페,디저트",4.32/5,방문자 리뷰_ 363,블로그 리뷰_ 368
178,뮤지드아트,"카페,디저트",4.32/5,방문자 리뷰_ 35,블로그 리뷰_ 22
179,UPPERWEST,양식,4.45/5,방문자 리뷰_ 283,블로그 리뷰_ 324
180,카페 아뮈제 도산,"카페,디저트",4.62/5,방문자 리뷰_ 508,블로그 리뷰_ 300
181,우돈청,"육류,고기요리",4.58/5,방문자 리뷰_ 164,블로그 리뷰_ 237
182,플르서라구뜨,브런치,4.58/5,방문자 리뷰_ 41,블로그 리뷰_ 13
183,리마크스,브런치,4.58/5,방문자 리뷰_ 114,블로그 리뷰_ 169
184,스몰디쉬빅쇼,아시아음식,4.51/5,방문자 리뷰_ 433,블로그 리뷰_ 470
185,시추안하우스 압구정점,중식당,4.48/5,방문자 리뷰_ 560,블로그 리뷰_ 228
186,에이커스,"다이어트,샐러드",4.11/5,방문자 리뷰_ 404,블로그 리뷰_ 260
187,잠수교집 5호점,한식,4.51/5,방문자 리뷰_ 582,블로그 리뷰_ 388
188,청수당갤러리,"카페,디저트",4.44/5,"방문자 리뷰_ 1,102",블로그 리뷰_ 983
189,식물학,카페,4.43/5,방문자 리뷰_ 587,"블로그 리뷰_ 1,042"
190,카페 마당,북카페,4.47/5,방문자 리뷰_ 323,블로그 리뷰_ 652
191,파시0914,양식,4.47/5,방문자 리뷰_ 160,블로그 리뷰_ 236
192,미우,소고기구이,4.79/5,방문자 리뷰_ 78,블로그 리뷰_ 138
193,을지다락 가로수길,이탈리아음식,4.48/5,방문자 리뷰_ 663,블로그 리뷰_ 530
194,형훈 텐동,일식당,4.4/5,방문자 리뷰_ 559,블로그 리뷰_ 552
195,심양 청담본점,양꼬치,4.26/5,방문자 리뷰_ 187,블로그 리뷰_ 525
196,스시선수,일식당,4.42/5,방문자 리뷰_ 149,블로그 리뷰_ 516
197,딩딤1968,"딤섬,중식만두",4.4/5,방문자 리뷰_ 358,블로그 리뷰_ 448
198,크라운돼지,"육류,고기요리",4.76/5,방문자 리뷰_ 306,블로그 리뷰_ 150
199,미분당 신사점,베트남음식,4.53/5,방문자 리뷰_ 734,블로그 리뷰_ 320
200,미드타운,브런치,5/5,방문자 리뷰_ 223,블로그 리뷰_ 197
201,솔솥 청담점,한식,4.75/5,방문자 리뷰_ 386,블로그 리뷰_ 433
202,플디 도산점,"카페,디저트",4.75/5,방문자 리뷰_ 279,블로그 리뷰_ 369
203,양철지붕,요리주점,4.44/5,방문자 리뷰_ 95,블로그 리뷰_ 177
204,고반식당 가로수길점,돼지고기구이,4.61/5,방문자 리뷰_ 475,블로그 리뷰_ 648
205,디저트로이,"카페,디저트",4.44/5,방문자 리뷰_ 181,블로그 리뷰_ 83
206,스시 이토,"초밥,롤",4.34/5,방문자 리뷰_ 213,블로그 리뷰_ 428
207,카페 노티드 신사 옐로우바스켓 팝업,카페,4.34/5,방문자 리뷰_ 718,블로그 리뷰_ 275
208,소각,중식당,4.88/5,"방문자 리뷰_ 1,430",블로그 리뷰_ 381
209,Poke all day 포케&샐러드 신사점,"다이어트,샐러드",4.88/5,방문자 리뷰_ 537,블로그 리뷰_ 237
210,쉐이크쉑 청담점,햄버거,4.44/5,"방문자 리뷰_ 4,917","블로그 리뷰_ 1,989"
211,볼피노,이탈리아음식,4.29/5,방문자 리뷰_ 393,블로그 리뷰_ 993
212,씨네드쉐프 압구정,양식,4.64/5,방문자 리뷰_ 295,블로그 리뷰_ 452
213,닭으로가 압구정본점,닭갈비,4.45/5,방문자 리뷰_ 684,블로그 리뷰_ 602
214,식물성 도산,"카페,디저트",4.78/5,방문자 리뷰_ 188,블로그 리뷰_ 288
215,소적두 압구정점,카페,4.6/5,방문자 리뷰_ 482,블로그 리뷰_ 352
216,스시사카우,"초밥,롤",4.69/5,방문자 리뷰_ 124,블로그 리뷰_ 312
217,서울러,와인,4.82/5,방문자 리뷰_ 337,블로그 리뷰_ 155
218,뻐꾸기 본점,포장마차,4.41/5,방문자 리뷰_ 183,블로그 리뷰_ 333
219,나따오비까 신사점,"카페,디저트",4.31/5,방문자 리뷰_ 508,블로그 리뷰_ 430
220,더 키친 일뽀르노 청담점,이탈리아음식,4.41/5,방문자 리뷰_ 274,블로그 리뷰_ 127
221,사이,이자카야,4.65/5,방문자 리뷰_ 339,블로그 리뷰_ 443
222,더페이머스버거 압구정점,햄버거,4.69/5,방문자 리뷰_ 740,블로그 리뷰_ 236
223,홍미닭발 신사본점,닭발,4.35/5,방문자 리뷰_ 824,블로그 리뷰_ 572
224,르알래스카 가로수길 본점,베이커리,4.4/5,방문자 리뷰_ 649,블로그 리뷰_ 953
225,오르비에토,양식,4.72/5,방문자 리뷰_ 112,블로그 리뷰_ 150
226,한일관 압구정점,한정식,4.27/5,"방문자 리뷰_ 1,074",블로그 리뷰_ 493
227,우텐더,소고기구이,4.27/5,방문자 리뷰_ 121,블로그 리뷰_ 249
228,카페그라쎄,이탈리아음식,4.42/5,방문자 리뷰_ 242,블로그 리뷰_ 328
229,윌비 가로수길점,"카페,디저트",4.59/5,방문자 리뷰_ 190,블로그 리뷰_ 164
230,바랗,"해물,생선요리",4.34/5,방문자 리뷰_ 422,블로그 리뷰_ 196
231,모던오뎅,일식당,4.34/5,방문자 리뷰_ 195,블로그 리뷰_ 246
232,Ginos NY Pizza 압구정점,피자,4.34/5,방문자 리뷰_ 319,블로그 리뷰_ 304
233,구들,요리주점,4.75/5,방문자 리뷰_ 228,블로그 리뷰_ 121
