SHOP_CODE,SHOP_NAME,SHOP_CATEGORY,ADSTRD_CD,REGION_ID_x,SHOP_ADR,STDR_YM_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SIGNGU_CD,REGION_ID_y,REGION_SI,REGION_GU,REGION_DONG
12109396,스플래쉬블랙,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로 620,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12109445,놀숲압구정역점,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 22-6,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
26038785,구정칼국수,국수/만두/칼국수,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로161길 13,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25303529,신사왼쯔,중국음식/중국집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로154길 11,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
20023890,라떼킹,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로160길 21,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
25238194,컬렉션서울,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 33,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
27438631,청석골국시,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로156길 17-1,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
20611332,몽리,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 18,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12441991,네네치킨,후라이드/양념치킨,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로161길 14,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
12434847,스타벅스,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 59,202112,D,발달상권,2120188,압구정역,11680,서울특별시 강남구 신사동,서울특별시,강남구,신사동
