SHOP_CODE,SHOP_NAME,SHOP_CATEGORY,ADSTRD_CD,REGION_ID,SHOP_ADR
15653724,베트남쌀국수포몬스,동남아음식전문점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로161길 32
16497427,크리스앤제이든,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로25길 15-3
25271960,치킨더비,후라이드/양념치킨,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로36길 12
23441654,소프트리,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 154
25776525,오뎅집,라면김밥분식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로167길 15
25752044,용이네술집,호프/맥주,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로156길 8
25988234,지비엘,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로155길 8
28413271,한방닭강정,후라이드/양념치킨,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 32
12094110,요요도산대로점,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로 235
9035960,이즈몸보신곰탕,설렁탕집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로171길 12
8954660,고향역,소주방/포장마차,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 34
12109396,스플래쉬블랙,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로 620
12109445,놀숲압구정역점,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 22-6
26038785,구정칼국수,국수/만두/칼국수,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로161길 13
12109366,포라이브,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로161길 32
12108269,더블핸드스테이크압구정점,스테이크전문점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로161길 7
20471698,샴,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 5-6
25303529,신사왼쯔,중국음식/중국집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로154길 11
26143762,맥아카데미카페105,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로36길 22-4
20023890,라떼킹,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로160길 21
20867372,핀치카페,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로168길 33
25238194,컬렉션서울,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 33
27438631,청석골국시,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로156길 17-1
20611332,몽리,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 18
20484956,갓포요코모리,음식점-일식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로152길 4
25280889,Asthoughlhadwings..,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로33길 16
12441991,네네치킨,후라이드/양념치킨,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로161길 14
20026572,크로네비어,호프/맥주,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로155길 21
20611988,커피빈코리아압구정로데오점,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로157길 12
23197170,소적두압구정본가,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 5-2
12434847,스타벅스,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 59
23169959,미노스,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 80
20025662,옛날집,중국음식/중국집,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로153길 12
12434951,베트남고향식당,동남아음식전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 31
12228400,쉐이크쉑,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로 327
20864981,JS가든,중국음식/중국집,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로174길 13
20478386,수도시락,도시락전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로27길 21
12436730,류케이웨이브커피,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로 331
26205520,브래드커뮤니케이션즈,제과점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 27-8
25357865,동인동,해물찜/탕전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로156길 14
25536857,퀸실내포차,민속주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로158길 12
4084422,사보텐,돈가스전문점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로32길 32
12328687,담미온,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 42
15997102,퍼먼트비,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로164길 34-2
12329536,계식당,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로170길 37
15993836,성하루,중국음식/중국집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로4길 13-17
20024067,떡쌈시대,갈비/삼겹살,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로167길 12
15963435,라이팸,호프/맥주,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로15길 8
15993028,포엔분짜,동남아음식전문점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로168길 25
15963438,로프트,호프/맥주,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 62
15963749,깐부치킨신사가로수길점,후라이드/양념치킨,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로14길 12
23459420,스파게티스토리,스파게티전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로18길 12
15963250,양철북가로수길점,곱창/양구이전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로14길 6
23494683,메이드,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 17
12459849,홍콩반점0410신사역점,중국음식/중국집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 43
12326672,피어나,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로19길 20
25868754,카페베네,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로 815
25816715,깐부치킨압구정현대점,후라이드/양념치킨,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로27길 43
15963293,코드이스케이프,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 14
12451511,하남돼지집압구정직영점,갈비/삼겹살,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 21
12451512,하남돼지집압구정로데오점,갈비/삼겹살,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 27
15963281,더케이크스토리,제과점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로14길 6
15993756,코코라,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로 838
15997198,사보텐,돈가스전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 22
15997009,주몽,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로53길 20
15997034,압구정순대국,순대전문점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로170길 13
25756822,계향닭요리전문,토종닭전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로36길 18
15993608,엘크레,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로14길 39
15997087,사람사는고깃집김일도,갈비/삼겹살,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로2길 46
12336849,제이에스가든웍,중국음식/중국집,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 43
15963755,스쿠로,기타전문서양음식점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로17길 31
15962550,로바다야끼방추,로바다야끼,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 25
25816894,야미,돈가스전문점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로152길 5
12331764,커피하우스페이지원,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로172길 25
