name,gubun,score,visitCount,blogCount
첫번째부엌,양식,4.5/5,방문자 리뷰_ 256,블로그 리뷰_ 187
칸다소바 부평점,한식,4.5/5,방문자 리뷰_ 443,블로그 리뷰_ 237
피앤피키친,피자,4.48/5,방문자 리뷰_ 391,블로그 리뷰_ 204
닭갈비제작소 부평점,닭갈비,4.42/5,방문자 리뷰_ 765,블로그 리뷰_ 549
바베큐광장 부평점,소고기구이,4.42/5,"방문자 리뷰_ 1,082",블로그 리뷰_ 511
꾸아 부평점,베트남음식,4.42/5,방문자 리뷰_ 231,블로그 리뷰_ 106
기차길닭숯불구이,"육류,고기요리",4.42/5,방문자 리뷰_ 46,블로그 리뷰_ 198
쭈꾸미도사 부평삼산점,주꾸미요리,4.48/5,방문자 리뷰_ 370,블로그 리뷰_ 90
향이랑,한식,4.52/5,방문자 리뷰_ 673,블로그 리뷰_ 403
거궁 부평점,거궁,4.34/5,"방문자 리뷰_ 1,691","블로그 리뷰_ 1,045"
더히든키친,"스파게티,파스타전문",4.53/5,방문자 리뷰_ 419,블로그 리뷰_ 344
스시사쿠 부평,"초밥,롤",4.53/5,방문자 리뷰_ 39,블로그 리뷰_ 14
추억닭발 본점,닭발,4.51/5,방문자 리뷰_ 845,블로그 리뷰_ 477
헤세드스시뷔페,"일식,초밥뷔페",4.51/5,방문자 리뷰_ 255,블로그 리뷰_ 41
주문진대게회타운,대게요리,4.51/5,"방문자 리뷰_ 1,149",블로그 리뷰_ 891
디기티,"스파게티,파스타전문",4.6/5,방문자 리뷰_ 730,블로그 리뷰_ 242
뉴욕반점,중식당,4.6/5,"방문자 리뷰_ 1,133",블로그 리뷰_ 596
차차커피코,베이커리,4.5/5,"방문자 리뷰_ 1,686",블로그 리뷰_ 208
빠레뜨한남 부평점,양식,4.36/5,방문자 리뷰_ 994,블로그 리뷰_ 278
8pcs,피자,4.36/5,방문자 리뷰_ 63,블로그 리뷰_ 40
돈타래게장정식,게요리,4.28/5,"방문자 리뷰_ 1,251",블로그 리뷰_ 266
서울주막 부평점,요리주점,4.28/5,방문자 리뷰_ 13,블로그 리뷰_ 11
힐록,양식,4.18/5,방문자 리뷰_ 462,블로그 리뷰_ 322
스마일즉석떡볶이,떡볶이,4.83/5,방문자 리뷰_ 376,블로그 리뷰_ 123
co:zy,"카페,디저트",4.83/5,방문자 리뷰_ 81,블로그 리뷰_ 35
경복궁삼계탕 삼산점,"백숙,삼계탕",4.41/5,"방문자 리뷰_ 1,029",블로그 리뷰_ 159
로티펍,"맥주,호프",4.41/5,방문자 리뷰_ 273,블로그 리뷰_ 80
샌드어스 갈산U1점,샌드위치,4.41/5,방문자 리뷰_ 36,블로그 리뷰_ 13
찰진고기,"육류,고기요리",4.78/5,방문자 리뷰_ 809,블로그 리뷰_ 348
무교동낙지전문점,낙지요리,4.52/5,방문자 리뷰_ 550,블로그 리뷰_ 227
갸또드레브,"카페,디저트",4.65/5,방문자 리뷰_ 814,블로그 리뷰_ 185
비하니 레스토랑,인도음식,4.48/5,방문자 리뷰_ 693,블로그 리뷰_ 358
텐동키츠네,"우동,소바",4.56/5,방문자 리뷰_ 377,블로그 리뷰_ 326
쿠시진,요리주점,4.56/5,방문자 리뷰_ 26,블로그 리뷰_ 16
오봉집 부평백운점,한식,4.56/5,방문자 리뷰_ 150,블로그 리뷰_ 74
글로어 부평점,"카페,디저트",4.56/5,방문자 리뷰_ 117,블로그 리뷰_ 20
역전할머니맥주 부평역점,"맥주,호프",4.55/5,"방문자 리뷰_ 1,317",블로그 리뷰_ 96
슬로스 레코드바,바(BAR),4.5/5,방문자 리뷰_ 172,블로그 리뷰_ 117
왕소참숯불구이 인천성모병원점,소고기구이,4.5/5,방문자 리뷰_ 26,블로그 리뷰_ 41
보릿골 정찬,한식,4.43/5,"방문자 리뷰_ 2,638",블로그 리뷰_ 443
긴거노,이자카야,4.56/5,방문자 리뷰_ 60,블로그 리뷰_ 103
무공돈까스 부평역점,돈가스,4.35/5,방문자 리뷰_ 470,블로그 리뷰_ 234
원조홍두깨손칼국수,"칼국수,만두",4.45/5,방문자 리뷰_ 508,블로그 리뷰_ 131
해민면옥,한식,4.42/5,방문자 리뷰_ 533,블로그 리뷰_ 160
스시키나바루,"초밥,롤",4.59/5,방문자 리뷰_ 134,블로그 리뷰_ 193
빅스마일커피,"카페,디저트",4.59/5,방문자 리뷰_ 102,블로그 리뷰_ 15
을지로만선호프,포장마차,4.5/5,방문자 리뷰_ 126,블로그 리뷰_ 104
뽕빨샤브버섯칼국수,샤브샤브,4.48/5,방문자 리뷰_ 654,블로그 리뷰_ 367
베트남포다쌀국수,베트남음식,4.41/5,방문자 리뷰_ 979,"블로그 리뷰_ 1,090"
부평조개창고,조개요리,4.34/5,방문자 리뷰_ 268,블로그 리뷰_ 314
정과마음을담아,요리주점,4.34/5,방문자 리뷰_ 84,블로그 리뷰_ 94
박씨제과점,베이커리,4.34/5,방문자 리뷰_ 103,블로그 리뷰_ 17
라헬의부엌 부평점,"카페,디저트",4.52/5,방문자 리뷰_ 588,블로그 리뷰_ 166
그래잇,양식,4.66/5,방문자 리뷰_ 366,블로그 리뷰_ 344
할매 닭한마리,닭요리,4.46/5,방문자 리뷰_ 470,블로그 리뷰_ 293
대왕김밥,김밥,4.35/5,"방문자 리뷰_ 5,935",블로그 리뷰_ 580
솔솥 부평점,한식,4.35/5,방문자 리뷰_ 18,블로그 리뷰_ 13
세겹살,돼지고기구이,4.32/5,방문자 리뷰_ 744,블로그 리뷰_ 385
