STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_1_FLPOP_CO,TMZON_2_FLPOP_CO,TMZON_3_FLPOP_CO,TMZON_4_FLPOP_CO,TMZON_5_FLPOP_CO,TMZON_6_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
2021,4,A,골목상권,2110967,역삼역 8번,648566,344101,304465,32759,140572,185377,138014,78323,73522,134825,139273,102412,96790,107248,68019,94364,101681,101681,102281,97906,75240,74134
2021,4,A,골목상권,2110966,논현2동주민센터,1782400,869871,912530,150922,350014,441790,364410,217261,258006,307270,362074,299355,302007,334993,176701,258313,282366,282366,282636,271884,214050,188985
2021,4,A,골목상권,2110965,언주역 6번,833217,416361,416855,40821,187916,244734,170989,92766,95989,160599,180301,131735,131026,140720,88836,121259,129001,129001,128405,124070,101952,99597
2021,4,A,골목상권,2110964,싸리고개근린공원,247010,116901,130109,54793,30287,35049,44054,33840,48988,57965,48217,31461,33067,44049,32250,35480,35888,35888,35859,35605,34487,34184
2021,4,A,골목상권,2110963,역삼월드메르디앙아파트,377754,181732,196023,47788,65094,87738,77368,44947,54818,100896,78876,47942,46791,56578,46670,55742,57255,57255,56816,54585,48475,48068
2021,4,A,골목상권,2110962,도산공원북측,127560,58077,69483,9554,30949,33492,23160,13284,17121,16324,21129,24063,25739,28619,11688,16881,18754,18754,19491,19855,18751,14784
2021,4,A,골목상권,2110961,언주역 3번,742255,383840,358414,58984,149166,196179,146323,89374,102229,140730,156966,121598,121109,127434,74417,111233,117440,117440,117463,113469,86114,79045
2021,4,A,골목상권,2110960,은광여고,95882,45763,50120,16521,14110,20544,16805,11457,16443,22045,22782,14090,12705,14617,9641,13990,14375,14375,14172,13936,12416,12695
2021,4,A,골목상권,2110959,신구중학교,75407,34160,41248,8902,13362,16841,14419,9380,12504,8551,14662,14696,15449,15849,6198,10492,11544,11544,11702,11667,9932,8537
2021,4,A,골목상권,2110958,역삼역 4번,367237,197925,169311,14581,89955,105819,72226,44069,40586,48296,76454,71369,72471,68609,30038,55516,60969,60969,60248,57590,39753,32388
2021,4,A,골목상권,2110957,언북중학교,982393,501148,481245,76826,199913,271254,206162,99695,128544,184397,212429,172224,165688,157525,90132,147336,160625,160625,160902,151749,106732,95632
2021,4,A,골목상권,2110956,언주역 8번,231865,122188,109677,11746,55472,68540,42352,25671,28085,44898,48572,36935,37286,39845,24330,33561,35011,35011,34921,33838,30369,29106
2021,4,A,골목상권,2110955,논현초등학교,2943886,1431138,1512747,194851,686415,839629,556504,298798,367686,756514,657910,373612,363094,449146,343611,426093,429639,429639,428792,422853,405469,401733
2021,4,A,골목상권,2110954,국기원,434245,199936,234309,43998,170644,105618,55409,31278,27299,40671,57091,73245,89924,129695,43620,57088,59383,59383,62006,68168,71695,54527
2021,4,A,골목상권,2110953,학동근린공원,399863,195192,204672,22423,89773,112353,75933,50494,48888,62840,84174,72668,74168,70486,35529,59719,65111,65111,65411,61902,43064,38907
2021,4,A,골목상권,2110952,논현목련공원,198851,98032,100821,15078,49836,49553,36073,22222,26090,59219,44005,22138,21591,27588,24312,28831,28629,28629,28531,28042,27555,28528
