업소명,별점,리뷰수,좋아요수,소재지지번
리틀넥,4.4,52,538,서울특별시 강남구 신사동 653-7
다운타우너 청담점,4.5,66,255,서울특별시 강남구 신사동 666-25
콴안다오,4.4,31,98,서울특별시 강남구 신사동 516-2
카츠 바이 콘반,4.9,21,99,서울특별시 강남구 신사동 647-22
까폼,4.3,28,109,서울특별시 강남구 신사동 655-15
새들러 하우스,4.7,22,48,서울특별시 강남구 신사동 561-8
미미면가 2호점,3.9,72,463,서울시 강남구 신사동 512-21 지하1층
호족반 도산공원점,4.3,28,60,서울특별시 강남구 신사동 646-23
아우어베이커리 가로수길점,4.5,27,76,서울특별시 강남구 신사동 523-19
오리지널 팬케이크 하우스 가로수길점,4.1,18,179,서울특별시 강남구 신사동 523-20
잭슨피자 압구정점,4.6,13,11,서울시 강남구 신사동 574 107호
카페 노티드 청담,4.1,98,133,서울특별시 강남구 신사동 654-9
네기 다이닝라운지,4.5,6,363,서울특별시 강남구 신사동 540-19
에뚜왈,4.7,13,22,서울특별시 강남구 신사동 534-8 지하1층
아우어베이커리 도산본점,4.1,28,219,서울특별시 강남구 신사동 648-15
텔러스 9.5,4.7,8,21,서울특별시 강남구 신사동 561-19
정돈 프리미엄 가로수길점,4.2,19,69,서울특별시 강남구 신사동 519-4
목포집,4.0,42,563,서울특별시 강남구 신사동 514-3
도수향,4.6,6,46,서울특별시 강남구 신사동 662-7
쇼토,4.5,6,11,서울특별시 강남구 신사동 550-14 1층
압구정공주떡,4.5,14,57,서울시 강남구 신사동 569-31
최가네 버섯샤브 매운탕칼국수,4.4,13,37,서울시 강남구 신사동 655 2F (벽돌집 건물 2층)
치즈룸,4.3,14,9,서울특별시 강남구 신사동 603 안다즈호텔 지하 1층 112호
로로,4.5,7,17,서울특별시 강남구 신사동 646-7
세컨디포레스트 가로수길점,4.6,10,15,서울특별시 강남구 신사동 521-22 1동 나라빌딩
우유니아이스크림,4.4,12,53,서울특별시 강남구 신사동 529-6
스몰디쉬빅쇼,4.8,4,13,서울특별시 강남구 신사동 524-1
겟썸커피,4.4,14,252,서울특별시 강남구 신사동 551-32
a.ga gelato,4.7,9,7,서울 강남구 신사동 564-3
펠트 도산공원점,5.0,8,14,서울특별시 강남구 신사동 645-21
솔솥 청담점,4.6,4,12,서울특별시 강남구 신사동 666-27
장다리,4.5,5,10,서울특별시 강남구 신사동 642-14
테일러커피 신사점,4.4,14,8,서울시 강남구 신사동 521-17
묵전,4.0,19,130,서울시 강남구 신사동 645-11
호호식당 도산공원점,4.5,7,13,서울시 강남구 신사동 647-16
그랑씨엘 신사점,4.4,6,50,서울시 강남구 신사동 650-22
패티앤베지스,4.1,11,55,서울 강남구 신사동 525-2
핫쵸,4.5,9,9,서울특별시 강남구 신사동 544-5
은행골 신사점,4.1,26,128,서울특별시 강남구 신사동 537-2 2층
쿠스,4.6,6,4,서울 강남구 신사동 648-9
오복수산 도산,4.1,15,25,서울특별시 강남구 신사동 666-25 2층
구스테이크,4.5,4,90,서울시 강남구 신사동 528-3
소이연남 마오,5.0,3,13,서울시 강남구 신사동 665-9
C27 가로수길점,3.8,37,670,서울특별시 강남구 신사동 545-12
맘마미아,4.1,31,27,서울특별시 강남구 신사동 645-26
지구당,4.0,16,317,서울특별시 강남구 신사동 546-20
도산분식,3.8,33,84,서울특별시 강남구 신사동 652-7
신사랑,4.3,8,10,서울특별시 강남구 신사동 519-1
신사연어,4.2,13,110,서울특별시 강남구 신사동 512-9 MG타운 2층
쿠이신보,4.4,5,63,서울특별시 강남구 신사동 539
이치서울,4.4,8,3,서울특별시 강남구 신사동 508-6
뉴욕라츠오베이글스,4.2,8,3,서울특별시 강남구 신사동 642-6
가담,3.8,9,28,서울특별시 강남구 신사동 608-8
일일향 1호점,3.9,12,234,서울특별시 강남구 신사동 601-3 동우빌딩 1층
온달집 본점,4.5,6,11,서울특별시 강남구 신사동 514-4
감성타코,3.7,33,352,서울특별시 강남구 신사동 523-16
비파티세리,4.1,9,19,서울특별시 강남구 신사동 546-17
꽁티드툴레아,4.0,15,81,서울특별시 강남구 신사동 646-21
파넬 카페,4.1,10,43,서울특별시 강남구 신사동 649-2
장사랑 본점,4.2,7,50,서울시 강남구 신사동 624-47 B1F
마망갸또 본점,4.5,6,65,서울특별시 강남구 신사동 524-27 마망갸또하우스
듀자미,3.5,31,217,서울특별시 강남구 신사동 535-9
네기 스키야키,4.2,4,12,서울특별시 강남구 신사동 603 안다즈호텔
우시야,4.2,5,169,서울특별시 강남구 신사동 566-29
홍미닭발 신사점,4.1,13,57,서울시 강남구 신사동 502-1 신시빌딩 1층
쉑쉑버거 청담점,3.7,42,36,서울특별시 강남구 신사동 652-16 SGF청담타워 1층
삼창교자,3.9,12,11,서울시 강남구 신사동 517-34 1층
청담 돈,4.4,13,12,서울시 강남구 신사동 648-13 2층
신사치킨클럽,4.6,5,5,서울특별시 강남구 신사동 520-1
갓덴스시,4.5,5,16,서울특별시 강남구 신사동 537
미라이,4.6,5,23,서울특별시 강남구 신사동 557-25
온기정,4.2,19,23,서울특별시 강남구 신사동 525-15 1층
선셋스위밍 샌드위치,4.5,7,8,서울특별시 강남구 신사동 643-28
백곰막걸리,4.0,6,76,서울특별시 강남구 신사동 657-7
나따오비까,4.5,4,10,서울특별시 강남구 신사동 519-28
본죽&비빔밥cafe 신사점,4.3,7,3,서울특별시 강남구 신사동 514-9
꿍탈레,4.4,8,22,서울특별시 강남구 신사동 531-1
