,name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
375,트리안 건대점,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_61%,남자_39%
376,롤링파스타 건대지점,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_56%,남자_44%
377,대동집 건대점,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_56%,남자_44%
378,난바다스시,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_46%,남자_54%
379,칸틴,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_60%,남자_40%
380,대찬갈비,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_43%,남자_57%
381,알촌 건국대점,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_53%,남자_47%
382,해남닭집,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_44%,남자_56%
383,대곱창 건대점,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_50%,남자_50%
384,블랙아웃커피,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_50%,남자_50%
385,명륜진사갈비 자양점,16.667714285714247%_10|,35.283142857142835%_20|,19.595142857142843%_30|,12.77257142857142%_40|,6.0828571428571205%_50|,3.2034285714285398%_60|,여자_45%,남자_55%
