이름,평점,리뷰 수,카테고리,주소
포 베이 압구정 본점,3.5,16,아시아 요리,서울 서울 강남구 신사동 637-15 대명빌딩 1층
토크 서비스,5.0,3,카페,서울 강남구 압구정로10길 44
개화옥 가로수길점,3.5,10,아시아 요리,서울 강남구 신사동 550-8
모던밥상,4.5,4,아시아 요리,서울 강남구 도산대로13길 32-1 3층
피그닉,4.5,3,자가 맥주 판매pub,서울 강남구 압구정로2길 46
무라사키,4.5,3,일본 요리,서울 강남구 신사동 631-31
디자인 카페,4.0,5,카페,서울 강남구 신사동 646-5
카페베네 압구정로데오점,4.0,3,카페,서울 강남구 신사동 663-1 1층
우 텐더,3.5,7,아시아 요리,서울 강남구 압구정로42길 25-10
몽크투바흐,5.0,1,저녁식사,서울 도산대로27길 21
희유,5.0,1,일본 요리,서울 강남구 논현로164길 18
화해당,4.0,2,아시아 요리,서울 도산대로45길 8-7
시추안 하우스 - 압구정점,5.0,1,점심식사,서울 강남구 논현로 854 Andaz Seoul Gangnam B1 level
감성돼지,4.0,2,아시아 요리,서울 강남구 강남대로152길 15
메르시보니,4.5,2,프랑스 요리,서울 강남구 강남대로152길 69
바랗,3.5,13,해산물,서울 도산대로 309
뱃고동,4.0,2,점심식사,서울 언주로172길 54
오호리준 - 신사가로수길점,5.0,1,아시아 요리,서울 강남구 강남대로158길 10
로켓크리스피치킨 - 압구정 로데오 2호점,4.0,2,아시아 요리,서울 강남구 언주로172길 51 2층
킨톤라멘 - 도산공원점,5.0,1,점심식사,서울 강남구 도산대로45길 10-5 지하 1층
18 스텝스,4.0,3,와인 바,서울 강남구 압구정로10길 24 보성빌딩 2층
피오렌티나,5.0,1,이탈리아 요리,"서울 강남구 신사동 583-3  JB MISO빌딩 104호 #104, JB MISO Bldg."
살롱 그란데,4.5,2,이탈리아 요리,서울 강남구 압구정로4길 13-19
아비꼬 압구정로데오점,4.0,2,일본 요리,서울 압구정로50길 22
연탄공장,5.0,1,아시아 요리,서울 강남구 신사동 642-19
페이퍼 가든,4.0,3,카페,서울 강남구 신사동 653-11
레보,5.0,2,프랑스 요리,서울 강남구 신사동 642-26
신룽푸마라탕 - 압구정점,4.0,1,중국 요리,서울 강남구 논현로 841 미소빌딩 208호
아루일식,4.0,1,일본 요리,"서울 강남구 신사동 614-3  융기빌딩 지하 1층 B1, Yunggi Bldg."
육미학 대패집 - 가로수길점,4.0,1,아시아 요리,서울 강남구 강남대로158길 26 1층
마산옥,3.5,2,아시아 요리,서울 강남구 신사동 512-20
브롱스 - 가로수길점,4.0,1,아시아 요리,서울 강남구 강남대로152길 26
와인주막차차,3.5,2,아시아 요리,서울 강남구 압구정로50길 22
하남돼지집 - 압구정역,4.0,1,아시아 요리,서울 강남구 압구정로28길 21
딩딤1968,4.0,1,중국 요리,서울 강남구 강남대로160길 27
라그릴리아 청담점,4.0,1,그릴,서울 강남구 도산대로 327 SGF 청담타워 2층
보르 드 메르,4.0,1,프랑스 요리,서울 강남구 신사동 644-18
카페 앙 가로수길점,4.0,1,카페,서울 강남구 압구정로12길 32-6
아라도,3.0,1,일본 요리,"서울 강남구  신사동 577 다보빌딩 105 #105, Dabo Bldg."
제주도마,3.0,1,아시아 요리,서울 강남구 압구정로2길 49
한추,3.0,8,아시아 요리,서울 논현로175길 68
JS가든,3.0,2,점심식사,서울 언주로174길 13
