,name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
0,EGO,44.47858823529412,50.27058823529411,37.09835294117647,23.727764705882354,15.946352941176482,11.764705882352951,61,39
1,july 13,36.230117647058805,51.170117647058824,39.434823529411766,23.215999999999994,27.25529411764706,14.542117647058813,52,48
2,umoae,11.764705882352951,48.844470588235296,33.746588235294105,11.764705882352951,11.764705882352951,11.764705882352951,61,39
3,계담다,11.764705882352951,52.335999999999984,40.336,32.40870588235294,25.81341176470588,24.19270588235294,52,48
4,고시고시,31.555058823529414,51.817647058823525,37.85835294117646,27.852470588235278,24.54423529411764,11.764705882352951,57,43
5,광명대창집 홍대점,25.13811764705881,50.15247058823529,37.258823529411764,29.281882352941174,22.709882352941165,13.558823529411773,49,51
6,그동네떡볶이,44.00752941176469,47.705647058823516,35.924941176470575,27.774352941176456,18.625176470588244,11.764705882352951,60,40
7,너구리베이글 합정점,33.58964705882352,47.33717647058823,29.9209411764706,26.75294117647059,12.438352941176467,11.764705882352951,63,37
8,더다이닝랩,25.59764705882354,48.069176470588225,41.78470588235294,27.916941176470573,21.37223529411765,11.764705882352951,50,50
9,더피자보이즈 합정본점,40.08870588235294,52.34211764705883,34.66541176470589,22.202117647058813,15.326117647058815,11.764705882352951,52,48
10,도 도넛,42.27976470588234,51.39458823529412,34.10611764705883,24.229411764705887,15.496705882352927,15.459764705882348,63,37
11,돼지명가,37.85223529411765,48.61670588235295,36.656235294117636,27.748941176470577,23.50494117647058,11.764705882352951,49,51
12,리차드하우스 연남,33.54494117647058,49.458117647058806,34.104,25.78611764705882,17.43176470588234,11.764705882352951,60,40
13,마가렛리버,31.523294117647065,49.950117647058825,39.422117647058826,27.284470588235298,19.64988235294118,11.764705882352951,61,39
14,마녀주방 홍대점,52.52282352941177,45.83435294117646,25.928,34.617411764705885,18.901411764705887,11.764705882352951,59,41
15,마레스타,43.41317647058822,47.51317647058823,38.31576470588236,32.062823529411766,24.806823529411762,11.764705882352951,55,45
16,맛깔1987,11.764705882352951,49.67694117647057,39.533411764705875,33.43058823529411,27.13482352941175,22.315529411764693,48,52
17,멘타카무쇼,60.134,98.61299999999997,88.71349999999997,55.37099999999998,32.457,25.00000000000001,43,57
18,모멘트커피 2호점,45.99835294117647,50.43999999999998,31.535294117647044,23.84823529411764,16.3369411764706,11.764705882352951,66,34
19,목로관,25.00000000000001,96.36649999999999,82.20249999999999,74.90699999999998,60.820499999999974,25.00000000000001,45,55
20,미티,11.764705882352951,48.46894117647058,42.10941176470589,19.499294117647047,9.963294117647068,11.764705882352951,49,51
21,바스버거 연남점,25.00000000000001,99.52199999999996,80.67649999999996,65.52449999999996,45.689499999999974,25.00000000000001,54,46
22,보르도,60.134,98.61299999999997,88.71349999999997,55.37099999999998,32.457,25.00000000000001,43,57
23,블랑누아,11.764705882352951,47.578352941176476,38.647999999999996,28.12870588235293,18.239294117647045,11.764705882352951,56,44
24,산더미불고기,60.134,98.61299999999997,88.71349999999997,55.37099999999998,32.457,25.00000000000001,43,57
25,소고산제일루,35.8435294117647,49.32917647058822,38.212,30.035058823529408,22.663764705882347,21.092470588235297,52,48
26,심야식당밤,11.764705882352951,51.08376470588235,38.17929411764706,27.69294117647058,18.003764705882357,15.138588235294122,49,51
27,심플리타이 합정점,25.00000000000001,95.82849999999995,90.64849999999998,73.9035,58.20699999999999,25.00000000000001,54,46
28,연남어부,11.764705882352951,50.10752941176469,39.464235294117636,33.42917647058824,28.67294117647058,24.184000000000008,49,51
29,오맥,21.079058823529422,49.42070588235292,31.453176470588236,25.106117647058834,23.05317647058822,11.764705882352951,52,48
30,육몽 홍대본점,54.35966666666665,76.173,53.06733333333331,46.40599999999998,39.89166666666665,33.25666666666667,46,54
31,이가산시도삭면,25.00000000000001,84.58249999999997,82.255,81.62499999999999,61.97599999999996,57.165999999999976,49,51
32,이리에라멘,28.98588235294118,48.90823529411765,41.84423529411765,26.99247058823529,15.391764705882352,11.764705882352951,42,58
33,이양권반상,58.84466666666665,75.0873333333333,49.86833333333332,38.84566666666666,33.164333333333346,27.97233333333334,53,47
34,저스트단비 홍대점,33.58964705882352,47.33717647058823,29.9209411764706,26.75294117647059,12.438352941176467,11.764705882352951,63,37
35,젤라띠젤라띠,41.52305882352941,51.407058823529404,39.90399999999999,32.53176470588236,24.07929411764706,21.156235294117657,56,44
36,조용한저녁,11.764705882352951,48.92376470588236,40.249882352941185,25.693647058823533,19.648235294117658,11.764705882352951,54,46
37,지로우 라멘,45.219294117647046,51.83764705882352,36.03341176470588,23.197647058823517,15.52188235294118,13.36023529411764,48,52
38,참치가,25.00000000000001,85.55849999999995,83.29950000000001,79.70849999999999,72.989,25.00000000000001,42,58
39,카츠오모이 홍대점,40.36611764705883,48.969176470588245,36.01529411764706,29.23929411764706,24.932470588235297,11.764705882352951,50,50
40,쿠시노주방,38.27333333333334,82.09933333333332,50.082666666666675,34.52999999999998,27.04333333333334,22.119999999999987,53,47
41,타프,11.764705882352951,52.24799999999998,41.455529411764694,20.305882352941186,16.841176470588245,26.139764705882357,66,34
42,튜토리얼,77.51733333333331,74.95199999999997,37.83266666666666,31.698333333333338,23.928333333333327,16.66666666666668,65,35
43,팔로피자,32.86494117647057,47.76988235294117,40.547529411764685,30.762588235294096,24.928235294117616,24.845882352941153,51,49
44,포포브레드,61.661,92.98999999999998,80.97399999999996,78.29599999999995,66.98999999999997,25.00000000000001,66,34
45,합정광안리,16.66666666666668,77.80299999999998,55.86266666666665,36.76866666666667,28.350333333333328,23.33133333333333,48,52
46,홍대원조통골뱅이,25.00000000000001,83.43949999999997,82.18599999999996,91.22349999999997,49.37999999999996,25.00000000000001,46,54
47,홍콩포차,11.764705882352951,50.72988235294116,25.551529411764694,23.428705882352936,11.345411764705878,11.764705882352951,52,48
48,후라토식당 상수직영점,45.10352941176471,52.25835294117647,31.65529411764705,25.35835294117647,20.494823529411775,11.764705882352951,53,47
49,히츠지야,20.99552941176469,51.38611764705882,42.89858823529411,29.331764705882346,20.267764705882364,17.20658823529411,44,56
