,name,gubun,score,blogCount,visitCount
0,ING,요리주점,4.22,284,100
1,SADDLER HAUS,와플,4.55,4998,2569
2,감성타코 신사점,"멕시코,남미음식",4.44,984,1555
3,갓잇 도산공원점,"멕시코,남미음식",4.62,1053,619
4,강남면옥 본점,냉면,4.28,1216,649
5,강서면옥 압구정점,냉면,4.31,608,464
6,누데이크 하우스 도산,"카페,디저트",4.42,1085,1449
7,로로,양식,4.4,635,913
8,롸카두들 내쉬빌 핫치킨 압구정,햄버거,4.58,423,502
9,마망갸또 신사점,케이크전문,4.36,227,690
10,마사 타코,"멕시코,남미음식",4.42,394,249
11,모센즈스위트 신사점,"카페,디저트",4.4,23,30
12,백곰막걸리,"전통,민속주점",4.38,417,464
13,부쉬윅,바(BAR),4.73,65,419
14,비파티세리,베이커리,4.44,1738,832
15,삼창교자,"딤섬,중식만두",4.44,295,686
16,소진담 신사점,"카페,디저트",4.49,2656,1558
17,심퍼티쿠시 가로수길점,와인,4.55,192,318
18,안동국시,국수,4.26,145,84
19,압구정 곱창,"곱창,막창,양",4.61,145,568
20,어썸로즈,양식,4.77,3136,1278
21,얼오브샌드위치 압구정로데오점,샌드위치,4.69,69,26
22,에뚜왈,베이커리,4.49,1218,1100
23,오리지널팬케이크하우스 가로수길점,양식,4.31,1175,1187
24,오복수산 도산,일식당,4.44,844,956
25,온달집 본점,"육류,고기요리",4.44,487,837
26,온리고,양식,4.71,888,604
27,우가,소고기구이,4.55,744,296
28,워커비,바(BAR),4.63,24,92
29,웍셔너리,중식당,4.28,638,803
30,웨이크앤베이크 청담,브런치,4.42,749,996
31,은행골 신사점,"초밥,롤",4.71,1728,1866
32,이웃집통통이 로데오점,"카페,디저트",4.58,285,130
33,일일향 압구정1호점,중식당,4.32,911,1067
34,진도켄 이자카야,이자카야,5.0,106,105
35,청담돈,일식당,4.63,1263,1018
36,청초수물회 강남점,생선회,4.35,817,276
37,최가네버섯샤브매운탕칼국수,샤브샤브,4.55,942,876
38,치즈룸 안다즈,이탈리아음식,4.58,5575,1262
39,콘유,일식당,4.73,459,187
40,콘피에르,양식,4.42,634,642
41,키마스시 청담,"초밥,롤",4.58,85,91
42,키친마이야르,양식,4.26,311,379
43,타르틴베이커리 도산점,베이커리,4.38,1681,824
44,파씨오네,프랑스음식,4.7,2634,895
45,패티앤베지스,햄버거,4.46,1071,532
46,포레스트 청담,양식,4.99,939,1125
47,피자네버슬립스,피자,4.52,563,664
48,호호식당 도산공원,일식당,4.69,1354,521
49,효계,닭요리,4.53,283,341
