,name,gubun,score,visitCount,blogCount
0,33떡볶이 대학로점,33떡볶이,4.31,263,36
1,60계치킨 서울대학로점,"치킨,닭강정",4.37,518,18
2,BBQ치킨 명륜점,"치킨,닭강정",4.25,147,8
3,골목길25,양식,4.24,72,29
4,공차 대학로점,차,4.41,1891,108
5,교촌치킨 대학로점,"치킨,닭강정",4.38,147,58
6,구스타파스,스페인음식,4.35,45,68
7,김가네김밥 대학로본점,분식,4.33,1370,116
8,꼬꼬아찌숯불치킨 혜화대학로점,"치킨,닭강정",4.32,174,69
9,남대문황금족발 대학로점,"족발,보쌈",4.43,76,10
10,다발김치찌개 대학로점,"찌개,전골",4.36,98,26
11,동숭숯불갈비,"육류,고기요리",4.44,224,42
12,레코드피자,피자,4.37,18,3
13,릴리마를렌,"카페,디저트",4.44,53,17
14,명쭈3,주꾸미요리,4.43,204,228
15,미향,"아귀찜,해물찜",4.43,129,13
16,방선생웃음밥상,한정식,4.4,66,13
17,배스킨라빈스 대학로,아이스크림,,888,40
18,봉추찜닭 대학로점,찜닭,4.26,556,116
19,비스까미노,"카페,디저트",4.6,101,15
20,빈대떡신사,"전,빈대떡",4.28,97,37
21,뼈닥스감자탕,감자탕,4.17,55,65
22,샐러디 성대입구점,"다이어트,샐러드",4.28,227,22
23,생활맥주 대학로좁은골목점,"맥주,호프",4.38,190,68
24,서유기마라탕&훠궈 대학로점,중식당,4.59,223,24
25,스페이스엠,와인,4.81,66,45
26,양평해장국,해장국,4.31,279,60
27,엉터리생고기 대학로점,"육류,고기요리",4.25,173,47
28,엘파소,"멕시코,남미음식",4.63,88,8
29,옛날농장 대학로점,"육류,고기요리",4.34,325,176
30,오름,"육류,고기요리",4.43,85,6
31,오후홍콩 대학로점,카페,4.46,216,211
32,일송칼국수,"칼국수,만두",4.4,176,30
33,조개집,조개요리,4.37,30,1
34,지금보고싶다 혜화대학로점,요리주점,4.23,132,42
35,진아춘,중식당,4.28,178,88
36,챠코,바(BAR),4.5,25,24
37,천지주점,"전통,민속주점",4.22,40,20
38,천향록,중식당,4.35,179,215
39,초교수카페,"카페,디저트",4.37,187,29
40,크래프트 혜화,양식,4.44,37,30
41,킹스커피 24시 카페,카페,4.12,90,3
42,투썸플레이스 혜화로타리점,카페,4.29,400,44
43,티랩제이,차,4.26,49,11
44,펍매드,"맥주,호프",4.34,49,69
45,포보 성균관대점,국수,4.61,866,89
46,프롬하츠커피 대학로점,"카페,디저트",4.36,1044,32
47,프루츠대학로점,"맥주,호프",4.44,111,46
48,혜화달손만두,"칼국수,만두",4.36,525,15
49,후룩뽕,중식당,4.08,123,40
