,name,gubun,score,visitCount,blogCount
0,C156,양식,4.59,729,514
1,가마로,돼지고기구이,4.34,481,267
2,건대우동집,"우동,소바",4.43,1265,174
3,고망고 건대점,"카페,디저트",4.48,1203,203
4,고향양꼬치,양꼬치,4.38,226,1097
5,그릭데이 건대점,"카페,디저트",4.57,361,136
6,김창훈포차,요리주점,4.52,140,127
7,낙원스낵 건대점,"맥주,호프",4.41,308,237
8,니뽕내뽕 건대본점,중식당,4.41,682,565
9,대부포차,포장마차,4.27,91,91
10,도단집,돼지고기구이,4.66,448,209
11,도쿄스테이크 건대점,"스테이크,립",4.32,436,907
12,막이오름 건대점,요리주점,4.23,337,185
13,메이빌 본점,이탈리아음식,4.48,594,399
14,메호르,스페인음식,4.45,143,239
15,미도인 건대,양식,4.58,884,239
16,바른면집 건대점,패밀리레스토랑,4.45,485,891
17,반티엔야오 카오위 건대점,중식당,4.75,472,200
18,빕스 어린이대공원점,패밀리레스토랑,4.39,2917,224
19,뿔난황소곱창 건대본점,"곱창,막창,양",4.26,215,559
20,송몽,카페,4.32,92,18
21,스파이스드 SPICED,양식,4.75,219,64
22,아웃백스테이크하우스 건대스타시티점,패밀리레스토랑,4.46,4932,478
23,안다미로 팬케이크,"카페,디저트",4.57,233,148
24,얼땅쟈,중식당,4.52,144,387
25,엘루이 비스트로,요리주점,4.34,221,296
26,엘루이피자,"맥주,호프",4.46,107,431
27,연옥양꼬치,양꼬치,4.75,273,497
28,우성식당,기사식당,4.2,734,138
29,우화등선,소고기구이,4.64,96,547
30,육일관,"육류,고기요리",4.48,756,435
31,육회한연어 건대점,요리주점,4.39,370,316
32,은호초밥 건대본점,"초밥,롤",4.26,676,628
33,이우,중식당,4.46,64,13
34,장인닭갈비 건대점,닭갈비,4.19,515,302
35,조그삼,돼지고기구이,4.52,203,239
36,조씨네고기국수,국수,4.47,468,508
37,중경식객 건대점,중식당,4.59,306,369
38,참숯벽돌집,"육류,고기요리",4.55,102,480
39,코후쿠,이자카야,4.53,404,178
40,평화김해뒷고기 건대점,"육류,고기요리",4.41,108,93
41,프레퍼스 다이어트 푸드 건대점,"다이어트,샐러드",4.75,532,46
42,한촌설렁탕 건대입구역점,"곰탕,설렁탕",4.28,493,203
43,해피니스디저트,"카페,디저트",4.41,793,105
44,호아다오,베트남음식,4.91,792,209
45,호파스타 건대점,"스파게티,파스타전문",4.38,762,368
46,홍도초밥,"초밥,롤",4.53,366,198
47,화양주막,"전통,민속주점",4.82,192,79
48,환이네갈비살 2호점,소고기구이,4.5,391,133
49,흥에취한범 건대점,요리주점,4.75,246,12
