,name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
0,100년설렁탕 대학로점,25,96.453,25,57.802,25,25,54,46
1,꼬시,25,95.516,75.0965,75.0445,65.7415,25,45,55
2,노랑통닭 대학로점,25,97.929,70.7495,25,25,25,59,41
3,담미온 대학로점,31.51176471,48.54564706,32.36964706,27.99741176,22.89105882,11.76470588,64,36
4,동네식당,25,95.644,87.201,73.5195,43.047,25,60,40
5,뚜레쥬르 카페대학로점,25,95.644,87.201,73.5195,43.047,25,60,40
6,맥도날드 성균관대점,25,96.453,25,57.802,25,25,54,46
7,메가커피 대학로중앙점,25,97.929,70.7495,25,25,25,59,41
8,버거킹 혜화역점,25,85.935,25,80.3465,25,25,51,49
9,병천아우내순대국,25,96.453,25,57.802,25,25,54,46
10,빙플,25,96.453,25,57.802,25,25,54,46
11,샐러드박스 혜화점,31.51176471,48.54564706,32.36964706,27.99741176,22.89105882,11.76470588,64,36
12,시샤디오엠,25,96.453,25,57.802,25,25,54,46
13,신장군마라탕,25,96.453,25,57.802,25,25,54,46
14,써브웨이 성대점,25,97.929,70.7495,25,25,25,59,41
15,육쌈냉면 대학로점,25,97.929,70.7495,25,25,25,59,41
16,카페달달,25,95.024,74.1175,25,25,25,64,36
17,카페더메모리,25,96.453,25,57.802,25,25,54,46
18,카페코지 성대점,25,96.453,25,57.802,25,25,54,46
19,커피빈 혜화역점,25,96.453,25,57.802,25,25,54,46
20,한국관,25,96.453,25,57.802,25,25,54,46
21,함.무바라 닭도리탕,25,96.453,25,57.802,25,25,54,46
