,name,gubun,score,visitCount,blogCount
0,1940 금문,중식당,4.68, 359, 75
1,겐로쿠우동 대학로점,"우동,소바",4.5, 670, 564
2,고기공방,"육류,고기요리",4.6, 222, 230
3,고쿠텐 대학로점,일식당,4.33, 356, 314
4,곱창고 대학로점,"곱창,막창,양",4.75, 155, 110
5,그림제작소 혜화점,"카페,디저트",4.8, 712, 149
6,나무요일,와인,4.38, 26, 78
7,다다미 소바,일식당,4.2, 617, 119
8,달빛마루,요리주점,4.3, 174, 346
9,또오리,오리요리,4.52, 358, 427
10,랑데자뷰 대학로점,"카페,디저트",4.24, 280, 223
11,릴랙스 인 다운타운,"카페,디저트",4.64, 54, 134
12,마녀주방 대학로점,이탈리아음식,4.41, 1112, 399
13,마마그릭 성대점,"다이어트,샐러드",4.69, 111, 91
14,맘스터치 종로대학로점,"치킨,닭강정",4.39, 534, 47
15,맛의정원,양식,4.47, 305, 124
16,메리그린,"카페,디저트",4.56, 249, 215
17,미가라멘 대학로점,일본식라면,4.36, 274, 226
18,바오쯔,"딤섬,중식만두",4.32, 328, 153
19,부추곱창 대학로점,"곱창,막창,양",4.48, 208, 494
20,부탄츄 대학로점,일본식라면,4.33, 494, 322
21,서울바당,야식,4.32, 29, 25
22,서피동파,한식,4.47, 206, 132
23,센꼬치,이자카야,4.54, 85, 44
24,솔솥 대학로점,한식,4.32, 52, 15
25,스노브 대학로점,케이크전문,4.33, 1094, 786
26,오늘도 한잔,바(BAR),4.63, 132, 54
27,울리브루잉,"맥주,호프",05월 05일, 59, 19
28,육식주,"육류,고기요리",05월 05일, 160, 116
29,은식당,"육류,고기요리",4.37, 306, 194
30,이마쇼쿠,일식당,4.43, 116, 50
31,이유식당,"백반,가정식",4.49, 333, 87
32,이자카야진,"오뎅,꼬치",4.29, 115, 94
33,청화원,"딤섬,중식만두",3.99, 411, 75
34,카페 빵쌤 대학로점,"카페,디저트",4.54, 440, 82
35,카페키이로,"카페,디저트",4.54, 446, 607
36,키햐아 혜화점,일식당,4.47, 225, 201
37,포크랜드피케이월드직영점,돼지고기구이,4.39, 230, 349
38,피자보이시나 대학로점,피자,4.54, 287, 437
39,피터팬스테이크,"스테이크,립",4.68, 496, 320
40,학림커피,카페,4.53, 244, 132
41,현초밥,"초밥,롤",4.34, 782, 515
42,혜화 골목냉면,냉면,4.29, 833, 104
43,혜화돌쇠아저씨,종합분식,4.54, 236, 266
44,혜화동 다이닝,양식,4.36, 124, 151
45,혜화랑,와인,4.47, 115, 309
46,혜화양육관,양꼬치,4.38, 450, 483
47,혼가츠 대학로점,돈가스,4.39, 756, 608
48,화화담 대학로,베트남음식,05월 05일, 371, 188
49,히메시야,일식당,4.32, 434, 113
