,name,gubun,score,visitCount,blogCount
0,1984,"카페,디저트",4.63,767,1605
1,가든 포에트,양식,4.85,560,164
2,교동집,주꾸미요리,4.14,596,499
3,긴자료코 본점,돈가스,4.52,953,473
4,뉴오더클럽 연남,피자,4.59,850,1055
5,닝교초식당 홍대점,일식당,4.52,493,221
6,달콤한거짓말,케이크전문,4.36,677,953
7,더피자보이즈 홍대입구역점,피자,4.57,653,604
8,들풀한상,한식,4.36,413,633
9,또보겠지떡볶이집 호호시스터점,분식,4.56,1235,1074
10,락희돈,"일식튀김,꼬치",4.41,330,306
11,마포곱창타운,"곱창,막창,양",4.48,841,969
12,막걸리싸롱,"전통,민속주점",4.14,110,501
13,모파상,"카페,디저트",4.36,774,888
14,몽주방,요리주점,4.43,91,77
15,사쿠라테이엔 합정점,이자카야,4.85,141,112
16,스미비부타동,덮밥,4.44,861,774
17,슬로우타코,"멕시코,남미음식",4.79,369,338
18,식스티즈,햄버거,4.59,282,167
19,심야식당 하스,이자카야,4.46,206,337
20,에일크루,"맥주,호프",4.52,417,284
21,연교,"딤섬,중식만두",4.49,916,891
22,연남주막1987,"전통,민속주점",4.52,340,269
23,오리지널시카고피자 홍대본점,피자,4.29,384,1220
24,오버트 합정,"카페,디저트",4.44,86,81
25,오비야,일식당,4.19,209,459
26,오이지 연남,한식,4.48,145,142
27,우마담,"육류,고기요리",4.55,336,464
28,이름없는파스타 연남점,"스파게티,파스타전문",4.45,40,28
29,제스티살룬 연남,햄버거,4.58,1595,877
30,진저피그,돼지고기구이,4.6,1272,674
31,철길왕갈비살,"육류,고기요리",4.36,689,470
32,청년닭발1987,닭발,4.42,474,701
33,츠케루,일본식라면,4.62,1693,195
34,카와카츠 합정점,돈가스,4.81,271,221
35,카타코토카페,카레,4.52,298,287
36,카페 예능,"카페,디저트",4.49,21,16
37,커피리브레 연남점,카페,4.43,664,744
38,키움초밥,"초밥,롤",4.59,1073,1197
39,키친485,이탈리아음식,4.34,695,1040
40,트래블메이커,브런치,4.0,306,298
41,평안도 상원냉면,냉면,4.48,315,163
42,핏제리아오 합정역점,피자,4.58,34,24
43,하연옥 마포점,냉면,4.33,957,267
44,합정조이떡볶이,떡볶이,4.38,413,82
45,헤이죠지,양식,4.44,330,454
46,혼가츠,돈가스,4.35,1034,1844
47,홍대씨부엉,떡볶이,4.51,537,916
48,홍스쭈꾸미 홍대본점,주꾸미요리,4.44,1058,1835
49,황곱,"곱창,막창,양",4.5,455,319
