,name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
0,PIT A PAT,11.764705882352951,49.359999999999985,32.300941176470594,26.51670588235294,23.05035294117648,11.764705882352951,53,47
1,경성양꼬치 혜화점,25.00000000000001,98.49049999999994,73.32249999999999,67.05399999999997,57.26649999999998,25.00000000000001,48,52
2,기꾸스시,11.764705882352951,49.359999999999985,32.300941176470594,26.51670588235294,23.05035294117648,11.764705882352951,53,47
3,눅,29.368333333333325,76.44366666666664,46.68066666666666,28.36333333333333,26.193666666666665,16.66666666666668,64,36
4,달팽이카페,25.00000000000001,98.09449999999994,77.34249999999996,69.65849999999999,49.889,25.00000000000001,61,39
5,대학로쭈왕쭈꾸미,11.764705882352951,47.06635294117646,31.433647058823517,29.95811764705883,27.382588235294126,11.764705882352951,53,47
6,대한맥주집 대학로점,25.00000000000001,99.62699999999998,73.35499999999998,70.4485,59.001499999999965,25.00000000000001,50,50
7,돈돈정 대학로점,41.541411764705884,49.49341176470586,29.723058823529403,24.02235294117648,17.954823529411772,11.764705882352951,53,47
8,라뜰리에 꼼때,25.00000000000001,90.51749999999994,95.09149999999997,63.30999999999995,48.0395,25.00000000000001,48,52
9,리춘시장 대학로CGV점,68.41399999999996,94.82899999999997,77.90299999999998,70.31749999999995,53.95249999999999,25.00000000000001,48,52
10,마로화적,25.00000000000001,67.91449999999996,72.7705,89.27799999999999,92.91099999999999,97.90099999999998,49,51
11,맥덕스,11.764705882352951,47.77317647058823,36.28070588235294,30.94941176470587,24.885176470588238,11.764705882352951,50,50
12,맥썸 대학로점,11.764705882352951,50.75835294117647,28.86235294117647,22.460470588235296,19.190117647058827,11.764705882352951,53,47
13,머노까머나 대학로점,38.09670588235294,47.99223529411765,36.80211764705882,36.1564705882353,30.983999999999988,11.764705882352951,52,48
14,명륜동식당,25.00000000000001,94.69849999999998,77.2105,71.84349999999998,70.5005,25.00000000000001,51,49
15,명륜포차,41.541411764705884,49.49341176470586,29.723058823529403,24.02235294117648,17.954823529411772,11.764705882352951,53,47
16,바이미디저트,11.764705882352951,48.53952941176469,29.940705882352947,11.764705882352951,11.764705882352951,11.764705882352951,64,36
17,별달밤,25.00000000000001,95.50799999999995,83.98749999999995,67.15849999999999,41.25299999999997,25.00000000000001,52,48
18,블루룸,11.764705882352951,49.05717647058824,29.68611764705882,21.00023529411764,11.764705882352951,11.764705882352951,53,47
19,비어오크,11.764705882352951,50.75835294117647,28.86235294117647,22.460470588235296,19.190117647058827,11.764705882352951,53,47
20,솔트24,60.86699999999998,99.56899999999999,81.423,74.39499999999997,61.13949999999999,25.00000000000001,62,38
21,심야식당,11.764705882352951,50.597176470588224,26.775294117647054,31.048705882352934,15.328705882352928,11.764705882352951,48,52
22,아도레 쿠치나,11.764705882352951,48.59764705882351,35.965411764705884,28.95882352941177,22.979058823529407,11.764705882352951,55,45
23,아뻬 서울,37.988941176470576,48.726117647058814,33.072705882352935,24.098117647058817,18.463999999999995,11.764705882352951,62,38
24,역전할머니맥주 대학로점,11.764705882352951,49.47811764705881,31.474117647058826,29.049647058823535,23.677647058823524,11.764705882352951,51,49
25,오도레D,11.764705882352951,52.44823529411765,36.514823529411764,37.40047058823529,15.752705882352949,25.706588235294127,44,56
26,유캔하이x육미안,11.764705882352951,48.59764705882351,35.965411764705884,28.95882352941177,22.979058823529407,11.764705882352951,55,45
27,육수당 대학로점,66.097,98.133,79.469,68.79849999999996,56.01499999999996,25.00000000000001,48,52
28,육회한연어 대학로점,11.764705882352951,48.83717647058823,29.57011764705883,25.116470588235284,11.764705882352951,11.764705882352951,50,50
29,은행골 대학로점,30.10658823529411,48.97811764705883,36.312705882352944,30.01317647058823,22.893647058823525,11.764705882352951,50,50
30,이공오도씨,25.00000000000001,95.50799999999995,83.98749999999995,67.15849999999999,41.25299999999997,25.00000000000001,52,48
31,재팔이네닭발 대학로점,34.29952941176471,48.18658823529412,32.129411764705864,28.269176470588235,22.734352941176457,11.764705882352951,55,45
32,정통집 대학로점,11.764705882352951,47.82211764705882,33.44682352941176,28.694352941176476,11.764705882352951,11.764705882352951,50,50
33,청산손만두,42.058588235294124,48.64047058823528,26.449411764705882,21.336000000000006,20.37388235294118,11.764705882352951,54,46
34,카페 사흘,41.56517647058824,49.62023529411765,33.34729411764706,22.794588235294114,15.939058823529423,11.764705882352951,63,37
35,카페 선선혜화,25.00000000000001,99.62699999999998,73.35499999999998,70.4485,59.001499999999965,25.00000000000001,50,50
36,카페랑솜,44.5670588235294,50.921411764705894,26.66423529411763,20.888000000000005,16.56164705882352,11.764705882352951,65,35
37,케익아이메이드 대학로점,45.670823529411756,52.59058823529411,32.66517647058824,27.21105882352942,17.19199999999999,14.772941176470583,57,43
38,퀸101,11.764705882352951,52.44823529411765,36.514823529411764,37.40047058823529,15.752705882352949,25.706588235294127,44,56
39,통큰갈비 대학로점,23.160571428571387,28.967428571428535,12.16114285714284,16.40399999999999,11.441714285714262,10.735714285714263,45,55
40,틈새라면대학로점,25.00000000000001,95.50799999999995,83.98749999999995,67.15849999999999,41.25299999999997,25.00000000000001,52,48
41,페이브베이커리 대학로점,25.00000000000001,96.45399999999995,75.71099999999996,58.46749999999999,51.42249999999996,25.00000000000001,61,39
42,프루스트,11.764705882352951,47.77317647058823,36.28070588235294,30.94941176470587,24.885176470588238,11.764705882352951,50,50
43,행운삼겹살,11.764705882352951,52.44823529411765,36.514823529411764,37.40047058823529,15.752705882352949,25.706588235294127,44,56
44,헤이커피,41.56517647058824,49.62023529411765,33.34729411764706,22.794588235294114,15.939058823529423,11.764705882352951,63,37
45,혜화시장,11.764705882352951,48.53952941176469,29.940705882352947,11.764705882352951,11.764705882352951,11.764705882352951,64,36
46,혜화역4번출구 카페 제이드,86.78849999999996,99.27099999999996,67.83999999999999,56.60549999999995,25.00000000000001,25.00000000000001,60,40
47,환식당,42.058588235294124,48.64047058823528,26.449411764705882,21.336000000000006,20.37388235294118,11.764705882352951,54,46
48,훠궈나라 대학로본점,46.764941176470586,49.73223529411766,29.50870588235293,26.60917647058823,22.853647058823526,11.764705882352951,58,42
49,히든스시,11.764705882352951,48.512,29.91741176470587,22.653411764705865,19.471294117647048,11.764705882352951,56,44
