,name,gubun,score,visitCount,blogCount
0,219레스토랑,"스파게티,파스타전문",4.59,689,303
1,798화로,소고기구이,4.72,175,609
2,Bread rum,베이커리,4.72,401,166
3,가메스시,"초밥,롤",4.69,106,77
4,공미학 마포홍대점,"카페,디저트",4.6,708,385
5,공중도시,카페,4.68,131,161
6,다레젤라또 연남점,아이스크림,4.55,78,30
7,다운타우너 연남,양식,4.55,671,224
8,동교해물,"해물,생선요리",4.52,93,99
9,동차밥,일식당,4.6,513,738
10,또보겠지떡볶이집호호피크닉점,떡볶이,4.57,752,454
11,랑빠스81,프랑스음식,4.49,237,283
12,로운 샤브샤브 홍대점,샤브샤브,4.21,2281,849
13,모리츠플라츠,카페,4.42,272,572
14,물고기초밥,"초밥,롤",4.55,297,688
15,미로식당,한식,4.45,49,236
16,미장플라쎄,이탈리아음식,4.88,379,724
17,박용석스시,"초밥,롤",4.16,408,535
18,배떼기곱창 홍대점,"곱창,막창,양",4.4,356,765
19,보승회관 홍대직영점,국밥,4.34,797,357
20,비스트로주라,"스파게티,파스타전문",4.61,585,656
21,사카바 토리야,이자카야,4.49,107,55
22,상수동 카스티야,베이커리,4.38,370,401
23,샐러드 브라더스,"다이어트,샐러드",4.52,324,232
24,서플라이디팟 루프탑,"맥주,호프",4.85,311,229
25,손오공마라탕 동교동점,중식당,4.47,1676,424
26,신주양꼬치 홍대점,양꼬치,4.58,195,853
27,심양 홍대점,양꼬치,4.51,160,421
28,아웃나우 홍대,퓨전음식,4.58,431,99
29,안녕파스타씨,"스파게티,파스타전문",4.24,252,1001
30,알디프 티 바,홍차전문점,4.82,2863,375
31,어리라운지,바(BAR),4.78,96,172
32,연남다방,"카페,디저트",4.44,501,251
33,연어롭다,일식당,4.57,923,1646
34,윤서울,한식,4.8,25,71
35,이미커피,"카페,디저트",4.76,162,244
36,제임스시카고피자 홍대본점,피자,4.49,1425,761
37,조선시대,요리주점,4.4,438,407
38,지하102호,이자카야,4.73,144,369
39,차차티클럽 연남,"카페,디저트",4.47,27,196
40,터틀힙,"카페,디저트",4.42,150,798
41,토라비,카페,4.58,216,419
42,플랜트 연남점,샌드위치,4.43,243,169
43,한림돈가 서교직영점,돼지고기구이,4.52,271,561
44,혼신꼬치,"일식튀김,꼬치",4.37,287,246
45,홍대 조폭 떡볶이,떡볶이,4.34,1401,952
46,홍대공감,이자카야,4.88,252,202
47,홍마떡 홍대본점,떡볶이,4.41,1132,1411
48,후통,중식당,4.39,205,271
49,훌리오 홍대점,"멕시코,남미음식",4.42,896,1161
