,name,gubun,score,blogCount,visitCount
0,0000 seoul,양식,4.64,7,18
1,37.5 시그니처 가로수길,브런치,4.52,76,115
2,678치킨앤버거 압구정점,햄버거,4.64,32,19
3,ebt,양식,4.57,577,189
4,가디록,이탈리아음식,4.62,129,333
5,갓포준 x 에스테반,일식당,4.66,180,186
6,금별맥주 강남신사점,"맥주,호프",4.64,803,170
7,꿍탈레,태국음식,4.4,277,268
8,네기스키야키 압구정점,일식당,4.35,198,327
9,달맞이 신사점,생선회,4.36,129,153
10,대가방 압구정동점,중식당,4.28,303,307
11,도레도레 신사점,케이크전문,4.43,601,989
12,도슬박,한식,4.5,102,274
13,르 사이트,카페,4.24,574,309
14,마담타이 신사점,아시아음식,4.38,132,52
15,마제스티 타바론 티 라운지,양식,4.37,186,520
16,마치래빗 샐러드 신사동가로수길본점,"다이어트,샐러드",4.66,593,559
17,막이오름 가로수길점,요리주점,4.35,364,193
18,매덕스피자 신사점,피자,4.5,770,338
19,배스킨라빈스 BROWN청담점,아이스크림,4.49,2421,932
20,변두리비스트로,와인,4.76,186,481
21,봄의정원 가로수길점,양식,4.6,207,89
22,블루보틀 압구정 카페,블루보틀,4.37,655,1050
23,상석,일식당,4.82,67,143
24,샤오당쟈마라탕 신사본점,중식당,4.56,1328,124
25,세인트그릴,햄버거,4.55,735,287
26,세컨디포레스트 가로수길점,"스파게티,파스타전문",4.37,915,250
27,소나,카페,4.33,231,618
28,송쉐프,중식당,4.38,534,586
29,스구식탁 가로수길점,샤브샤브,4.62,291,191
30,스미비부타동 압구정점,덮밥,4.62,79,31
31,스시유키,"초밥,롤",4.49,326,454
32,압구정면옥,한식,4.26,553,272
33,야키토리 요이사,이자카야,4.62,235,73
34,우모크,한식,4.66,72,102
35,이코복스커피 가로수길점,카페,4.31,377,259
36,잇샐러드 압구정점,"다이어트,샐러드",4.6,144,90
37,있을 재,양식,4.61,162,422
38,조우,소고기구이,4.61,204,106
39,지구당 신사점,덮밥,4.27,190,597
40,추풍령칼삼겹살 압구정점,돼지고기구이,4.53,388,350
41,카페 키츠네 서울,"카페,디저트",4.26,391,314
42,카페드로우지,브런치,4.91,453,135
43,카페캠프통,"카페,디저트",4.52,588,561
44,커스텀잇,양식,4.36,18,39
45,타라 시가바,바(BAR),4.71,38,309
46,포티데이즈,양식,4.69,149,169
47,한일관 압구정점,한정식,4.27,1074,493
48,호화반점,중식당,4.31,887,322
49,휴고 도산,양식,4.66,299,174
