,name,gubun,score,visitCount,blogCount
0,도단집,돼지고기구이,4.66/5,방문자 리뷰_ 448,블로그 리뷰_ 209
1,뿔난황소곱창 건대본점,"곱창,막창,양",4.26/5,방문자 리뷰_ 215,블로그 리뷰_ 559
2,화양주막,"전통,민속주점",4.82/5,방문자 리뷰_ 192,블로그 리뷰_ 79
3,호아다오,베트남음식,4.91/5,방문자 리뷰_ 792,블로그 리뷰_ 209
4,메이빌 본점,이탈리아음식,4.48/5,방문자 리뷰_ 594,블로그 리뷰_ 399
5,니뽕내뽕 건대본점,중식당,4.41/5,방문자 리뷰_ 682,블로그 리뷰_ 565
6,낙원스낵 건대점,"맥주,호프",4.41/5,방문자 리뷰_ 308,블로그 리뷰_ 237
7,평화김해뒷고기 건대점,"육류,고기요리",4.41/5,방문자 리뷰_ 108,블로그 리뷰_ 93
8,호파스타 건대점,"스파게티,파스타전문",4.38/5,방문자 리뷰_ 762,블로그 리뷰_ 368
9,C156,양식,4.59/5,방문자 리뷰_ 729,블로그 리뷰_ 514
10,중경식객 건대점,중식당,4.59/5,방문자 리뷰_ 306,블로그 리뷰_ 369
11,은호초밥 건대본점,"초밥,롤",4.26/5,방문자 리뷰_ 676,블로그 리뷰_ 628
12,아웃백스테이크하우스 건대스타시티점,패밀리레스토랑,4.46/5,"방문자 리뷰_ 4,932",블로그 리뷰_ 478
13,이우,중식당,4.46/5,방문자 리뷰_ 64,블로그 리뷰_ 13
14,엘루이피자,"맥주,호프",4.46/5,방문자 리뷰_ 107,블로그 리뷰_ 431
15,메호르,스페인음식,4.45/5,방문자 리뷰_ 143,블로그 리뷰_ 239
16,건대우동집,"우동,소바",4.43/5,"방문자 리뷰_ 1,265",블로그 리뷰_ 174
17,장인닭갈비 건대점,닭갈비,4.19/5,방문자 리뷰_ 515,블로그 리뷰_ 302
18,빕스 어린이대공원점,패밀리레스토랑,4.39/5,"방문자 리뷰_ 2,917",블로그 리뷰_ 224
19,고망고 건대점,"카페,디저트",4.48/5,"방문자 리뷰_ 1,203",블로그 리뷰_ 203
20,바른면집 건대점,패밀리레스토랑,4.45/5,방문자 리뷰_ 485,블로그 리뷰_ 891
21,안다미로 팬케이크,"카페,디저트",4.57/5,방문자 리뷰_ 233,블로그 리뷰_ 148
22,얼땅쟈,중식당,4.52/5,방문자 리뷰_ 144,블로그 리뷰_ 387
23,해피니스디저트,"카페,디저트",4.41/5,방문자 리뷰_ 793,블로그 리뷰_ 105
24,육일관,"육류,고기요리",4.48/5,방문자 리뷰_ 756,블로그 리뷰_ 435
25,우화등선,소고기구이,4.64/5,방문자 리뷰_ 96,블로그 리뷰_ 547
26,도쿄스테이크 건대점,"스테이크,립",4.32/5,방문자 리뷰_ 436,블로그 리뷰_ 907
27,송몽,카페,4.32/5,방문자 리뷰_ 92,블로그 리뷰_ 18
28,홍도초밥,"초밥,롤",4.53/5,방문자 리뷰_ 366,블로그 리뷰_ 198
29,대부포차,포장마차,4.27/5,방문자 리뷰_ 91,블로그 리뷰_ 91
30,한촌설렁탕 건대입구역점,"곰탕,설렁탕",4.28/5,방문자 리뷰_ 493,블로그 리뷰_ 203
31,코후쿠,이자카야,4.53/5,방문자 리뷰_ 404,블로그 리뷰_ 178
32,가마로,돼지고기구이,4.34/5,방문자 리뷰_ 481,블로그 리뷰_ 267
33,엘루이 비스트로,요리주점,4.34/5,방문자 리뷰_ 221,블로그 리뷰_ 296
34,참숯벽돌집,"육류,고기요리",4.55/5,방문자 리뷰_ 102,블로그 리뷰_ 480
35,조그삼,돼지고기구이,4.52/5,방문자 리뷰_ 203,블로그 리뷰_ 239
36,김창훈포차,요리주점,4.52/5,방문자 리뷰_ 140,블로그 리뷰_ 127
37,반티엔야오 카오위 건대점,중식당,4.75/5,방문자 리뷰_ 472,블로그 리뷰_ 200
38,고향양꼬치,양꼬치,4.38/5,방문자 리뷰_ 226,"블로그 리뷰_ 1,097"
39,육회한연어 건대점,요리주점,4.39/5,방문자 리뷰_ 370,블로그 리뷰_ 316
40,막이오름 건대점,요리주점,4.23/5,방문자 리뷰_ 337,블로그 리뷰_ 185
41,미도인 건대,양식,4.58/5,방문자 리뷰_ 884,블로그 리뷰_ 239
42,환이네갈비살 2호점,소고기구이,4.5/5,방문자 리뷰_ 391,블로그 리뷰_ 133
43,그릭데이 건대점,"카페,디저트",4.57/5,방문자 리뷰_ 361,블로그 리뷰_ 136
44,연옥양꼬치,양꼬치,4.75/5,방문자 리뷰_ 273,블로그 리뷰_ 497
45,프레퍼스 다이어트 푸드 건대점,"다이어트,샐러드",4.75/5,방문자 리뷰_ 532,블로그 리뷰_ 46
46,스파이스드 SPICED,양식,4.75/5,방문자 리뷰_ 219,블로그 리뷰_ 64
47,흥에취한범 건대점,요리주점,4.75/5,방문자 리뷰_ 246,블로그 리뷰_ 12
48,우성식당,기사식당,4.2/5,방문자 리뷰_ 734,블로그 리뷰_ 138
49,조씨네고기국수,국수,4.47/5,방문자 리뷰_ 468,블로그 리뷰_ 508
