name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
온천집 스키야키,6.065999999999969%_10|,32.18914285714284%_20|,28.705999999999964%_30|,25.379714285714268%_40|,15.370285714285703%_50|,9.91999999999996%_60|,여자_61%,남자_39%
스페인클럽 가로수본점,25.00000000000001%_10|,91.33249999999995%_20|,87.67749999999998%_30|,78.82799999999999%_40|,72.05149999999996%_50|,68.09299999999999%_60|,여자_51%,남자_49%
맥파이앤타이거 신사티룸,27.304235294117646%_10|,50.684235294117656%_20|,41.19576470588234%_30|,27.237411764705865%_40|,20.929411764705875%_50|,15.82000000000001%_60|,여자_57%,남자_43%
트라가 가로수길점,5.216857142857119%_10|,33.339142857142825%_20|,24.507142857142842%_30|,20.761428571428535%_40|,17.92571428571426%_50|,11.987714285714262%_60|,여자_50%,남자_50%
678치킨앤버거 압구정점,55.559000000000005%_10|,83.10499999999996%_20|,84.04599999999998%_30|,81.84949999999999%_40|,71.825%_50|,25.00000000000001%_60|,여자_44%,남자_56%
장 스테이크,48.32249999999998%_10|,99.76549999999997%_20|,92.60049999999994%_30|,72.41399999999996%_40|,60.75049999999996%_50|,55.57599999999999%_60|,여자_50%,남자_50%
꿍탈레,25.00000000000001%_10|,93.69049999999997%_20|,86.69549999999995%_30|,77.95849999999996%_40|,60.43399999999997%_50|,46.246500000000005%_60|,여자_55%,남자_45%
베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,39.40094117647058%_10|,49.72211764705883%_20|,39.038117647058804%_30|,30.436000000000007%_40|,23.819764705882363%_50|,18.890117647058823%_60|,여자_58%,남자_42%
메종 사우스케이프,25.00000000000001%_10|,88.27849999999995%_20|,88.14399999999996%_30|,85.05949999999997%_40|,77.60799999999999%_50|,67.23199999999999%_60|,여자_61%,남자_39%
고급오복수산,39.963499999999975%_10|,96.78399999999995%_20|,97.97299999999994%_30|,88.7105%_40|,80.11949999999999%_50|,74.62149999999998%_60|,여자_53%,남자_47%
휴고 도산,25.00000000000001%_10|,97.78599999999994%_20|,87.67999999999995%_30|,59.59249999999997%_40|,43.018999999999956%_50|,25.00000000000001%_60|,여자_63%,남자_37%
목탄장 도산점,11.764705882352951%_10|,45.05835294117645%_20|,47.16658823529412%_30|,38.192%_40|,26.190588235294122%_50|,19.27176470588235%_60|,여자_54%,남자_46%
안주집,25.132999999999996%_10|,80.05533333333332%_20|,53.21399999999997%_30|,37.54266666666665%_40|,33.01833333333333%_50|,26.17666666666666%_60|,여자_55%,남자_45%
송쉐프,34.637499999999974%_10|,83.33049999999996%_20|,92.65199999999997%_30|,94.26899999999996%_40|,88.67099999999996%_50|,83.8825%_60|,여자_46%,남자_54%
골뱅이신사,11.764705882352951%_10|,50.66964705882353%_20|,43.211764705882345%_30|,40.17317647058823%_40|,29.565411764705885%_50|,24.34635294117647%_60|,여자_55%,남자_45%
도레도레 신사점,42.62870588235293%_10|,50.991294117647065%_20|,41.523999999999994%_30|,36.32705882352941%_40|,22.342352941176472%_50|,16.612235294117657%_60|,여자_60%,남자_40%
