,name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
0,제임스시카고피자 홍대본점,41.078588235294106%_10|,50.24023529411763%_20|,36.74141176470589%_30|,34.085647058823525%_40|,23.223999999999986%_50|,19.262117647058833%_60|,여자_50%,남자_50%
1,사카바 토리야,18.294999999999984%_10|,76.99099999999999%_20|,59.98366666666664%_30|,39.31399999999999%_40|,24.34866666666668%_50|,22.348333333333336%_60|,여자_46%,남자_54%
2,혼신꼬치,11.764705882352951%_10|,47.47105882352942%_20|,38.20376470588236%_30|,30.16094117647058%_40|,21.430823529411754%_50|,24.443294117647053%_60|,여자_52%,남자_48%
3,이미커피,31.717411764705876%_10|,50.077647058823516%_20|,41.08870588235293%_30|,28.980235294117644%_40|,20.590823529411765%_50|,16.298588235294122%_60|,여자_58%,남자_42%
4,공중도시,91.53466666666664%_10|,75.61666666666666%_20|,27.863000000000003%_30|,27.252666666666663%_40|,24.312999999999988%_50|,20.481999999999996%_60|,여자_73%,남자_27%
5,랑빠스81,25.00000000000001%_10|,91.50999999999995%_20|,93.05199999999999%_30|,79.093%_40|,63.67299999999996%_50|,55.92599999999995%_60|,여자_49%,남자_51%
6,지하102호,11.764705882352951%_10|,48.25223529411765%_20|,39.940235294117635%_30|,24.63741176470589%_40|,14.758588235294118%_50|,11.764705882352951%_60|,여자_50%,남자_50%
7,동차밥,35.81552941176471%_10|,52.173176470588245%_20|,32.09929411764706%_30|,21.324941176470592%_40|,17.680705882352928%_50|,11.764705882352951%_60|,여자_61%,남자_39%
8,후통,45.289647058823526%_10|,50.893176470588244%_20|,33.595529411764716%_30|,29.09411764705883%_40|,24.8244705882353%_50|,23.30164705882353%_60|,여자_53%,남자_47%
9,샐러드 브라더스,11.764705882352951%_10|,48.71129411764704%_20|,34.393176470588244%_30|,24.49576470588234%_40|,18.86988235294117%_50|,11.764705882352951%_60|,여자_63%,남자_37%
10,홍대 조폭 떡볶이,41.87788235294116%_10|,47.4995294117647%_20|,41.344470588235296%_30|,41.639294117647054%_40|,24.658117647058827%_50|,18.780235294117645%_60|,여자_52%,남자_48%
11,한림돈가 서교직영점,35.28470588235294%_10|,48.955764705882345%_20|,39.07082352941175%_30|,30.333411764705865%_40|,24.02188235294117%_50|,18.930117647058818%_60|,여자_49%,남자_51%
12,알디프 티 바,51.14166666666667%_10|,77.34133333333332%_20|,50.87699999999998%_30|,28.743999999999986%_40|,24.743999999999986%_50|,16.817000000000004%_60|,여자_65%,남자_35%
13,Bread rum,25.00000000000001%_10|,98.18349999999995%_20|,85.91549999999995%_30|,69.854%_40|,50.96149999999997%_50|,25.00000000000001%_60|,여자_66%,남자_34%
14,조선시대,16.66666666666668%_10|,81.09366666666664%_20|,45.31999999999998%_30|,34.97133333333331%_40|,27.69999999999998%_50|,22.822999999999997%_60|,여자_52%,남자_48%
15,심양 홍대점,15.22658823529412%_10|,49.275294117647064%_20|,40.87435294117646%_30|,28.133882352941182%_40|,17.15011764705881%_50|,11.764705882352951%_60|,여자_49%,남자_51%
16,손오공마라탕 동교동점,50.04094117647059%_10|,51.301411764705875%_20|,29.223294117647043%_30|,26.769411764705886%_40|,19.180235294117654%_50|,15.82470588235293%_60|,여자_62%,남자_38%
17,차차티클럽 연남,35.561411764705895%_10|,49.71011764705882%_20|,39.85176470588235%_30|,29.131999999999998%_40|,22.70588235294118%_50|,11.764705882352951%_60|,여자_61%,남자_39%
18,비스트로주라,43.40305882352942%_10|,51.072470588235284%_20|,26.99247058823529%_30|,23.288941176470587%_40|,19.765176470588237%_50|,11.764705882352951%_60|,여자_62%,남자_38%
19,훌리오 홍대점,60.98099999999999%_10|,98.18849999999998%_20|,85.56449999999995%_30|,70.37399999999997%_40|,51.88299999999999%_50|,25.00000000000001%_60|,여자_53%,남자_47%
20,플랜트 연남점,35.79766666666665%_10|,75.66166666666665%_20|,55.958666666666666%_30|,37.49633333333331%_40|,26.73999999999998%_50|,20.126000000000012%_60|,여자_70%,남자_30%
21,798화로,11.764705882352951%_10|,47.159058823529406%_20|,41.2644705882353%_30|,36.31176470588236%_40|,27.086823529411756%_50|,11.764705882352951%_60|,여자_42%,남자_58%
22,미장플라쎄,37.04094117647057%_10|,50.88070588235291%_20|,39.324470588235265%_30|,33.47458823529411%_40|,29.576941176470562%_50|,25.45388235294116%_60|,여자_55%,남자_45%
23,홍대공감,31.011666666666653%_10|,81.91%_20|,51.587%_30|,38.51166666666668%_40|,29.02400000000001%_50|,23.114333333333345%_60|,여자_47%,남자_53%
24,모리츠플라츠,11.764705882352951%_10|,48.37294117647058%_20|,36.303294117647056%_30|,25.022117647058817%_40|,18.559058823529398%_50|,11.764705882352951%_60|,여자_58%,남자_42%
25,홍마떡 홍대본점,45.81623529411763%_10|,51.0435294117647%_20|,34.479294117647065%_30|,31.301176470588228%_40|,21.65929411764706%_50|,16.940000000000005%_60|,여자_57%,남자_43%
26,물고기초밥,11.764705882352951%_10|,49.01482352941176%_20|,38.465176470588226%_30|,28.04776470588234%_40|,21.44517647058822%_50|,11.764705882352951%_60|,여자_50%,남자_50%
27,다운타우너 연남,29.348705882352927%_10|,50.66164705882351%_20|,41.844%_30|,35.6750588235294%_40|,24.76000000000001%_50|,18.44000000000001%_60|,여자_56%,남자_44%
28,다레젤라또 연남점,36.68894117647057%_10|,48.91011764705883%_20|,31.252235294117643%_30|,22.778117647058814%_40|,25.56305882352942%_50|,11.764705882352951%_60|,여자_53%,남자_47%
29,배떼기곱창 홍대점,44.883764705882356%_10|,50.31058823529412%_20|,29.99011764705881%_30|,25.471058823529415%_40|,21.362117647058824%_50|,20.17011764705882%_60|,여자_55%,남자_45%
30,안녕파스타씨,51.40823529411765%_10|,51.283294117647046%_20|,27.25717647058824%_30|,26.81223529411766%_40|,19.17764705882354%_50|,18.22588235294117%_60|,여자_57%,남자_43%
31,윤서울,42.681000000000004%_10|,98.90099999999998%_20|,93.21149999999997%_30|,77.92999999999998%_40|,68.097%_50|,67.81599999999996%_60|,여자_42%,남자_58%
32,토라비,41.01082352941176%_10|,48.81670588235293%_20|,31.67317647058824%_30|,25.109647058823537%_40|,18.242588235294118%_50|,11.764705882352951%_60|,여자_64%,남자_36%
33,아웃나우 홍대,45.10141176470587%_10|,48.41270588235294%_20|,34.7385882352941%_30|,33.98988235294116%_40|,24.096235294117637%_50|,18.909647058823538%_60|,여자_51%,남자_49%
34,보승회관 홍대직영점,32.13788235294117%_10|,47.55223529411764%_20|,37.00164705882352%_30|,30.310823529411753%_40|,24.18988235294117%_50|,11.764705882352951%_60|,여자_47%,남자_53%
