,name,gubun,score,visitCount,blogCount
0,카페 아르무아,"카페,디저트",4.44/5,방문자 리뷰_ 672,블로그 리뷰_ 989
1,고향양꼬치,양꼬치,4.38/5,방문자 리뷰_ 226,"블로그 리뷰_ 1,096"
2,고베규카츠 건대점,돈가스,3.64/5,방문자 리뷰_ 182,블로그 리뷰_ 64
3,송화산시도삭면,"딤섬,중식만두",4.53/5,"방문자 리뷰_ 1,050","블로그 리뷰_ 1,427"
4,서북면옥,냉면,4.26/5,"방문자 리뷰_ 1,200","블로그 리뷰_ 1,401"
5,페스타마레 건대본점,"스파게티,파스타전문",4.72/5,"방문자 리뷰_ 3,280","블로그 리뷰_ 1,345"
6,오마카세 오사이초밥 건대본점,일식당,4.8/5,"방문자 리뷰_ 2,320",블로그 리뷰_ 389
7,에스프레소바 투또톤토,"카페,디저트",4.8/5,방문자 리뷰_ 141,블로그 리뷰_ 71
8,매운향솥 마라탕 마라샹궈,중식당,4.47/5,방문자 리뷰_ 981,"블로그 리뷰_ 1,061"
9,송화산시도삭면 2호점,중식당,4.44/5,"방문자 리뷰_ 1,511",블로그 리뷰_ 543
10,마초쉐프 건대점,이탈리아음식,4.7/5,"방문자 리뷰_ 2,012",블로그 리뷰_ 945
11,로니로티 건대점,이탈리아음식,4.47/5,"방문자 리뷰_ 1,957","블로그 리뷰_ 1,668"
12,모츠커피,카페,4.65/5,방문자 리뷰_ 263,블로그 리뷰_ 260
13,오코노미야키식당하나,일식당,4.52/5,방문자 리뷰_ 576,블로그 리뷰_ 479
14,비에이치테이블,브런치,4.54/5,방문자 리뷰_ 289,블로그 리뷰_ 384
15,포비,일식당,4.45/5,방문자 리뷰_ 428,블로그 리뷰_ 631
16,오우,요리주점,4.45/5,방문자 리뷰_ 53,블로그 리뷰_ 25
17,호야초밥참치 본점,"초밥,롤",4.45/5,"방문자 리뷰_ 2,469","블로그 리뷰_ 2,216"
18,daughter,브런치,4.49/5,방문자 리뷰_ 548,블로그 리뷰_ 715
19,봉자마라탕,중식당,4.25/5,방문자 리뷰_ 103,블로그 리뷰_ 340
20,릴리베이커리,베이커리,4.49/5,"방문자 리뷰_ 1,498",블로그 리뷰_ 502
21,옥루몽 어린이대공원점,빙수,4.38/5,방문자 리뷰_ 451,블로그 리뷰_ 153
22,민벅 건대본점,양식,4.31/5,"방문자 리뷰_ 2,846","블로그 리뷰_ 1,704"
23,쿵푸소룽샤&마라룽샤,중식당,4.64/5,방문자 리뷰_ 330,블로그 리뷰_ 658
24,흐릇,카페,4.75/5,방문자 리뷰_ 74,블로그 리뷰_ 44
25,송림식당,기사식당,4.32/5,"방문자 리뷰_ 2,319","블로그 리뷰_ 1,266"
26,백소정 건대본점,일식당,4.32/5,"방문자 리뷰_ 1,959",블로그 리뷰_ 175
27,도쿄빙수 건대점,빙수,4.37/5,방문자 리뷰_ 436,블로그 리뷰_ 425
28,명봉반점,중식당,4.37/5,방문자 리뷰_ 398,"블로그 리뷰_ 1,129"
29,꾸아 건대점,베트남음식,4.68/5,방문자 리뷰_ 247,블로그 리뷰_ 189
30,오봉집 건대점,한식,4.14/5,방문자 리뷰_ 374,블로그 리뷰_ 97
31,더 클래식 500 라구뜨,뷔페,4.56/5,"방문자 리뷰_ 3,334","블로그 리뷰_ 1,004"
32,감성타코 건대점,"멕시코,남미음식",4.32/5,"방문자 리뷰_ 1,115",블로그 리뷰_ 870
33,고기굽는놈,"육류,고기요리",4.64/5,방문자 리뷰_ 816,블로그 리뷰_ 980
34,뽕사부,중식당,4.61/5,"방문자 리뷰_ 2,212",블로그 리뷰_ 352
35,심야식당 후타리,이자카야,4.8/5,방문자 리뷰_ 390,블로그 리뷰_ 258
36,미분당,베트남음식,4.44/5,방문자 리뷰_ 895,블로그 리뷰_ 674
37,아찌떡볶이,떡볶이,4.33/5,방문자 리뷰_ 902,블로그 리뷰_ 464
38,요비,이자카야,4.41/5,방문자 리뷰_ 103,블로그 리뷰_ 308
39,함흥본가면옥,냉면,4.37/5,"방문자 리뷰_ 2,465",블로그 리뷰_ 351
40,송화양꼬치,양꼬치,4.48/5,방문자 리뷰_ 702,블로그 리뷰_ 753
41,경성양육관,양꼬치,4.58/5,방문자 리뷰_ 704,블로그 리뷰_ 782
42,하이디라오 건대지점,중식당,4.66/5,"방문자 리뷰_ 3,008",블로그 리뷰_ 436
43,카페 그자체 베이커리,베이커리,4.59/5,방문자 리뷰_ 878,블로그 리뷰_ 684
44,화기애애 건대본점,"육류,고기요리",4.56/5,방문자 리뷰_ 608,"블로그 리뷰_ 1,138"
45,성수완당 본점,한식,4.56/5,방문자 리뷰_ 340,블로그 리뷰_ 206
46,라화쿵부 건대점,중식당,4.66/5,"방문자 리뷰_ 6,714","블로그 리뷰_ 1,326"
47,장미술상 건대점,요리주점,4.96/5,방문자 리뷰_ 257,블로그 리뷰_ 143
48,아오스요거트,"카페,디저트",4.5/5,방문자 리뷰_ 895,블로그 리뷰_ 459
49,남한강민물매운탕,"매운탕,해물탕",4.38/5,방문자 리뷰_ 422,블로그 리뷰_ 227
50,마당족발,"족발,보쌈",4.38/5,방문자 리뷰_ 315,블로그 리뷰_ 423
51,조용한주택,"스파게티,파스타전문",4.72/5,방문자 리뷰_ 819,블로그 리뷰_ 147
52,건대사시미,생선회,4.45/5,방문자 리뷰_ 365,블로그 리뷰_ 527
53,용용선생 건대점,요리주점,4.59/5,방문자 리뷰_ 467,블로그 리뷰_ 209
54,카페 아르무아,"카페,디저트",4.44/5,방문자 리뷰_ 672,블로그 리뷰_ 989
