name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
함흥본가면옥|"36.90500000000001%_10|"|"80.06899999999997%_20|"|"90.41949999999996%_30|"|"92.35549999999995%_40|"|"88.16299999999995%_50|"|"89.07499999999999%_60|"|여자_50%|남자_50%
송화양꼬치|"17.859764705882345%_10|"|"50.07435294117647%_20|"|"41.92588235294118%_30|"|"36.86141176470589%_40|"|"31.208000000000002%_50|"|"25.582117647058833%_60|"|여자_46%|남자_54%
경성양육관|"23.25882352941176%_10|"|"49.53458823529411%_20|"|"41.46258823529412%_30|"|"38.19317647058824%_40|"|"29.227999999999987%_50|"|"25.8915294117647%_60|"|여자_46%|남자_54%
요비|"16.66666666666668%_10|"|"75.00366666666665%_20|"|"51.43766666666667%_30|"|"35.57266666666665%_40|"|"28.76133333333334%_50|"|"24.632333333333325%_60|"|여자_46%|남자_54%
성수완당 본점|"14.675714285714253%_10|"|"33.15714285714282%_20|"|"18.740571428571393%_30|"|"14.315999999999965%_40|"|"8.504571428571417%_50|"|"7.810857142857104%_60|"|여자_51%|남자_49%
카페 그자체 베이커리|"62.981333333333325%_10|"|"77.18499999999997%_20|"|"49.394999999999996%_30|"|"35.83766666666665%_40|"|"27.61366666666668%_50|"|"17.571666666666648%_60|"|여자_62%|남자_38%
아오스요거트|"58.36800000000001%_10|"|"75.93233333333333%_20|"|"42.479333333333344%_30|"|"25.882666666666683%_40|"|"23.23733333333333%_50|"|"16.66666666666668%_60|"|여자_69%|남자_31%
화기애애 건대본점|"37.91066666666668%_10|"|"79.70499999999998%_20|"|"58.49133333333333%_30|"|"46.161333333333346%_40|"|"38.22866666666664%_50|"|"32.33266666666667%_60|"|여자_42%|남자_58%
라화쿵부 건대점|"37.29085714285712%_10|"|"32.11799999999997%_20|"|"11.217142857142846%_30|"|"17.64599999999999%_40|"|"14.176571428571414%_50|"|"14.89199999999997%_60|"|여자_54%|남자_46%
972Bar|"47.798333333333346%_10|"|"81.89566666666666%_20|"|"34.08066666666668%_30|"|"23.921666666666653%_40|"|"22.56766666666665%_50|"|"16.66666666666668%_60|"|여자_50%|남자_50%
남한강민물매운탕|"25.00000000000001%_10|"|"75.08099999999999%_20|"|"86.24949999999994%_30|"|"92.28899999999997%_40|"|"88.53649999999999%_50|"|"93.86199999999997%_60|"|여자_43%|남자_57%
카페 아르무아|"47.44%_10|"|"52.768941176470584%_20|"|"30.30282352941176%_30|"|"22.023294117647055%_40|"|"15.835764705882344%_50|"|"12.106352941176482%_60|"|여자_59%|남자_41%
장미술상 건대점|"16.66666666666668%_10|"|"91.62399999999998%_20|"|"56.269999999999996%_30|"|"39.606666666666676%_40|"|"29.784999999999982%_50|"|"16.66666666666668%_60|"|여자_46%|남자_54%
느린마을양조장 건대점|"11.764705882352951%_10|"|"47.5950588235294%_20|"|"36.96564705882353%_30|"|"31.265882352941173%_40|"|"25.66329411764705%_50|"|"11.764705882352951%_60|"|여자_49%|남자_51%
조용한주택|"36.09741176470589%_10|"|"52.76541176470588%_20|"|"35.823294117647045%_30|"|"22.098823529411764%_40|"|"16.648470588235302%_50|"|"11.764705882352951%_60|"|여자_57%|남자_43%
마당족발|"11.764705882352951%_10|"|"49.82023529411765%_20|"|"40.49670588235294%_30|"|"35.56117647058824%_40|"|"28.982588235294106%_50|"|"24.3049411764706%_60|"|여자_47%|남자_53%
