name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
오마카세 오사이초밥 홍대점,50.854666666666645%_10|,91.38799999999996%_20|,60.55966666666666%_30|,45.04999999999997%_40|,43.87399999999998%_50|,35.68133333333331%_60|,여자_45%,남자_55%
테이커테이블,41.621176470588225%_10|,48.84917647058824%_20|,36.12658823529411%_30|,27.29576470588234%_40|,24.454352941176467%_50|,20.35811764705882%_60|,여자_55%,남자_45%
수염,41.621176470588225%_10|,48.84917647058824%_20|,36.12658823529411%_30|,27.29576470588234%_40|,24.454352941176467%_50|,20.35811764705882%_60|,여자_55%,남자_45%
멘야산다이메 본점,40.75411764705883%_10|,48.712470588235284%_20|,38.25717647058823%_30|,25.984705882352927%_40|,17.932941176470592%_50|,18.147764705882345%_60|,여자_48%,남자_52%
윤씨밀방,38.828%_10|,48.994588235294124%_20|,36.53294117647058%_30|,32.4230588235294%_40|,26.077647058823523%_50|,22.169411764705874%_60|,여자_54%,남자_46%
모크,69.002%_10|,75.30666666666666%_20|,44.592666666666645%_30|,27.401666666666653%_40|,23.568333333333335%_50|,20.230999999999995%_60|,여자_56%,남자_44%
에도마에텐동하마다 홍대점,63.808666666666646%_10|,75.53233333333334%_20|,48.60199999999999%_30|,37.32399999999998%_40|,27.58766666666667%_50|,26.246999999999982%_60|,여자_49%,남자_51%
고망고 연남점,44.80070588235293%_10|,49.04941176470587%_20|,38.99435294117647%_30|,35.80541176470588%_40|,21.979529411764695%_50|,16.211058823529406%_60|,여자_58%,남자_42%
일편등심,19.107294117647054%_10|,49.45364705882352%_20|,45.35341176470589%_30|,41.08611764705882%_40|,33.55647058823531%_50|,26.53976470588234%_60|,여자_39%,남자_61%
JASE,56.06833333333334%_10|,86.84466666666667%_20|,38.00233333333332%_30|,30.74766666666665%_40|,24.236999999999988%_50|,19.068333333333314%_60|,여자_54%,남자_46%
서교주담,12.144999999999996%_10|,76.57866666666668%_20|,55.78199999999999%_30|,35.39866666666664%_40|,25.35399999999998%_50|,20.70266666666668%_60|,여자_55%,남자_45%
부산집,11.764705882352951%_10|,50.80235294117648%_20|,41.918352941176465%_30|,31.583529411764694%_40|,22.054823529411753%_50|,20.757882352941174%_60|,여자_48%,남자_52%
스탠스커피,47.031764705882345%_10|,51.32047058823528%_20|,36.99952941176471%_30|,27.50470588235293%_40|,11.764705882352951%_50|,11.764705882352951%_60|,여자_59%,남자_41%
버거스올마이티 홍대점,36.66094117647058%_10|,47.96447058823527%_20|,38.37435294117647%_30|,33.54070588235294%_40|,22.76070588235293%_50|,11.764705882352951%_60|,여자_46%,남자_54%
