name,gubun,score,visit,blog
싸다김밥 신림역점,종합분식,4.29/5,"방문자 리뷰_ 1,129",블로그 리뷰_ 29
홍미닭발,닭발,4.29/5,방문자 리뷰_ 273,블로그 리뷰_ 81
레드제플린,바(BAR),4.41/5,방문자 리뷰_ 30,블로그 리뷰_ 42
지기네불닭발 본점,닭발,4.57/5,방문자 리뷰_ 197,블로그 리뷰_ 355
만끽,요리주점,4.79/5,방문자 리뷰_ 104,블로그 리뷰_ 21
맥도날드 신림점,햄버거,4.4/5,"방문자 리뷰_ 4,313",블로그 리뷰_ 156
버거앤프라이즈 신대방역점,햄버거,4.47/5,방문자 리뷰_ 365,블로그 리뷰_ 262
황해도빈대떡,"전,빈대떡",4.43/5,방문자 리뷰_ 65,블로그 리뷰_ 43
씬챠호,베트남음식,4.43/5,방문자 리뷰_ 318,블로그 리뷰_ 79
북경반점,중식당,4.15/5,방문자 리뷰_ 396,블로그 리뷰_ 95
미자네,"순대,순댓국",4.48/5,방문자 리뷰_ 339,블로그 리뷰_ 763
똥개네퓨전포차,포장마차,4.46/5,방문자 리뷰_ 238,블로그 리뷰_ 175
푸짐한식당,한식,4.48/5,방문자 리뷰_ 176,블로그 리뷰_ 62
해인어시장 신림본점,생선회,4.37/5,방문자 리뷰_ 770,블로그 리뷰_ 124
토당골,"백숙,삼계탕",4.66/5,방문자 리뷰_ 125,블로그 리뷰_ 120
오월의 햇살,샌드위치,4.93/5,방문자 리뷰_ 158,블로그 리뷰_ 131
전주식당,한식,4.52/5,방문자 리뷰_ 41,블로그 리뷰_ 9
사랑이백반,"백반,가정식",4.67/5,방문자 리뷰_ 147,블로그 리뷰_ 36
밥도술도 구로신림본점,요리주점,4.47/5,방문자 리뷰_ 40,블로그 리뷰_ 53
미남참치 신림점,생선회,4.47/5,방문자 리뷰_ 253,블로그 리뷰_ 376
해족단,술집,4.43/5,방문자 리뷰_ 82,블로그 리뷰_ 166
신림닭꼬치,이자카야,4.62/5,방문자 리뷰_ 103,블로그 리뷰_ 23
목포수산,생선회,4.48/5,방문자 리뷰_ 545,블로그 리뷰_ 156
장터참숯무한리필,"육류,고기요리",4.46/5,방문자 리뷰_ 241,블로그 리뷰_ 42
신림동계란말이김밥 신림본점,김밥,4.27/5,방문자 리뷰_ 330,블로그 리뷰_ 110
우드스탁,요리주점,4.52/5,방문자 리뷰_ 45,블로그 리뷰_ 27
최곱창,"곱창,막창,양",4.58/5,방문자 리뷰_ 47,블로그 리뷰_ 140
온달집 신림역점,"육류,고기요리",4.58/5,방문자 리뷰_ 38,블로그 리뷰_ 12
마미쿡 신림1점,햄버거,4.51/5,방문자 리뷰_ 237,블로그 리뷰_ 67
룸펜,이탈리아음식,4.51/5,방문자 리뷰_ 62,블로그 리뷰_ 65
또또케이크,케이크전문,4.45/5,방문자 리뷰_ 65,블로그 리뷰_ 46
신쭈꾸미,주꾸미요리,4.38/5,방문자 리뷰_ 312,블로그 리뷰_ 188
킴쓰해물로스,"해물,생선요리",4.51/5,방문자 리뷰_ 199,블로그 리뷰_ 230
뽕잎사랑 신림점,샤브샤브,4.42/5,방문자 리뷰_ 577,블로그 리뷰_ 115
맛닭꼬 신림녹두점,"치킨,닭강정",4.46/5,방문자 리뷰_ 308,블로그 리뷰_ 41
우리설렁탕,"곰탕,설렁탕",4.32/5,"방문자 리뷰_ 1,223",블로그 리뷰_ 141
하노이별,베트남음식,4.45/5,방문자 리뷰_ 266,블로그 리뷰_ 105
놀러와플,"카페,디저트",3.38/5,방문자 리뷰_ 38,블로그 리뷰_ 64
프룻퐁당,"카페,디저트",3.38/5,방문자 리뷰_ 61,블로그 리뷰_ 10
즉석두부이야기 신림점,두부요리,4.22/5,방문자 리뷰_ 234,블로그 리뷰_ 31
소백양훠궈,중식당,4.34/5,방문자 리뷰_ 52,블로그 리뷰_ 12
로우포지션,"카페,디저트",4.34/5,방문자 리뷰_ 7,블로그 리뷰_ 9
궁전다방,"카페,디저트",4.64/5,방문자 리뷰_ 239,블로그 리뷰_ 82
막#,"전통,민속주점",4.61/5,방문자 리뷰_ 71,블로그 리뷰_ 128
발빠닭 신림점,닭발,4.71/5,방문자 리뷰_ 69,블로그 리뷰_ 63
저스트로맨틱,"카페,디저트",4.67/5,방문자 리뷰_ 121,블로그 리뷰_ 99
최고집,"전통,민속주점",4.31/5,방문자 리뷰_ 63,블로그 리뷰_ 84
샐러디 신림역점,"다이어트,샐러드",4.51/5,"방문자 리뷰_ 1,143",블로그 리뷰_ 83
그냥삼겹살집이나할걸그랬다,한식,4.31/5,방문자 리뷰_ 105,블로그 리뷰_ 96
춘형,"스파게티,파스타전문",4.7/5,방문자 리뷰_ 98,블로그 리뷰_ 351
