name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
도단집,11.764705882352951%_10|,47.437882352941166%_20|,39.211294117647064%_30|,30.65388235294118%_40|,21.315058823529416%_50|,11.764705882352951%_60|,여자_46%,남자_54%
뿔난황소곱창 건대본점,33.255529411764705%_10|,50.28235294117647%_20|,36.359294117647046%_30|,31.467764705882356%_40|,26.526588235294117%_50|,11.764705882352951%_60|,여자_49%,남자_51%
화양주막,15.422823529411769%_10|,51.354352941176465%_20|,37.66094117647057%_30|,18.64658823529411%_40|,15.456941176470579%_50|,11.764705882352951%_60|,여자_49%,남자_51%
호아다오,25.00000000000001%_10|,96.81249999999999%_20|,79.32599999999998%_30|,73.25599999999997%_40|,52.76449999999997%_50|,25.00000000000001%_60|,여자_53%,남자_47%
메이빌 본점,41.77811764705881%_10|,51.45294117647057%_20|,33.718352941176455%_30|,21.35952941176471%_40|,19.74094117647057%_50|,11.764705882352951%_60|,여자_54%,남자_46%
니뽕내뽕 건대본점,93.05949999999999%_10|,99.73599999999996%_20|,69.24149999999999%_30|,61.85699999999997%_40|,50.51099999999995%_50|,25.00000000000001%_60|,여자_54%,남자_46%
낙원스낵 건대점,11.764705882352951%_10|,49.32682352941176%_20|,35.39341176470587%_30|,25.390588235294103%_40|,17.10870588235294%_50|,11.764705882352951%_60|,여자_50%,남자_50%
평화김해뒷고기 건대점,53.16299999999997%_10|,98.78099999999998%_20|,79.13999999999996%_30|,72.47399999999993%_40|,55.95799999999996%_50|,52.17849999999997%_60|,여자_44%,남자_56%
호파스타 건대점,45.33905882352939%_10|,50.625176470588244%_20|,34.06235294117648%_30|,22.45152941176471%_40|,18.262117647058812%_50|,11.764705882352951%_60|,여자_55%,남자_45%
C156,39.557882352941164%_10|,50.12494117647057%_20|,34.86847058823528%_30|,25.737176470588235%_40|,20.728235294117653%_50|,11.764705882352951%_60|,여자_51%,남자_49%
중경식객 건대점,43.73694117647059%_10|,48.16117647058823%_20|,36.079529411764696%_30|,32.27905882352942%_40|,24.876470588235282%_50|,22.69129411764706%_60|,여자_53%,남자_47%
은호초밥 건대본점,43.73694117647059%_10|,48.16117647058823%_20|,36.079529411764696%_30|,32.27905882352942%_40|,24.876470588235282%_50|,22.69129411764706%_60|,여자_53%,남자_47%
아웃백스테이크하우스 건대스타시티점,27.24399999999999%_10|,50.50399999999999%_20|,48.06447058823528%_30|,44.17388235294117%_40|,29.168705882352953%_50|,23.361647058823532%_60|,여자_52%,남자_48%
이우,25.00000000000001%_10|,93.92399999999998%_20|,88.30949999999996%_30|,70.94699999999996%_40|,58.421999999999954%_50|,65.95349999999998%_60|,여자_48%,남자_52%
엘루이피자,11.764705882352951%_10|,52.461411764705865%_20|,35.402588235294104%_30|,27.250588235294117%_40|,18.782823529411758%_50|,11.764705882352951%_60|,여자_50%,남자_50%
메호르,25.00000000000001%_10|,92.12049999999996%_20|,86.71499999999995%_30|,75.07699999999998%_40|,65.51599999999999%_50|,70.70049999999998%_60|,여자_49%,남자_51%
건대우동집,62.700999999999986%_10|,99.00549999999998%_20|,88.15449999999998%_30|,77.44899999999997%_40|,57.0415%_50|,43.08149999999998%_60|,여자_49%,남자_51%
장인닭갈비 건대점,11.764705882352951%_10|,47.7995294117647%_20|,34.112470588235304%_30|,31.136705882352935%_40|,26.514823529411764%_50|,11.764705882352951%_60|,여자_50%,남자_50%
빕스 어린이대공원점,9.161714285714266%_10|,24.848571428571393%_20|,25.513999999999974%_30|,31.065999999999978%_40|,16.153142857142836%_50|,10.975714285714249%_60|,여자_52%,남자_48%
고망고 건대점,92.19449999999998%_10|,98.36399999999998%_20|,75.34549999999999%_30|,76.37599999999998%_40|,36.17599999999997%_50|,25.00000000000001%_60|,여자_57%,남자_43%
바른면집 건대점,44.924470588235295%_10|,50.0844705882353%_20|,34.351529411764695%_30|,29.45905882352941%_40|,22.947999999999993%_50|,18.62564705882352%_60|,여자_54%,남자_46%
안다미로 팬케이크,43.47482352941177%_10|,50.353882352941156%_20|,31.73529411764705%_30|,25.7515294117647%_40|,18.607294117647047%_50|,11.764705882352951%_60|,여자_60%,남자_40%
얼땅쟈,25.00000000000001%_10|,95.98799999999999%_20|,87.33899999999997%_30|,67.132%_40|,49.25699999999998%_50|,25.00000000000001%_60|,여자_53%,남자_47%
해피니스디저트,32.22611764705882%_10|,49.19858823529411%_20|,38.775058823529406%_30|,27.71952941176471%_40|,20.382117647058827%_50|,11.764705882352951%_60|,여자_61%,남자_39%
육일관,32.4411764705882%_10|,49.40141176470587%_20|,37.63294117647057%_30|,30.628705882352907%_40|,26.437882352941166%_50|,25.088235294117617%_60|,여자_44%,남자_56%
우화등선,25.00000000000001%_10|,95.22149999999998%_20|,92.42749999999997%_30|,80.76549999999997%_40|,64.69149999999999%_50|,53.36099999999997%_60|,여자_40%,남자_60%
도쿄스테이크 건대점,28.239428571428537%_10|,31.36114285714282%_20|,11.726571428571413%_30|,12.72971428571425%_40|,9.467428571428556%_50|,6.799999999999981%_60|,여자_49%,남자_51%
송몽,28.239428571428537%_10|,31.36114285714282%_20|,11.726571428571413%_30|,12.72971428571425%_40|,9.467428571428556%_50|,6.799999999999981%_60|,여자_49%,남자_51%
홍도초밥,28.239428571428537%_10|,31.36114285714282%_20|,11.726571428571413%_30|,12.72971428571425%_40|,9.467428571428556%_50|,6.799999999999981%_60|,여자_49%,남자_51%
대부포차,28.239428571428537%_10|,31.36114285714282%_20|,11.726571428571413%_30|,12.72971428571425%_40|,9.467428571428556%_50|,6.799999999999981%_60|,여자_49%,남자_51%
한촌설렁탕 건대입구역점,25.00000000000001%_10|,88.85749999999994%_20|,85.68449999999996%_30|,78.05699999999996%_40|,62.16399999999997%_50|,25.00000000000001%_60|,여자_48%,남자_52%
코후쿠,11.764705882352951%_10|,52.40894117647058%_20|,36.107764705882346%_30|,19.861647058823536%_40|,15.452470588235286%_50|,11.764705882352951%_60|,여자_50%,남자_50%
가마로,11.764705882352951%_10|,50.00847058823528%_20|,36.14517647058823%_30|,28.431764705882358%_40|,23.312705882352947%_50|,11.764705882352951%_60|,여자_47%,남자_53%
엘루이 비스트로,11.764705882352951%_10|,52.31552941176471%_20|,30.88823529411765%_30|,21.589411764705886%_40|,15.063764705882349%_50|,11.764705882352951%_60|,여자_53%,남자_47%
참숯벽돌집,25.00000000000001%_10|,98.05049999999996%_20|,86.30849999999998%_30|,74.13499999999999%_40|,60.08249999999996%_50|,25.00000000000001%_60|,여자_42%,남자_58%
조그삼,62.08249999999996%_10|,99.72299999999997%_20|,82.05649999999996%_30|,63.487499999999955%_40|,50.39399999999997%_50|,25.00000000000001%_60|,여자_48%,남자_52%
김창훈포차,29.82899999999999%_10|,80.14766666666664%_20|,44.668666666666645%_30|,32.05499999999998%_40|,26.226999999999993%_50|,21.77566666666667%_60|,여자_50%,남자_50%
반티엔야오 카오위 건대점,29.908%_10|,49.66494117647059%_20|,40.70188235294117%_30|,34.36094117647058%_40|,28.47858823529411%_50|,22.25929411764705%_60|,여자_49%,남자_51%
고향양꼬치,30.356235294117617%_10|,48.47999999999998%_20|,37.063294117647025%_30|,35.18047058823527%_40|,30.86423529411762%_50|,25.872705882352925%_60|,여자_45%,남자_55%
육회한연어 건대점,34.04517647058824%_10|,51.58776470588234%_20|,31.319764705882356%_30|,24.89388235294117%_40|,21.50164705882352%_50|,11.764705882352951%_60|,여자_48%,남자_52%
막이오름 건대점,11.764705882352951%_10|,48.304%_20|,36.88870588235295%_30|,28.129176470588234%_40|,19.591529411764704%_50|,11.764705882352951%_60|,여자_51%,남자_49%
미도인 건대,44.55011764705882%_10|,51.8345882352941%_20|,33.27694117647057%_30|,31.152470588235293%_40|,28.52352941176471%_50|,11.764705882352951%_60|,여자_53%,남자_47%
환이네갈비살 2호점,25.00000000000001%_10|,98.49049999999994%_20|,83.00549999999998%_30|,61.550499999999985%_40|,78.38699999999996%_50|,25.00000000000001%_60|,여자_47%,남자_53%
그릭데이 건대점,64.253%_10|,77.55666666666667%_20|,50.62599999999998%_30|,39.01566666666667%_40|,29.45699999999999%_50|,16.66666666666668%_60|,여자_72%,남자_28%
연옥양꼬치,25.00000000000001%_10|,99.31699999999995%_20|,80.9575%_30|,71.26849999999999%_40|,61.19049999999996%_50|,25.00000000000001%_60|,여자_45%,남자_55%
프레퍼스 다이어트 푸드 건대점,25.26799999999997%_10|,51.56635294117646%_20|,36.39905882352938%_30|,25.575529411764684%_40|,30.187529411764686%_50|,23.574588235294083%_60|,여자_61%,남자_39%
스파이스드 SPICED,25.00000000000001%_10|,99.55299999999997%_20|,76.70199999999997%_30|,50.89149999999996%_40|,42.18549999999997%_50|,25.00000000000001%_60|,여자_62%,남자_38%
흥에취한범 건대점,32.55133333333333%_10|,89.588%_20|,32.77766666666666%_30|,23.691666666666663%_40|,24.074333333333342%_50|,21.863333333333344%_60|,여자_45%,남자_55%
우성식당,25.00000000000001%_10|,75.09149999999995%_20|,82.01499999999999%_30|,91.34299999999998%_40|,90.60149999999997%_50|,95.34999999999995%_60|,여자_42%,남자_58%
조씨네고기국수,11.764705882352951%_10|,47.3084705882353%_20|,36.54564705882352%_30|,32.36823529411765%_40|,29.317882352941165%_50|,11.764705882352951%_60|,여자_46%,남자_54%
