,name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
0,한땀,none,none,none,none,none,none,none,none
1,스테이크 슈퍼,41.500941176470576%_10|,50.92305882352941%_20|,39.098588235294116%_30|,35.03670588235293%_40|,23.633411764705887%_50|,11.764705882352951%_60|,여자_46%,남자_54%
2,우동 카덴,6.344266666666637%_10|,30.158933333333316%_20|,15.183466666666645%_30|,13.318133333333318%_40|,13.081333333333319%_50|,4.32319999999997%_60|,여자_52%,남자_48%
3,산울림1992,20.230999999999995%_10|,98.11066666666667%_20|,74.81699999999998%_30|,68.97%_40|,68.44699999999999%_50|,47.55333333333333%_60|,여자_56%,남자_44%
4,우와,48.33999999999999%_10|,80.06766666666667%_20|,41.910666666666664%_30|,28.579999999999984%_40|,26.41066666666663%_50|,9.330333333333295%_60|,여자_57%,남자_43%
5,모센즈스위트,56.131%_10|,97.13066666666664%_20|,66.66833333333332%_30|,49.924%_40|,39.27600000000001%_50|,30.936666666666646%_60|,여자_60%,남자_40%
6,옥동식,14.857428571428564%_10|,38.76028571428569%_20|,29.476285714285687%_30|,22.60714285714283%_40|,16.069142857142833%_50|,10.746285714285678%_60|,여자_42%,남자_58%
7,홍대IN파스타,96.61866666666666%_10|,97.41566666666667%_20|,46.937999999999974%_30|,48.74099999999997%_40|,45.04799999999999%_50|,34.32966666666664%_60|,여자_55%,남자_45%
8,피오니,78.68633333333332%_10|,97.87766666666667%_20|,65.99866666666664%_30|,51.35333333333332%_40|,38.32699999999999%_50|,26.26899999999998%_60|,여자_63%,남자_37%
9,카쿠시타,22.80199999999994%_10|,93.417%_20|,45.19899999999994%_30|,40.26199999999997%_40|,50.88449999999995%_50|,43.56999999999995%_60|,여자_52%,남자_48%
10,브런치가,51.581499999999956%_10|,75.95949999999998%_20|,47.80749999999996%_30|,48.33349999999999%_40|,35.129499999999986%_50|,8.201999999999932%_60|,여자_61%,남자_39%
11,로쏘 1924 나폴리 화덕피자 홍대점,19.169142857142837%_10|,28.70971428571426%_20|,18.426857142857127%_30|,16.843428571428543%_40|,14.001714285714254%_50|,15.207999999999986%_60|,여자_49%,남자_51%
12,샌드커피 논탄토 연남,52.17599999999999%_10|,89.806%_20|,62.64566666666666%_30|,48.16033333333331%_40|,39.64299999999998%_50|,30.70066666666667%_60|,여자_57%,남자_43%
13,신미경홍대닭갈비,43.43764705882352%_10|,52.656941176470575%_20|,37.763529411764694%_30|,34.08541176470585%_40|,28.839529411764687%_50|,23.58870588235292%_60|,여자_51%,남자_49%
