name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
1984|"32.241666666666646%_10|"|"75.17933333333333%_20|"|"59.914333333333325%_30|"|"50.06499999999998%_40|"|"42.67666666666665%_50|"|"37.263000000000005%_60|"|여자_45%|남자_55%
가든 포에트|"11.764705882352951%_10|"|"49.78517647058822%_20|"|"42.202823529411766%_30|"|"37.74352941176471%_40|"|"17.716941176470574%_50|"|"11.312000000000001%_60|"|여자_61%|남자_39%
모파상|"40.629882352941166%_10|"|"51.17458823529412%_20|"|"36.18141176470588%_30|"|"27.082352941176463%_40|"|"18.74517647058824%_50|"|"11.764705882352951%_60|"|여자_63%|남자_37%
에일크루|"25.00000000000001%_10|"|"99.16949999999999%_20|"|"84.84249999999996%_30|"|"76.89449999999995%_40|"|"55.00549999999996%_50|"|"25.00000000000001%_60|"|여자_52%|남자_48%
닝교초식당 홍대점|"46.914588235294104%_10|"|"49.40564705882352%_20|"|"30.95670588235293%_30|"|"26.437647058823533%_40|"|"20.49270588235294%_50|"|"11.764705882352951%_60|"|여자_55%|남자_45%
우마담|"20.17466666666667%_10|"|"76.0073333333333%_20|"|"62.41%_30|"|"36.86199999999998%_40|"|"28.315000000000012%_50|"|"21.927666666666674%_60|"|여자_48%|남자_52%
카와카츠 합정점|"28.833647058823512%_10|"|"50.708470588235286%_20|"|"40.22611764705883%_30|"|"26.991294117647048%_40|"|"21.63811764705882%_50|"|"22.48494117647059%_60|"|여자_44%|남자_56%
츠케루|"69.348%_10|"|"98.60949999999998%_20|"|"87.04749999999997%_30|"|"64.6665%_40|"|"41.259499999999996%_50|"|"35.00199999999997%_60|"|여자_47%|남자_53%
청년닭발1987|"55.98966666666667%_10|"|"75.76799999999997%_20|"|"49.28266666666665%_30|"|"41.64233333333333%_40|"|"32.263%_50|"|"24.331666666666674%_60|"|여자_54%|남자_46%
혼가츠|"47.33717647058823%_10|"|"50.98470588235294%_20|"|"34.97199999999999%_30|"|"32.62611764705883%_40|"|"25.426352941176468%_50|"|"21.017647058823524%_60|"|여자_48%|남자_52%
막걸리싸롱|"45.311999999999976%_10|"|"78.40433333333333%_20|"|"45.88099999999998%_30|"|"41.441333333333326%_40|"|"38.99333333333332%_50|"|"32.09799999999999%_60|"|여자_51%|남자_49%
교동집|"23.83270588235293%_10|"|"48.5284705882353%_20|"|"39.99058823529411%_30|"|"34.016470588235286%_40|"|"27.271529411764707%_50|"|"20.249176470588232%_60|"|여자_53%|남자_47%
트래블메이커|"37.51223529411764%_10|"|"52.089411764705886%_20|"|"41.0950588235294%_30|"|"37.99411764705883%_40|"|"28.451764705882354%_50|"|"21.241411764705887%_60|"|여자_55%|남자_45%
오비야|"43.24799999999996%_10|"|"98.60699999999991%_20|"|"58.937999999999946%_30|"|"32.43899999999989%_40|"|"17.736999999999895%_50|"|"16.73799999999992%_60|"|여자_53%|남자_47%
하연옥 마포점|"45.79299999999996%_10|"|"95.08899999999994%_20|"|"91.60099999999996%_30|"|"88.73499999999997%_40|"|"81.95799999999996%_50|"|"78.84400000000001%_60|"|여자_49%|남자_51%
키친485|"21.469714285714254%_10|"|"32.693428571428555%_20|"|"20.77342857142856%_30|"|"16.11514285714282%_40|"|"10.660857142857123%_50|"|"3.6519999999999886%_60|"|여자_53%|남자_47%
심야식당 하스|"11.764705882352951%_10|"|"52.47529411764705%_20|"|"40.794352941176456%_30|"|"23.482117647058814%_40|"|"16.909647058823523%_50|"|"14.56776470588235%_60|"|여자_49%|남자_51%
