name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
한추,11.764705882352951%_10|,50.25505882352941%_20|,47.87764705882353%_30|,42.30988235294117%_40|,29.741647058823528%_50|,20.40752941176471%_60|,여자_52%,남자_48%
갓잇 도산공원점,11.764705882352951%_10|,49.33882352941177%_20|,41.20611764705882%_30|,34.309647058823515%_40|,26.37058823529412%_50|,20.15764705882353%_60|,여자_60%,남자_40%
맥주덕후 피자덕후,5.58399999999997%_10|,37.644571428571396%_20|,27.434857142857126%_30|,21.8305714285714%_40|,18.96285714285712%_50|,12.744571428571408%_60|,여자_50%,남자_50%
오복수산 도산,20.785411764705884%_10|,50.446823529411766%_20|,45.26776470588235%_30|,38.95152941176471%_40|,34.96352941176471%_50|,33.327999999999996%_60|,여자_54%,남자_46%
효계,20.755333333333343%_10|,77.173%_20|,63.19833333333331%_30|,43.45533333333332%_40|,31.08066666666668%_50|,25.392000000000003%_60|,여자_48%,남자_52%
압구정 곱창,23.718588235294117%_10|,50.455058823529406%_20|,48.8065882352941%_30|,40.05905882352942%_40|,28.33788235294117%_50|,23.26752941176469%_60|,여자_58%,남자_42%
에뚜왈,23.718588235294117%_10|,50.455058823529406%_20|,48.8065882352941%_30|,40.05905882352942%_40|,28.33788235294117%_50|,23.26752941176469%_60|,여자_58%,남자_42%
청담돈,8.164857142857134%_10|,37.78771428571427%_20|,25.062571428571395%_30|,16.241714285714274%_40|,13.385999999999962%_50|,9.460571428571406%_60|,여자_51%,남자_49%
워커비,11.764705882352951%_10|,51.28211764705881%_20|,40.86070588235293%_30|,17.02635294117648%_40|,7.44423529411766%_50|,12.493882352941178%_60|,여자_54%,남자_46%
키친마이야르,46.49333333333334%_10|,89.89133333333331%_20|,62.65866666666666%_30|,36.88333333333333%_40|,30.764333333333315%_50|,24.742333333333345%_60|,여자_43%,남자_57%
오리지널팬케이크하우스 가로수길점,16.2025714285714%_10|,35.4822857142857%_20|,27.19742857142855%_30|,24.53742857142854%_40|,12.141142857142835%_50|,4.799999999999979%_60|,여자_58%,남자_42%
치즈룸 안다즈,21.816235294117643%_10|,48.27788235294116%_20|,50.08305882352939%_30|,43.184941176470595%_40|,33.944705882352935%_50|,27.049176470588236%_60|,여자_64%,남자_36%
온달집 본점,34.364666666666665%_10|,80.99333333333331%_20|,51.12733333333333%_30|,36.72833333333332%_40|,28.29466666666665%_50|,21.61933333333332%_60|,여자_55%,남자_45%
웨이크앤베이크 청담,42.10366666666665%_10|,75.289%_20|,65.03666666666665%_30|,51.549666666666674%_40|,41.931000000000004%_50|,31.73233333333332%_60|,여자_65%,남자_35%
최가네버섯샤브매운탕칼국수,30.511999999999983%_10|,52.803999999999974%_20|,45.07717647058822%_30|,31.844235294117617%_40|,25.612470588235265%_50|,24.087529411764688%_60|,여자_59%,남자_41%
이웃집통통이 로데오점,46.503666666666675%_10|,75.20166666666668%_20|,60.21466666666667%_30|,44.80766666666665%_40|,30.81533333333334%_50|,22.835000000000008%_60|,여자_70%,남자_30%
누데이크 하우스 도산,66.05849999999998%_10|,82.42699999999999%_20|,50.45474999999999%_30|,38.31799999999999%_40|,35.759249999999994%_50|,24.96799999999999%_60|,여자_64%,남자_36%
심퍼티쿠시 가로수길점,18.587333333333323%_10|,78.70033333333333%_20|,61.76166666666667%_30|,36.49266666666665%_40|,27.252000000000017%_50|,21.056999999999988%_60|,여자_59%,남자_41%
SADDLER HAUS,60.93366666666665%_10|,88.01999999999998%_20|,62.402666666666676%_30|,46.95833333333332%_40|,35.64099999999999%_50|,26.998%_60|,여자_63%,남자_37%
청초수물회 강남점,9.716941176470593%_10|,33.43223529411763%_20|,42.21929411764706%_30|,48.36776470588236%_40|,49.24305882352941%_50|,48.01058823529412%_60|,여자_48%,남자_52%
진도켄 이자카야,20.565000000000015%_10|,75.246%_20|,61.29766666666665%_30|,42.653000000000006%_40|,30.71966666666666%_50|,26.491999999999994%_60|,여자_51%,남자_49%
ING,17.727666666666657%_10|,93.05533333333332%_20|,59.27133333333333%_30|,32.732333333333315%_40|,27.449666666666666%_50|,23.39633333333331%_60|,여자_53%,남자_47%
은행골 신사점,13.199428571428562%_10|,36.92142857142855%_20|,21.425999999999977%_30|,13.32028571428569%_40|,10.078285714285691%_50|,9.580857142857122%_60|,여자_48%,남자_52%
모센즈스위트 신사점,26.607999999999986%_10|,47.15317647058824%_20|,36.028%_30|,26.326117647058833%_40|,25.572000000000006%_50|,11.764705882352951%_60|,여자_58%,남자_42%
어썸로즈,53.691%_10|,78.01133333333331%_20|,55.99833333333333%_30|,48.28100000000001%_40|,40.23233333333335%_50|,16.66666666666668%_60|,여자_52%,남자_48%
소진담 신사점,53.10199999999997%_10|,86.93433333333333%_20|,63.91366666666667%_30|,47.50799999999999%_40|,36.171999999999976%_50|,26.827333333333346%_60|,여자_63%,남자_37%
피자네버슬립스,55.792333333333325%_10|,75.71633333333334%_20|,51.772666666666645%_30|,37.18466666666668%_40|,26.35600000000001%_50|,16.66666666666668%_60|,여자_53%,남자_47%
로로,25.305714285714267%_10|,40.18799999999999%_20|,20.188857142857106%_30|,8.576285714285703%_40|,5.981714285714273%_50|,4.608571428571391%_60|,여자_58%,남자_42%
온리고,49.334333333333326%_10|,77.32900000000001%_20|,66.91333333333334%_30|,50.05666666666667%_40|,30.222000000000005%_50|,24.565333333333324%_60|,여자_58%,남자_42%
타르틴베이커리 도산점,4.7399999999999665%_10|,35.97114285714282%_20|,27.8242857142857%_30|,22.627142857142832%_40|,14.635714285714277%_50|,6.70942857142855%_60|,여자_64%,남자_36%
파씨오네,15.278823529411756%_10|,50.09435294117647%_20|,45.43364705882352%_30|,32.6555294117647%_40|,31.530588235294122%_50|,29.187058823529398%_60|,여자_55%,남자_45%
우가,21.772470588235286%_10|,45.43505882352941%_20|,47.92235294117647%_30|,43.491058823529414%_40|,36.51952941176471%_50|,30.560470588235304%_60|,여자_46%,남자_54%
포레스트 청담,30.72449999999994%_10|,84.2785%_20|,60.85499999999995%_30|,45.85549999999995%_40|,41.93749999999997%_50|,14.885999999999958%_60|,여자_60%,남자_40%
