name ,tenCen ,twoCen ,threeCen fourCen ,,fiveCen ,sixCen ,womanRatio ,manRatio
맥썸 대학로점,11.764705882352951%_10|,50.75835294117647%_20|,28.86235294117647%_30|,22.460470588235296%_40|,19.190117647058827%_50|,11.764705882352951%_60|,여자_53%,남자_47%
비어오크,11.764705882352951%_10|,50.75835294117647%_20|,28.86235294117647%_30|,22.460470588235296%_40|,19.190117647058827%_50|,11.764705882352951%_60|,여자_53%,남자_47%
눅,29.368333333333325%_10|,76.44366666666664%_20|,46.68066666666666%_30|,28.36333333333333%_40|,26.193666666666665%_50|,16.66666666666668%_60|,여자_64%,남자_36%
은행골 대학로점,30.10658823529411%_10|,48.97811764705883%_20|,36.312705882352944%_30|,30.01317647058823%_40|,22.893647058823525%_50|,11.764705882352951%_60|,여자_50%,남자_50%
달팽이카페,25.00000000000001%_10|,98.09449999999994%_20|,77.34249999999996%_30|,69.65849999999999%_40|,49.889%_50|,25.00000000000001%_60|,여자_61%,남자_39%
통큰갈비 대학로점,23.160571428571387%_10|,28.967428571428535%_20|,12.16114285714284%_30|,16.40399999999999%_40|,11.441714285714262%_50|,10.735714285714263%_60|,여자_45%,남자_55%
라뜰리에 꼼때,25.00000000000001%_10|,90.51749999999994%_20|,95.09149999999997%_30|,63.30999999999995%_40|,48.0395%_50|,25.00000000000001%_60|,여자_48%,남자_52%
정통집 대학로점,11.764705882352951%_10|,47.82211764705882%_20|,33.44682352941176%_30|,28.694352941176476%_40|,11.764705882352951%_50|,11.764705882352951%_60|,여자_50%,남자_50%
페이브베이커리 대학로점,25.00000000000001%_10|,96.45399999999995%_20|,75.71099999999996%_30|,58.46749999999999%_40|,51.42249999999996%_50|,25.00000000000001%_60|,여자_61%,남자_39%
머노까머나 대학로점,38.09670588235294%_10|,47.99223529411765%_20|,36.80211764705882%_30|,36.1564705882353%_40|,30.983999999999988%_50|,11.764705882352951%_60|,여자_52%,남자_48%
헤이커피,41.56517647058824%_10|,49.62023529411765%_20|,33.34729411764706%_30|,22.794588235294114%_40|,15.939058823529423%_50|,11.764705882352951%_60|,여자_63%,남자_37%
카페 사흘,41.56517647058824%_10|,49.62023529411765%_20|,33.34729411764706%_30|,22.794588235294114%_40|,15.939058823529423%_50|,11.764705882352951%_60|,여자_63%,남자_37%
