name,gubun,score,visit,blog
발루토,"카페,디저트",4.46/5,방문자 리뷰_ 484,블로그 리뷰_ 413
기막힌포차,포장마차,4.23/5,방문자 리뷰_ 62,블로그 리뷰_ 108
상군이네고깃집,돼지고기구이,4.13/5,방문자 리뷰_ 84,블로그 리뷰_ 99
스시나마,"초밥,롤",4.39/5,방문자 리뷰_ 649,블로그 리뷰_ 251
부추삼겹살딱이야,돼지고기구이,4.55/5,방문자 리뷰_ 290,블로그 리뷰_ 377
신림다락,카페,4.55/5,방문자 리뷰_ 37,블로그 리뷰_ 17
생생조개,조개요리,4.45/5,방문자 리뷰_ 449,블로그 리뷰_ 244
대원갈비,"육류,고기요리",4.32/5,방문자 리뷰_ 309,블로그 리뷰_ 223
구루메키친,이자카야,4.68/5,방문자 리뷰_ 101,블로그 리뷰_ 174
쿠버타코 다이닝,"멕시코,남미음식",4.54/5,방문자 리뷰_ 268,블로그 리뷰_ 79
동학,요리주점,4.22/5,방문자 리뷰_ 68,블로그 리뷰_ 72
짬뽕갑 본점,중식당,4.39/5,방문자 리뷰_ 232,블로그 리뷰_ 225
함지박치즈등갈비 신림본점,"육류,고기요리",4.47/5,방문자 리뷰_ 283,블로그 리뷰_ 432
오프 OFF,요리주점,4.47/5,방문자 리뷰_ 53,블로그 리뷰_ 31
미가할매집,"육류,고기요리",4.38/5,"방문자 리뷰_ 1,624",블로그 리뷰_ 284
미나리생삼겹,돼지고기구이,4.42/5,방문자 리뷰_ 293,블로그 리뷰_ 315
고래가주 신림점,이자카야,4.55/5,방문자 리뷰_ 158,블로그 리뷰_ 138
서울집 신림직영점,소고기구이,4.52/5,방문자 리뷰_ 402,블로그 리뷰_ 296
복돈이생고기,돼지고기구이,4.68/5,방문자 리뷰_ 81,블로그 리뷰_ 63
고기싸롱 신대방역점,"육류,고기요리",4.7/5,"방문자 리뷰_ 2,425",블로그 리뷰_ 163
쩐호우 양꼬치&샤브샤브,양꼬치,4.63/5,방문자 리뷰_ 309,블로그 리뷰_ 252
마뇨떡볶이,종합분식,4.45/5,방문자 리뷰_ 972,블로그 리뷰_ 347
천미미,중식당,4.69/5,"방문자 리뷰_ 1,353",블로그 리뷰_ 276
한우마당 구로점,소고기구이,4.47/5,방문자 리뷰_ 389,블로그 리뷰_ 262
제주탐하리 신림점,"육류,고기요리",4.62/5,방문자 리뷰_ 207,블로그 리뷰_ 163
강남곱창이야기신림점,"곱창,막창,양",4.55/5,방문자 리뷰_ 482,블로그 리뷰_ 291
라공방 신림점,중식당,4.41/5,"방문자 리뷰_ 2,374",블로그 리뷰_ 378
방앗간,"카페,디저트",4.61/5,방문자 리뷰_ 351,블로그 리뷰_ 141
술이남,요리주점,4.56/5,방문자 리뷰_ 207,블로그 리뷰_ 224
신림역전,"전,빈대떡",4.52/5,방문자 리뷰_ 142,블로그 리뷰_ 60
우리 여기서만나,요리주점,4.81/5,방문자 리뷰_ 90,블로그 리뷰_ 38
왕주먹,돼지고기구이,4.6/5,방문자 리뷰_ 203,블로그 리뷰_ 235
꿈당,요리주점,4.56/5,방문자 리뷰_ 159,블로그 리뷰_ 175
린생사진관 신림역점,요리주점,4.39/5,방문자 리뷰_ 147,블로그 리뷰_ 93
오하운 크레페 샌드위치 신림점,샌드위치,4.44/5,방문자 리뷰_ 237,블로그 리뷰_ 69
스시노칸도 타임스트림점,"초밥,롤",4.38/5,방문자 리뷰_ 330,블로그 리뷰_ 78
미남포차,포장마차,4.65/5,방문자 리뷰_ 346,블로그 리뷰_ 170
행복한 조개 맛집,조개요리,4.32/5,방문자 리뷰_ 180,블로그 리뷰_ 49
김영자나주곰탕 본점,"곰탕,설렁탕",4.44/5,방문자 리뷰_ 241,블로그 리뷰_ 104
마티스커피,브런치,4.75/5,"방문자 리뷰_ 1,268",블로그 리뷰_ 172
혼맛스시,"초밥,롤",4.6/5,방문자 리뷰_ 109,블로그 리뷰_ 87
엽전식당 본점,한식,4.6/5,방문자 리뷰_ 211,블로그 리뷰_ 79
고모네 식당,"육류,고기요리",4.36/5,방문자 리뷰_ 710,블로그 리뷰_ 391
전라도시네마,"순대,순댓국",4.72/5,방문자 리뷰_ 719,"블로그 리뷰_ 1,017"
찰리삼촌 포장마차,"맥주,호프",4.66/5,방문자 리뷰_ 290,블로그 리뷰_ 162
서우얼큰칼국수,"칼국수,만두",4.24/5,방문자 리뷰_ 297,블로그 리뷰_ 102
꼬꼬아찌숯불치킨 신림점,"치킨,닭강정",4.37/5,방문자 리뷰_ 206,블로그 리뷰_ 117
캠핑키친,한식,4.66/5,방문자 리뷰_ 117,블로그 리뷰_ 95
시티버거 신림점,햄버거,4.5/5,방문자 리뷰_ 67,블로그 리뷰_ 83
노란집,브런치,4.48/5,방문자 리뷰_ 25,블로그 리뷰_ 101
