name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
열매제과점|"37.67388235294117%_10|"|"50.70988235294116%_20|"|"34.811764705882354%_30|"|"24.452000000000005%_40|"|"18.186823529411754%_50|"|"11.764705882352951%_60|"|여자_65%|남자_35%
지구상사 건대점|"40.068999999999974%_10|"|"87.09833333333334%_20|"|"32.39866666666664%_30|"|"27.604999999999986%_40|"|"24.982666666666667%_50|"|"16.54866666666665%_60|"|여자_55%|남자_45%
건대 숯불부자곱창|"37.24611764705882%_10|"|"49.853647058823526%_20|"|"33.885411764705864%_30|"|"29.305882352941186%_40|"|"42.62870588235293%_50|"|"22.951294117647066%_60|"|여자_44%|남자_56%
느린마을양조장 건대점|"11.764705882352951%_10|"|"47.5950588235294%_20|"|"36.96564705882353%_30|"|"31.265882352941173%_40|"|"25.66329411764705%_50|"|"11.764705882352951%_60|"|여자_49%|남자_51%
삼꾸미집 건대점|"25.00000000000001%_10|"|"97.24699999999994%_20|"|"74.77299999999995%_30|"|"69.31399999999996%_40|"|"69.481%_50|"|"44.54999999999996%_60|"|여자_46%|남자_54%
우마이도 건대점|"35.68376470588235%_10|"|"47.466588235294125%_20|"|"39.155294117647045%_30|"|"29.664941176470577%_40|"|"20.46329411764705%_50|"|"11.764705882352951%_60|"|여자_46%|남자_54%
정통집 건대점|"11.764705882352951%_10|"|"49.65317647058824%_20|"|"30.11741176470587%_30|"|"21.746588235294123%_40|"|"14.727294117647046%_50|"|"11.764705882352951%_60|"|여자_50%|남자_50%
972Bar|"47.798333333333346%_10|"|"81.89566666666666%_20|"|"34.08066666666668%_30|"|"23.921666666666653%_40|"|"22.56766666666665%_50|"|"16.66666666666668%_60|"|여자_50%|남자_50%
겐로쿠우동 건대직영점|"33.08258823529411%_10|"|"48.72117647058825%_20|"|"37.81364705882352%_30|"|"29.48611764705882%_40|"|"21.264%_50|"|"11.764705882352951%_60|"|여자_50%|남자_50%
만경상회 건대본점|"11.764705882352951%_10|"|"51.208%_20|"|"39.588235294117645%_30|"|"34.3990588235294%_40|"|"26.49764705882353%_50|"|"20.334352941176462%_60|"|여자_46%|남자_54%
캐치볼클럽|"41.29341176470589%_10|"|"50.613882352941175%_20|"|"37.23270588235294%_30|"|"31.344941176470588%_40|"|"22.06070588235294%_50|"|"11.764705882352951%_60|"|여자_57%|남자_43%
대흥양다리바베큐 건대점|"25.00000000000001%_10|"|"92.73549999999999%_20|"|"86.50749999999998%_30|"|"80.0755%_40|"|"68.41499999999998%_50|"|"73.06149999999998%_60|"|여자_41%|남자_59%
원보양꼬치|"17.28099999999988%_10|"|"98.66399999999989%_20|"|"68.18099999999994%_30|"|"54.215999999999944%_40|"|"46.1299999999999%_50|"|"12.096999999999916%_60|"|여자_44%|남자_56%
꼼주|"17.20047058823529%_10|"|"52.80847058823528%_20|"|"33.42847058823528%_30|"|"28.27741176470589%_40|"|"24.381176470588244%_50|"|"20.113882352941175%_60|"|여자_48%|남자_52%
드로잉레시피|"25.00000000000001%_10|"|"95.78849999999997%_20|"|"81.68449999999997%_30|"|"69.2535%_40|"|"61.9795%_50|"|"25.00000000000001%_60|"|여자_53%|남자_47%
후토|"11.764705882352951%_10|"|"52.83247058823529%_20|"|"40.008705882352935%_30|"|"26.12000000000001%_40|"|"17.046117647058825%_50|"|"11.764705882352951%_60|"|여자_45%|남자_55%
언리미티드|"16.66666666666668%_10|"|"78.52233333333332%_20|"|"34.434666666666644%_30|"|"23.64899999999999%_40|"|"20.849999999999998%_50|"|"15.089666666666664%_60|"|여자_54%|남자_46%
범맥주 건대점|"32.635250000000006%_10|"|"78.90325%_20|"|"38.763999999999996%_30|"|"30.431750000000008%_40|"|"25.942749999999986%_50|"|"24.062749999999994%_60|"|여자_40%|남자_60%
심마니|"16.66666666666668%_10|"|"78.53766666666664%_20|"|"48.434000000000005%_30|"|"35.337333333333326%_40|"|"31.95633333333332%_50|"|"29.637333333333327%_60|"|여자_48%|남자_52%
처비버디|"25.00000000000001%_10|"|"95.79299999999998%_20|"|"80.06%_30|"|"53.1575%_40|"|"43.760999999999974%_50|"|"25.00000000000001%_60|"|여자_54%|남자_46%
매화반점|"25.00000000000001%_10|"|"90.60049999999994%_20|"|"85.30649999999997%_30|"|"79.83099999999996%_40|"|"68.10549999999996%_50|"|"25.00000000000001%_60|"|여자_45%|남자_55%
태태삼겹 건대점|"21.387058823529397%_10|"|"52.263999999999996%_20|"|"42.90682352941177%_30|"|"35.85082352941176%_40|"|"24.164941176470595%_50|"|"20.915529411764716%_60|"|여자_45%|남자_55%
60년전통신촌황소곱창 건대직영점|"33.1884705882353%_10|"|"47.7244705882353%_20|"|"34.40188235294118%_30|"|"31.031999999999982%_40|"|"36.24870588235294%_50|"|"11.764705882352951%_60|"|여자_47%|남자_53%
육성회비|"16.66666666666668%_10|"|"75.98499999999999%_20|"|"45.039666666666655%_30|"|"30.29733333333332%_40|"|"22.90533333333333%_50|"|"16.66666666666668%_60|"|여자_48%|남자_52%
뉴웨이브서울|"44.31933333333333%_10|"|"76.33599999999998%_20|"|"52.392333333333326%_30|"|"35.483999999999995%_40|"|"36.13899999999999%_50|"|"30.82899999999999%_60|"|여자_60%|남자_40%
레브|"33.901882352941165%_10|"|"48.280235294117645%_20|"|"34.67670588235293%_30|"|"20.415999999999986%_40|"|"14.54282352941175%_50|"|"11.764705882352951%_60|"|여자_63%|남자_37%
흐릇|"11.764705882352951%_10|"|"47.17482352941177%_20|"|"34.1755294117647%_30|"|"20.912941176470575%_40|"|"11.764705882352951%_50|"|"11.764705882352951%_60|"|여자_63%|남자_37%
최신족발|"25.00000000000001%_10|"|"92.88099999999996%_20|"|"81.39649999999996%_30|"|"76.13049999999997%_40|"|"66.89399999999999%_50|"|"25.00000000000001%_60|"|여자_44%|남자_56%
폰버거|"11.764705882352951%_10|"|"48.55576470588236%_20|"|"34.88376470588236%_30|"|"30.238588235294117%_40|"|"22.234352941176475%_50|"|"11.764705882352951%_60|"|여자_50%|남자_50%
새로이|"11.764705882352951%_10|"|"50.86541176470587%_20|"|"37.916470588235285%_30|"|"27.419529411764703%_40|"|"23.19882352941176%_50|"|"20.264470588235287%_60|"|여자_49%|남자_51%
랑데자뷰 건대점|"47.647058823529406%_10|"|"47.60141176470587%_20|"|"30.085647058823522%_30|"|"25.612000000000005%_40|"|"18.88776470588236%_50|"|"11.764705882352951%_60|"|여자_56%|남자_44%
MouseRabbit|"47.59529411764706%_10|"|"49.51105882352941%_20|"|"30.150588235294123%_30|"|"25.75599999999999%_40|"|"19.769411764705875%_50|"|"11.764705882352951%_60|"|여자_60%|남자_40%
카페 오알피하우스|"62.915000000000006%_10|"|"75.56666666666666%_20|"|"39.80566666666666%_30|"|"23.737000000000005%_40|"|"16.66666666666668%_50|"|"16.66666666666668%_60|"|여자_61%|남자_39%
도도곱창 건대본점|"26.18682352941176%_10|"|"52.424235294117636%_20|"|"35.24329411764706%_30|"|"30.036705882352937%_40|"|"27.289176470588245%_50|"|"19.98117647058823%_60|"|여자_49%|남자_51%
초라멘|"36.61717647058822%_10|"|"50.42235294117647%_20|"|"37.7275294117647%_30|"|"23.679529411764705%_40|"|"16.297647058823532%_50|"|"11.764705882352951%_60|"|여자_48%|남자_52%
지속|"43.66470588235295%_10|"|"50.82635294117645%_20|"|"29.92141176470588%_30|"|"17.209882352941182%_40|"|"13.679764705882363%_50|"|"11.764705882352951%_60|"|여자_62%|남자_38%
